@relation answerExp4
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@data
"HUM:ind" , "who" , "make" , "a" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "which" , "bloom" , "county" 
"NUM:other" , "what" , "be" , "the" 
"NUM:other" , "what" , "be" , "the" 
"NUM:count" , "how" , "many" , "calorie" 
"HUM:ind" , "what" , "part" , "do" 
"HUM:ind" , "who" , "follow" , "caesar" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:other" , "what" , "be" , "address" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "who" , "do" , "the" 
"HUM:ind" , "who" , "invent" , "the" 
"NUM:count" , "what" , "the" , "american" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:speed" , "what" , "be" , "the" 
"HUM:ind" , "what" , "actor" , "first" 
"LOC:other" , "what" , "ocean" , "be" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:date" , "what" , "year" , "do" 
"NUM:count" , "how" , "many" , "sonnet" 
"HUM:ind" , "who" , "win" , "the" 
"LOC:city" , "which" , "city" , "do" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:speed" , "what" , "be" , "the" 
"HUM:ind" , "who" , "say" , "of" 
"HUM:ind" , "who" , "declare" , "i" 
"LOC:other" , "where" , "do" , "chocolate" 
"HUM:ind" , "what" , "soviet" , "leader" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "who" , "write" , "the" 
"NUM:count" , "how" , "many" , "beatles" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:mount" , "what" , "mountains" , "lie" 
"HUM:ind" , "who" , "receive" , "the" 
"LOC:other" , "what" , "the" , "close" 
"NUM:count" , "how" , "many" , "equal" 
"HUM:ind" , "what" , "be" , "the" 
"HUM:ind" , "what" , "united" , "state" 
"LOC:other" , "where" , "be" , "basque" 
"NUM:date" , "what" , "time" , "of" 
"NUM:count" , "how" , "many" , "year" 
"LOC:city" , "what" , "south" , "korean" 
"NUM:count" , "how" , "many" , "type" 
"NUM:other" , "what" , "be" , "the" 
"LOC:mount" , "what" , "be" , "the" 
"LOC:other" , "where" , "be" , "the" 
"LOC:country" , "what" , "country" , "people" 
"NUM:date" , "when" , "be" , "the" 
"LOC:city" , "what" , "nevada" , "center" 
"HUM:ind" , "what" , "president" , "live" 
"LOC:other" , "where" , "must" , "a" 
"LOC:state" , "in" , "what" , "state" 
"NUM:date" , "what" , "year" , "do" 
"HUM:ind" , "what" , "famous" , "model" 
"NUM:money" , "how" , "much" , "money" 
"HUM:ind" , "who" , "dance" , "into" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:mount" , "what" , "be" , "the" 
"LOC:other" , "where" , "be" , "procter" 
"LOC:other" , "what" , "desert" , "have" 
"NUM:count" , "how" , "many" , "mile" 
"NUM:count" , "how" , "much" , "snow" 
"NUM:date" , "when" , "do" , "the" 
"HUM:ind" , "what" , "actor" , "autobiography" 
"HUM:ind" , "what" , "russian" , "master" 
"LOC:other" , "where" , "the" , "hole" 
"HUM:ind" , "who" , "play" , "the" 
"LOC:other" , "where" , "can" , "i" 
"LOC:other" , "where" , "do" , "sarge" 
"HUM:ind" , "who" , "write" , "the" 
"LOC:country" , "what" , "country" , "do" 
"HUM:ind" , "who" , "paint" , "mother" 
"NUM:speed" , "what" , "be" , "the" 
"LOC:other" , "in" , "what" , "area" 
"LOC:other" , "what" , "be" , "the" 
"HUM:ind" , "what" , "be" , "mao" 
"LOC:other" , "where" , "do" , "hyenas" 
"HUM:ind" , "who" , "have" , "more" 
"NUM:count" , "how" , "many" , "referee" 
"NUM:date" , "when" , "be" , "the" 
"HUM:ind" , "who" , "come" , "up" 
"HUM:ind" , "what" , "dictator" , "have" 
"LOC:city" , "what" , "city" , "be" 
"HUM:ind" , "what" , "tv" , "sitcom" 
"HUM:ind" , "who" , "keep" , "the" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "degree" 
"HUM:ind" , "what" , "spanish" , "artist" 
"HUM:ind" , "what" , "spy" , "novelist" 
"NUM:period" , "how" , "long" , "do" 
"HUM:ind" , "who" , "be" , "randy" 
"LOC:other" , "what" , "be" , "know" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "name" , "the" , "ranger" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:city" , "mccarren" , "airport" , "be" 
"NUM:perc" , "what" , "fraction" , "of" 
"LOC:country" , "what" , "country" , "have" 
"LOC:country" , "what" , "country" , "be" 
"NUM:count" , "how" , "many" , "year" 
"NUM:money" , "how" , "much" , "would" 
"LOC:country" , "what" , "country" , "have" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "whose" , "first" , "presidential" 
"LOC:city" , "what" , "city" , "be" 
"NUM:count" , "how" , "many" , "inning" 
"NUM:date" , "when" , "do" , "cnn" 
"LOC:city" , "what" , "be" , "the" 
"NUM:code" , "what" , "be" , "the" 
"HUM:ind" , "who" , "invent" , "baseball" 
"NUM:count" , "how" , "many" , "wife" 
"NUM:dist" , "how" , "long" , "be" 
"LOC:city" , "what" , "city" , "gain" 
"HUM:ind" , "who" , "be" , "shoot" 
"NUM:count" , "how" , "many" , "college" 
"LOC:city" , "what" , "russian" , "seaport" 
"LOC:other" , "where" , "can" , "stock" 
"NUM:date" , "when" , "be" , "the" 
"NUM:date" , "when" , "do" , "muhammad" 
"LOC:mount" , "where" , "do" , "people" 
"LOC:country" , "what" , "be" , "the" 
"LOC:other" , "where" , "on" , "the" 
"LOC:state" , "what" , "state" , "border" 
"NUM:temp" , "what" , "be" , "the" 
"LOC:other" , "where" , "do" , "the" 
"LOC:city" , "what" , "city" , "be" 
"HUM:ind" , "what" , "wrestle" , "star" 
"LOC:other" , "what" , "attract" , "tourist" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:other" , "where" , "be" , "procter" 
"LOC:other" , "what" , "be" , "the" 
"HUM:ind" , "what" , "be" , "her" 
"HUM:ind" , "who" , "invent" , "the" 
"LOC:other" , "where" , "be" , "the" 
"NUM:count" , "how" , "many" , "dot" 
"NUM:count" , "how" , "many" , "heart" 
"LOC:country" , "what" , "be" , "the" 
"HUM:ind" , "what" , "baseball" , "star" 
"HUM:ind" , "what" , "video" , "game" 
"NUM:count" , "how" , "many" , "hole" 
"LOC:other" , "in" , "what" , "city" 
"HUM:ind" , "what" , "tv" , "comedienne" 
"NUM:perc" , "what" , "percentage" , "of" 
"NUM:money" , "what" , "do" , "an" 
"HUM:ind" , "who" , "play" , "the" 
"HUM:ind" , "who" , "die" , "foot" 
"NUM:date" , "when" , "be" , "the" 
"HUM:ind" , "what" , "first" , "name" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:other" , "where" , "can" , "i" 
"LOC:other" , "what" , "be" , "bill" 
"LOC:city" , "what" , "russian" , "city" 
"NUM:date" , "when" , "be" , "bastille" 
"NUM:count" , "how" , "many" , "shot" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:date" , "what" , "day" , "of" 
"LOC:other" , "where" , "be" , "trinidad" 
"HUM:ind" , "who" , "grace" , "the" 
"HUM:ind" , "who" , "portray" , "portly" 
"NUM:speed" , "how" , "fast" , "be" 
"NUM:date" , "when" , "be" , "the" 
"LOC:other" , "what" , "the" , "tall" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "quarter" 
"HUM:ind" , "what" , "be" , "the" 
"NUM:ord" , "what" , "chapter" , "of" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "what" , "asian" , "leader" 
"NUM:speed" , "how" , "fast" , "do" 
"LOC:mount" , "what" , "be" , "the" 
"LOC:other" , "what" , "arch" , "can" 
"HUM:ind" , "who" , "sing" , "the" 
"NUM:period" , "how" , "long" , "should" 
"LOC:other" , "which" , "way" , "do" 
"LOC:country" , "which" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "what" , "be" , "the" 
"LOC:country" , "which" , "country" , "be" 
"LOC:other" , "where" , "be" , "the" 
"HUM:ind" , "who" , "do" , "data" 
"HUM:ind" , "what" , "be" , "the" 
"LOC:state" , "what" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:count" , "how" , "many" , "sperm" 
"NUM:dist" , "how" , "far" , "do" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:other" , "where" , "be" , "the" 
"HUM:ind" , "what" , "the" , "nickname" 
"NUM:other" , "what" , "be" , "the" 
"NUM:dist" , "how" , "far" , "can" 
"LOC:other" , "where" , "be" , "lincoln" 
"NUM:count" , "what" , "be" , "the" 
"HUM:ind" , "whose" , "autobiography" , "be" 
"NUM:date" , "what" , "year" , "do" 
"NUM:perc" , "what" , "percentage" , "of" 
"NUM:date" , "what" , "the" , "first" 
"LOC:city" , "what" , "city" , "be" 
"LOC:city" , "what" , "city" , "have" 
"HUM:ind" , "who" , "claim" , "he" 
"NUM:count" , "how" , "many" , "degree" 
"HUM:ind" , "what" , "double" , "talk" 
"LOC:city" , "what" , "be" , "the" 
"HUM:ind" , "what" , "writer" , "have" 
"NUM:count" , "how" , "many" , "layer" 
"HUM:ind" , "what" , "be" , "the" 
"LOC:other" , "what" , "county" , "be" 
"NUM:dist" , "what" , "be" , "the" 
"HUM:ind" , "who" , "be" , "name" 
"NUM:money" , "what" , "do" , "an" 
"HUM:ind" , "what" , "author" , "land" 
"NUM:count" , "how" , "many" , "american" 
"NUM:count" , "how" , "many" , "ocean" 
"NUM:count" , "how" , "many" , "pair" 
"LOC:other" , "where" , "be" , "the" 
"HUM:ind" , "what" , "lawyer" , "win" 
"HUM:ind" , "who" , "deliver" , "his" 
"NUM:count" , "how" , "many" , "time" 
"LOC:other" , "what" , "be" , "the" 
"NUM:perc" , "what" , "percent" , "like" 
"LOC:other" , "where" , "do" , "buzz" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "former" , "baseball" 
"HUM:ind" , "what" , "be" , "michelangelo" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:country" , "what" , "asian" , "country" 
"NUM:count" , "how" , "many" , "finger" 
"NUM:date" , "when" , "be" , "hurricane" 
"HUM:ind" , "what" , "be" , "the" 
"NUM:money" , "what" , "be" , "the" 
"NUM:date" , "when" , "be" , "the" 
"HUM:ind" , "what" , "classical" , "spanish" 
"HUM:ind" , "what" , "actor" , "marry" 
"HUM:ind" , "who" , "fire" , "maria" 
"NUM:period" , "the" , "italian" , "artist" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:city" , "what" , "city" , "be" 
"HUM:ind" , "what" , "president" , "show" 
"HUM:ind" , "whose" , "cover" , "be" 
"HUM:ind" , "what" , "former" , "president" 
"HUM:ind" , "what" , "fictional" , "character" 
"HUM:ind" , "what" , "longtime" , "game" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:date" , "in" , "what" , "year" 
"LOC:other" , "where" , "be" , "mozambique" 
"NUM:count" , "how" , "many" , "month" 
"HUM:ind" , "what" , "be" , "the" 
"LOC:city" , "what" , "city" , "house" 
"NUM:money" , "how" , "much" , "be" 
"HUM:ind" , "who" , "invent" , "silly" 
"HUM:ind" , "who" , "patent" , "the" 
"NUM:count" , "how" , "many" , "vietnamese" 
"NUM:count" , "on" , "average" , "how" 
"HUM:ind" , "who" , "create" , "private" 
"LOC:country" , "what" , "be" , "the" 
"HUM:ind" , "who" , "coin" , "the" 
"HUM:ind" , "what" , "be" , "the" 
"HUM:ind" , "who" , "be" , "lauren" 
"NUM:count" , "how" , "many" , "hand" 
"NUM:count" , "how" , "many" , "people" 
"HUM:ind" , "what" , "congressman" , "say" 
"HUM:ind" , "who" , "create" , "the" 
"NUM:other" , "what" , "be" , "the" 
"LOC:other" , "where" , "be" , "windsor" 
"NUM:date" , "when" , "do" , "the" 
"LOC:other" , "where" , "can" , "i" 
"LOC:state" , "what" , "state" , "do" 
"LOC:country" , "what" , "be" , "the" 
"LOC:other" , "where" , "the" , "petrified" 
"LOC:other" , "where" , "be" , "tornado" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "what" , "american" , "poet" 
"LOC:state" , "what" , "state" , "in" 
"LOC:city" , "what" , "be" , "the" 
"HUM:ind" , "who" , "paint" , "the" 
"HUM:ind" , "name" , "the" , "various" 
"LOC:other" , "what" , "be" , "the" 
"HUM:ind" , "what" , "explorers" , "follow" 
"HUM:ind" , "who" , "be" , "actress" 
"HUM:ind" , "who" , "ban" , "peter" 
"NUM:date" , "when" , "be" , "the" 
"NUM:count" , "how" , "many" , "casino" 
"NUM:date" , "what" , "year" , "do" 
"HUM:ind" , "what" , "be" , "the" 
"NUM:count" , "what" , "be" , "the" 
"LOC:other" , "what" , "the" , "long" 
"NUM:date" , "when" , "be" , "berlin" 
"NUM:count" , "how" , "many" , "space" 
"NUM:date" , "what" , "year" , "do" 
"LOC:mount" , "what" , "mountain" , "range" 
"HUM:ind" , "who" , "be" , "nickname" 
"NUM:count" , "how" , "many" , "cd" 
"LOC:other" , "where" , "be" , "the" 
"LOC:other" , "what" , "the" , "sacred" 
"LOC:country" , "what" , "be" , "stefan" 
"NUM:count" , "how" , "many" , "gutenberg" 
"LOC:country" , "name" , "the" , "large" 
"HUM:ind" , "what" , "be" , "american" 
"HUM:ind" , "what" , "author" , "do" 
"LOC:country" , "what" , "country" , "be" 
"HUM:ind" , "name" , "the" , "poet" 
"LOC:state" , "what" , "state" , "record" 
"LOC:city" , "what" , "texas" , "city" 
"LOC:country" , "what" , "country" , "do" 
"HUM:ind" , "what" , "barroom" , "judge" 
"HUM:ind" , "who" , "be" , "president" 
"LOC:country" , "what" , "country" , "have" 
"LOC:country" , "what" , "two" , "country" 
"HUM:ind" , "who" , "be" , "chairman" 
"HUM:ind" , "what" , "actor" , "star" 
"NUM:count" , "how" , "many" , "home" 
"LOC:city" , "in" , "what" , "city" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "replace" , "bert" 
"NUM:count" , "how" , "many" , "boy" 
"NUM:date" , "when" , "be" , "sheep" 
"LOC:other" , "what" , "the" , "island" 
"NUM:date" , "what" , "century" , "do" 
"NUM:count" , "how" , "many" , "astronaut" 
"LOC:other" , "where" , "be" , "logan" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "what" , "golfer" , "have" 
"HUM:ind" , "who" , "murder" , "leno" 
"NUM:money" , "what" , "be" , "the" 
"HUM:ind" , "which" , "of" , "the" 
"NUM:money" , "what" , "be" , "the" 
"LOC:state" , "what" , "be" , "the" 
"NUM:count" , "how" , "many" , "student" 
"HUM:ind" , "who" , "say" , "i" 
"HUM:ind" , "who" , "portray" , "etta" 
"LOC:other" , "what" , "the" , "name" 
"LOC:other" , "where" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "portray" , "rosanne" 
"HUM:ind" , "what" , "singer" , "become" 
"NUM:date" , "when" , "do" , "iraqi" 
"HUM:ind" , "what" , "famous" , "sing" 
"NUM:perc" , "what" , "be" , "the" 
"NUM:count" , "how" , "many" , "canadian" 
"HUM:ind" , "who" , "be" , "gerald" 
"NUM:count" , "how" , "many" , "different" 
"NUM:date" , "what" , "year" , "be" 
"HUM:ind" , "who" , "invent" , "battery" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "be" , "the" 
"LOC:other" , "what" , "london" , "street" 
"LOC:city" , "in" , "what" , "city" 
"NUM:money" , "how" , "much" , "do" 
"LOC:other" , "where" , "be" , "tufts" 
"NUM:other" , "what" , "be" , "the" 
"NUM:count" , "how" , "many" , "engine" 
"NUM:dist" , "how" , "long" , "be" 
"NUM:weight" , "what" , "do" , "a" 
"LOC:state" , "what" , "province" , "be" 
"HUM:ind" , "who" , "do" , "sonny" 
"NUM:date" , "what" , "be" , "martin" 
"HUM:ind" , "what" , "president" , "dispatch" 
"HUM:ind" , "whose" , "video" , "be" 
"NUM:count" , "how" , "many" , "james" 
"NUM:volsize" , "how" , "large" , "be" 
"NUM:count" , "how" , "much" , "electricity" 
"NUM:count" , "how" , "many" , "acre" 
"HUM:ind" , "who" , "the" , "twin" 
"NUM:money" , "what" , "be" , "the" 
"NUM:count" , "how" , "many" , "grammys" 
"LOC:other" , "what" , "be" , "the" 
"NUM:period" , "what" , "be" , "the" 
"LOC:country" , "what" , "country" , "receive" 
"NUM:count" , "how" , "many" , "syllable" 
"LOC:other" , "what" , "be" , "britain" 
"HUM:ind" , "who" , "be" , "america" 
"NUM:count" , "how" , "many" , "child" 
"HUM:ind" , "who" , "live" , "at" 
"LOC:state" , "what" , "be" , "the" 
"LOC:other" , "where" , "be" , "guam" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:count" , "how" , "many" , "people" 
"HUM:ind" , "who" , "be" , "always" 
"HUM:ind" , "who" , "do" , "jackie" 
"NUM:count" , "how" , "many" , "star" 
"HUM:ind" , "who" , "seek" , "to" 
"LOC:other" , "what" , "be" , "tourist" 
"NUM:dist" , "what" , "be" , "the" 
"HUM:ind" , "who" , "say" , "soldier" 
"NUM:period" , "how" , "long" , "do" 
"LOC:city" , "what" , "colorado" , "city" 
"NUM:money" , "how" , "much" , "do" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:other" , "where" , "do" , "guinea" 
"LOC:country" , "what" , "two" , "country" 
"NUM:date" , "when" , "be" , "the" 
"HUM:ind" , "what" , "be" , "the" 
"HUM:ind" , "which" , "be" , "the" 
"LOC:city" , "what" , "european" , "capital" 
"LOC:country" , "what" , "country" , "be" 
"NUM:perc" , "what" , "be" , "thatcher" 
"NUM:count" , "how" , "many" , "calorie" 
"LOC:state" , "in" , "what" , "state" 
"LOC:country" , "what" , "country" , "in" 
"LOC:other" , "on" , "which" , "hawaiian" 
"HUM:ind" , "what" , "feather" , "cartoon" 
"NUM:date" , "when" , "be" , "dick" 
"NUM:other" , "what" , "be" , "the" 
"LOC:city" , "what" , "city" , "be" 
"LOC:other" , "what" , "desert" , "have" 
"LOC:country" , "what" , "two" , "country" 
"NUM:period" , "how" , "long" , "be" 
"NUM:code" , "what" , "phone" , "number" 
"NUM:date" , "when" , "do" , "the" 
"LOC:other" , "what" , "continent" , "name" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "do" , "bobby" 
"LOC:other" , "where" , "can" , "i" 
"NUM:date" , "what" , "day" , "be" 
"LOC:other" , "where" , "can" , "i" 
"NUM:volsize" , "how" , "big" , "be" 
"LOC:country" , "what" , "country" , "be" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "name" , "the" , "lawyer" 
"LOC:other" , "what" , "be" , "the" 
"LOC:other" , "what" , "mountainous" , "region" 
"NUM:period" , "how" , "long" , "do" 
"HUM:ind" , "who" , "live" , "at" 
"NUM:count" , "how" , "many" , "question" 
"HUM:ind" , "who" , "play" , "humpty" 
"HUM:ind" , "who" , "be" , "karenna" 
"HUM:ind" , "who" , "play" , "the" 
"NUM:date" , "in" , "what" , "year" 
"NUM:date" , "what" , "year" , "do" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "square" 
"HUM:ind" , "what" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "what" , "comedian" , "have" 
"LOC:other" , "where" , "can" , "i" 
"NUM:date" , "box" , "day" , "be" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "be" , "make" 
"LOC:other" , "where" , "be" , "richard" 
"NUM:ord" , "where" , "do" , "the" 
"NUM:perc" , "what" , "be" , "the" 
"HUM:ind" , "name" , "of" , "scholar" 
"NUM:date" , "when" , "do" , "israel" 
"HUM:ind" , "name" , "the" , "on" 
"NUM:count" , "how" , "much" , "energy" 
"HUM:ind" , "who" , "be" , "know" 
"LOC:other" , "what" , "be" , "the" 
"LOC:country" , "what" , "country" , "and" 
"LOC:other" , "what" , "building" , "appropriately" 
"HUM:ind" , "what" , "baseball" , "team" 
"HUM:ind" , "who" , "be" , "with" 
"HUM:ind" , "what" , "be" , "the" 
"LOC:other" , "where" , "be" , "rider" 
"HUM:ind" , "what" , "boxer" , "life" 
"HUM:ind" , "who" , "advise" , "listener" 
"LOC:other" , "where" , "be" , "the" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "horse" 
"NUM:count" , "how" , "much" , "waste" 
"HUM:ind" , "what" , "nobel" , "laureate" 
"HUM:ind" , "what" , "woman" , "have" 
"NUM:count" , "how" , "many" , "minute" 
"NUM:period" , "what" , "be" , "the" 
"LOC:other" , "what" , "be" , "website" 
"LOC:other" , "where" , "be" , "of" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "astronaut" 
"NUM:date" , "in" , "what" , "year" 
"HUM:ind" , "which" , "bourbon" , "king" 
"LOC:city" , "what" , "be" , "one" 
"HUM:ind" , "what" , "daughter" , "of" 
"LOC:other" , "what" , "be" , "the" 
"LOC:mount" , "what" , "be" , "the" 
"HUM:ind" , "what" , "comedienne" , "upstaged" 
"NUM:date" , "when" , "be" , "the" 
"LOC:other" , "where" , "be" , "hearst" 
"LOC:city" , "what" , "the" , "large" 
