@relation answerExp2
@attribute AnswerType STRING
@attribute Question STRING
@data
"NUM:money" , "how much money do a back injury lawsuit get" 
"LOC:other" , "where can i find a list of classic book and grader should read" 
"NUM:period" , "how long do it take for your blood to make one complete trip through the body" 
"HUM:ind" , "what crooner join the andrew sister for pistol packin mama" 
"NUM:date" , "when do the bounty mutiny take place" 
"NUM:money" , "how much would it cost to purchase a party tent with side" 
"HUM:ind" , "what actress have receive the most oscar nomination" 
"NUM:count" , "how many year do fossil take to form" 
"LOC:other" , "where be the orinoco" 
"LOC:city" , "what city boast penn landing on the bank of the delaware river" 
"NUM:count" , "how many hostage be kill in the entebbe raid" 
"HUM:ind" , "who earn their money the hard way" 
"HUM:ind" , "who found the people temple commune" 
"HUM:ind" , "what athlete make the most money from sport merchandise sale" 
"NUM:count" , "how many bend be there in a standard paper clip" 
"HUM:ind" , "who discover electricity" 
"HUM:ind" , "who be the first american in space" 
"LOC:country" , "what two south american country do border brazil" 
"NUM:date" , "what be the busy air travel season" 
"LOC:other" , "where be the rise bowl play" 
"HUM:ind" , "who be the mayor of marbella" 
"LOC:other" , "what wide valley be just north of the mojave desert" 
"NUM:date" , "in what year do thatcher become prime minister" 
"NUM:count" , "how many month do it take the moon to revolve around the earth" 
"LOC:other" , "where be the step" 
"NUM:date" , "in what year be de gaulle elect president of france" 
"HUM:ind" , "who sing the theme for dawson creek and felicity" 
"HUM:ind" , "who direct jaw" 
"NUM:count" , "how many colony be involve in the american revolution" 
"LOC:city" , "what be the name of the city that maurizio pellegrin life in" 
"LOC:other" , "where can i find pictorial direction on how to build a very simple treehouse" 
"HUM:ind" , "what be the name of the manage director of apricot computer" 
"NUM:date" , "what be the three winter month in the southern hemisphere" 
"LOC:country" , "what country contain africa northernmost point" 
"LOC:other" , "where be the kalahari desert" 
"LOC:city" , "what city be sometimes call gotham" 
"HUM:ind" , "who create dennis the menace" 
"HUM:ind" , "what dummy receive an honorary degree from northwestern university" 
"NUM:date" , "when be the first wall street journal publish" 
"LOC:country" , "what country have the large area of forest" 
"HUM:ind" , "name alvin brother" 
"NUM:date" , "when do the royal wedding of prince andrew and fergie take place" 
"HUM:ind" , "what actor say in a day at the race either he dead or my watch have stop" 
"HUM:ind" , "what explorer be nickname iberia pilot" 
"NUM:date" , "cnn begin broadcast in what year" 
"LOC:city" , "what south american city have the world high commercial landing field" 
"NUM:count" , "how many specie of shark be there" 
"NUM:count" , "how many people be there in the world" 
"NUM:volsize" , "what be the acreage of the chappellet vineyard" 
"NUM:date" , "when do beethoven die" 
"NUM:money" , "how much do a new railroad coal car cost" 
"LOC:country" , "what two european country enter the war of american independence against the british" 
"HUM:ind" , "what russian composer prelude in c sharp minor bring him fame and fortune" 
"HUM:ind" , "who be the mother of the man who would not be king the duke of windsor" 
"NUM:count" , "how many revolution do a standard lp make in three minute" 
"LOC:mount" , "what be the name of the tall mountain in the world" 
"LOC:other" , "where can i find a review of nightmare on elm street in a film journal" 
"HUM:ind" , "what be the name of the first russian astronaut to do a spacewalk" 
"NUM:count" , "how many south american country have the letter z in their name" 
"LOC:other" , "where be george washington bear" 
"NUM:count" , "how many people on the ground be kill from the bombing of pan be flight over lockerbie scotland december cd" 
"HUM:ind" , "who write nn dt nnp nnp" 
"NUM:date" , "when be the first steel mill in the united state build" 
"HUM:ind" , "what diminutive american female gymnast steal the show at the olympics" 
"NUM:date" , "when do the berlin wall go up" 
"LOC:other" , "what las vegas hotel burn in november with the loss of life" 
"NUM:date" , "when do mount helen last have a significant eruption" 
"NUM:date" , "when do world war i start" 
"NUM:count" , "how many foot be there in a fathom" 
"LOC:city" , "what european city do nicois live in" 
"HUM:ind" , "who be president of afghanistan in" 
"HUM:ind" , "who be the lead actress in the movie sleepless in seattle" 
"HUM:ind" , "who be the president of the united state" 
"HUM:ind" , "who be the two son of ozzie and harriet nelson" 
"NUM:date" , "when be box day" 
"NUM:date" , "when be the battle of the somme fought" 
"NUM:count" , "how many people do randy craft kill" 
"NUM:date" , "when do spielberg direct jaw" 
"NUM:volsize" , "what be the size of the large akita" 
"LOC:city" , "what be california capital" 
"HUM:ind" , "who be the author of the book about computer hacker call the cuckoo egg track a spy through the maze of computer espionage" 
"HUM:ind" , "who be the founding member of the pink floyd band" 
"LOC:country" , "what european country be home to the city of budweis" 
"LOC:other" , "where be christopher columbus bear" 
"LOC:other" , "what sea do the roman call mare nostrum" 
"LOC:city" , "what city do the flintstone live in" 
"HUM:ind" , "which doonesbury character be likely to turn into a werewolf" 
"LOC:other" , "what stadium do the miami dolphins play their home game in" 
"HUM:ind" , "who have the only speaking role in silent movie" 
"NUM:other" , "what be einstein iq" 
"NUM:date" , "what day be pearl harbor attack in" 
"HUM:ind" , "what girl name be teddy an affectionate form of" 
"LOC:state" , "what state be john kennedy bury in" 
"LOC:state" , "what state have an element name for it" 
"NUM:count" , "how many year ago do the ship titanic sink" 
"LOC:other" , "what be the deep area of the arctic ocean" 
"NUM:other" , "what be the latitude and longitude of el paso texas" 
"HUM:ind" , "who make a boat out of gopher wood" 
"LOC:other" , "where can i find a fifth element screensaver" 
"HUM:ind" , "which bloom county resident wreaks havoc with a computer" 
"NUM:other" , "what be the normal resting heart rate of a healthy adult" 
"NUM:other" , "what be the population of ohio" 
"NUM:count" , "how many calorie be there in a big mac" 
"HUM:ind" , "what part do john peter zenger play in the deveopment of the newspaper in america" 
"HUM:ind" , "who follow caesar" 
"HUM:ind" , "who be the first woman golfer to earn a million" 
"LOC:other" , "what be address" 
"LOC:other" , "where can i buy movie on videotape online" 
"HUM:ind" , "who do the advertize for" 
"HUM:ind" , "who invent the radio" 
"NUM:count" , "what the american dollar equivalent for pound in the" 
"HUM:ind" , "who be the man behind the man who pull the string and speaks for miss piggy" 
"NUM:speed" , "what be the speed of the mississippi river" 
"HUM:ind" , "what actor first portray james bond" 
"LOC:other" , "what ocean be the large in the world" 
"HUM:ind" , "who be the first american poet to win the nobel prize for literature in" 
"NUM:date" , "what year do jack nicklaus join the professional golfer association tour" 
"NUM:count" , "how many sonnet do shakespeare write" 
"HUM:ind" , "who win the nobel peace prize in" 
"LOC:city" , "which city do christian crusader fight to recapture from the muslim" 
"HUM:ind" , "who be the first coach of the cleveland brown" 
"NUM:speed" , "what be the speed of the mississippi river" 
"HUM:ind" , "who say of super bowl iii in we i guarantee it" 
"HUM:ind" , "who declare i be down on whore and i shan stop rip them" 
"LOC:other" , "where do chocolate come from" 
"HUM:ind" , "what soviet leader own a" 
"LOC:other" , "where can i find a case on individual with disability education act of" 
"HUM:ind" , "who write the song stardust" 
"NUM:count" , "how many beatles record go" 
"HUM:ind" , "who be the only prime minister of canada to serve year but not necessarily consecutively" 
"LOC:mount" , "what mountains lie between the arkansas and missouri river" 
"HUM:ind" , "who receive the will rogers award in" 
"LOC:other" , "what the close spectrum yellow dwarf to earth" 
"NUM:count" , "how many equal angle be there in an isosceles triangle" 
"HUM:ind" , "what be the name of the lawyer who represent randy craft" 
"HUM:ind" , "what united state president have dream that he be assassinate" 
"LOC:other" , "where be basque country locate" 
"NUM:date" , "what time of day do emperor hirohito die" 
"NUM:count" , "how many year do it take james joyce to write ulysses" 
"LOC:city" , "what south korean city be serve by kimpo international airport" 
"NUM:count" , "how many type of dog tail be there three" 
"NUM:other" , "what be the quantity of american soldier still unaccounted for from the vietnam war" 
"LOC:mount" , "what be the high mountain on earth before mount everest be discover" 
"LOC:other" , "where be the ligurian republic" 
"LOC:country" , "what country people be the top television watcher" 
"NUM:date" , "when be the woman suffrage amendment ratify" 
"LOC:city" , "what nevada center have be dub the big little city in the world" 
"HUM:ind" , "what president live at north delaware street independence missouri" 
"LOC:other" , "where must a soccer goalie stand to be permit to handle the ball" 
"LOC:state" , "in what state be the first woman governor elect" 
"NUM:date" , "what year do hitler die" 
"HUM:ind" , "what famous model be marry to billy joel" 
"NUM:money" , "how much money be dumbo ear insure for" 
"HUM:ind" , "who dance into stardom with fred astaire in you never get rich" 
"HUM:ind" , "who be the fast swimmer in the world" 
"LOC:mount" , "what be the high peak in africa" 
"LOC:other" , "where be procter gamble headquarter in the" 
"LOC:other" , "what desert have be call the garden of allah" 
"NUM:count" , "how many mile be it to ohio from north carolina" 
"NUM:count" , "how much snow equal an inch of rain" 
"NUM:date" , "when do the average teenager first have intercourse" 
"HUM:ind" , "what actor autobiography be title all my yesterday" 
"HUM:ind" , "what russian master spy live in the under the name emil goldfus" 
"LOC:other" , "where the hole on a golf course" 
"HUM:ind" , "who play the original charlie angel" 
"LOC:other" , "where can i find a person address from a telephone number" 
"LOC:other" , "where do sarge steel get his metal hand" 
"HUM:ind" , "who write the night of the iguana" 
"LOC:country" , "what country do king gustav v reign over from to" 
"HUM:ind" , "who paint mother and child" 
"NUM:speed" , "what be the speed of the mississippi river" 
"LOC:other" , "in what area of the world be the six day war fought" 
"LOC:other" , "what be the bright star visible from earth" 
"HUM:ind" , "what be mao second name" 
"LOC:other" , "where do hyenas live" 
"HUM:ind" , "who have more dna a man or a woman" 
"NUM:count" , "how many referee work a soccer game" 
"NUM:date" , "when be the tulip festival in michigan" 
"HUM:ind" , "who come up with the name el nino" 
"HUM:ind" , "what dictator have the nickname el maximo" 
"LOC:city" , "what city be the queen of the pacific" 
"HUM:ind" , "what tv sitcom character have the maiden name ethel potter" 
"HUM:ind" , "who keep the most famous diary in the english language" 
"LOC:other" , "where can i find out the top single" 
"NUM:count" , "how many degree cooler be the inside of a cucumber than the air outside" 
"HUM:ind" , "what spanish artist paint crucifixion" 
"HUM:ind" , "what spy novelist serve a moscow correspondent for reuter and the time of london" 
"NUM:period" , "how long do it take for web to evaporate" 
"HUM:ind" , "who be randy steven craft lawyer" 
"LOC:other" , "what be know a the spice island" 
"HUM:ind" , "who be the first host of person to person" 
"HUM:ind" , "name the ranger who be always after yogi bear" 
"HUM:ind" , "who be the superstar in" 
"LOC:city" , "mccarren airport be locate in what city" 
"NUM:perc" , "what fraction of a beaver life be spend swim" 
"LOC:country" , "what country have the large sheep population" 
"LOC:country" , "what country be the world large importer of cognac" 
"NUM:count" , "how many year be johnnie walker black label age" 
"NUM:money" , "how much would a stamp be worth thomas jefferson on it" 
"LOC:country" , "what country have the most time zone with" 
"HUM:ind" , "who be the president of stanford university" 
"HUM:ind" , "whose first presidential order be let get this goddamn thing airborne" 
"LOC:city" , "what city be logan airport in" 
"NUM:count" , "how many inning be there in a regulation softball game" 
"NUM:date" , "when do cnn go on the air" 
"LOC:city" , "what be the large city on the great lake" 
"NUM:code" , "what be the telephone number for the university of kentucky" 
"HUM:ind" , "who invent baseball" 
"NUM:count" , "how many wife do brigham young have" 
"NUM:dist" , "how long be the coney island boardwalk" 
"LOC:city" , "what city gain renown for it fog" 
"HUM:ind" , "who be shoot in the back during a poker game in deadwood the dakota territory" 
"NUM:count" , "how many college be in wyoming" 
"LOC:city" , "what russian seaport have a name mean lord of the east" 
"LOC:other" , "where can stock be trade" 
"NUM:date" , "when be the battle of hastings" 
"NUM:date" , "when do muhammad live" 
"LOC:mount" , "where do people mountain climb in nepal" 
"LOC:country" , "what be the nordic nation" 
"LOC:other" , "where on the internet can i get information about the fifth amendment on the american bill of right" 
"LOC:state" , "what state border illinois to the north" 
"NUM:temp" , "what be the temperature for bake peachy oat muffin" 
"LOC:other" , "where do the myth of santa claus originate" 
"LOC:city" , "what city be serve by logan international airport" 
"HUM:ind" , "what wrestle star become the incredible hulk" 
"LOC:other" , "what attract tourist to reims" 
"HUM:ind" , "who be the star of the broadway hit golden boy" 
"LOC:other" , "where be procter gamble base in the" 
"LOC:other" , "what be the web address of the list of address of member of the house of representative" 
"HUM:ind" , "what be her real name" 
"HUM:ind" , "who invent the toothbrush" 
"LOC:other" , "where be the abominable snowman say to wander" 
"NUM:count" , "how many dot make up the symbol for because" 
"NUM:count" , "how many heart do an octopus have" 
"LOC:country" , "what be the only country you be allow to drive into israel from in" 
"HUM:ind" , "what baseball star turn down a contract because he felt he have earn it" 
"HUM:ind" , "what video game hero do some of his fan call chomper" 
"NUM:count" , "how many hole be there in a tenpin bowl ball" 
"LOC:other" , "in what city or state do the most gay men live in" 
"HUM:ind" , "what tv comedienne character include former movie star nora desmond secretary wiggins and a housewife name eunice" 
"NUM:perc" , "what percentage of the body be muscle" 
"NUM:money" , "what do an average daycare provider get pay in new england" 
"HUM:ind" , "who play the ringo kid in the film stagecoach" 
"HUM:ind" , "who die foot from where john kennedy do" 
"NUM:date" , "when be the site go to open" 
"HUM:ind" , "what first name be nipsy russell give at birth" 
"HUM:ind" , "who be the young of the beatles" 
"LOC:other" , "where can i find the best free evidence for debate about russia" 
"LOC:other" , "what be bill gate of microsoft address" 
"LOC:city" , "what russian city boast the hermitage museum" 
"NUM:date" , "when be bastille day" 
"NUM:count" , "how many shot can a stock hold" 
"HUM:ind" , "who be the first holy roman emperor" 
"NUM:date" , "what day of the week see the most fatal car accident" 
"LOC:other" , "where be trinidad" 
"HUM:ind" , "who grace the airwave with such pearl a do ya me get naked baby" 
"HUM:ind" , "who portray portly criminologist carl hyatt on checkmate" 
"NUM:speed" , "how fast be light" 
"NUM:date" , "when be the first american encyclopedia publish" 
"LOC:other" , "what the tall building in new york city" 
"LOC:other" , "where can i find information on the narragansett indian and other tribe in rhode island" 
"NUM:count" , "how many quarter equal a pound" 
"HUM:ind" , "what be the first name of rowan and martin the star of tv" 
"NUM:ord" , "what chapter of the bible have the most verse" 
"HUM:ind" , "who be the bad u president ever" 
"HUM:ind" , "what asian leader be know a the little brown saint" 
"NUM:speed" , "how fast do the fast car go" 
"LOC:mount" , "what be the high mountain in the world" 
"LOC:other" , "what arch can you see from the place de la concorde" 
"HUM:ind" , "who sing the song drink to me with thine eye by ben johnson" 
"NUM:period" , "how long should a person wash their hand before they be clean" 
"LOC:other" , "which way do you turn your bic to increase the flame clockwise or counterclockwise" 
"LOC:country" , "which be the wealthy country in the world" 
"HUM:ind" , "who be the monarch of the united kingdom" 
"HUM:ind" , "what be the top ten most common girl name in the u" 
"LOC:country" , "which country be australia large export market" 
"LOC:other" , "where be the kentucky horse park locate" 
"HUM:ind" , "who do data collection in tourism" 
"HUM:ind" , "what be the name of the daughter of the virginia chief powhatan that marry john rolfe" 
"LOC:state" , "what be the leading pecan and peanut grow state" 
"HUM:ind" , "who be the four famous founder of united artist" 
"NUM:count" , "how many sperm cell be in an average ejaculation" 
"NUM:dist" , "how far do you have to run if you hit a home run" 
"HUM:ind" , "who be the only president to wear a nazi uniform" 
"LOC:other" , "where be the tropical rain forest distribution" 
"HUM:ind" , "what the nickname of oddsmaker jimmy snyder" 
"NUM:other" , "what be the number of people that randy steven craft be convict of kill" 
"NUM:dist" , "how far can a man travel in out space" 
"LOC:other" , "where be lincoln assassinate" 
"NUM:count" , "what be the highway death toll in" 
"HUM:ind" , "whose autobiography be title yes i can" 
"NUM:date" , "what year do the united state pass the copyright law" 
"NUM:perc" , "what percentage of american own their home" 
"NUM:date" , "what the first day of the week" 
"LOC:city" , "what city be president william mckinley shot in" 
"LOC:city" , "what city have the world long subway system" 
"HUM:ind" , "who claim he kill buffalo a food for the crew build the kansa pacific railway" 
"NUM:count" , "how many degree cooler be the inside of a cucumber than the air outside" 
"HUM:ind" , "what double talk professor hold a doctorate in nothing" 
"LOC:city" , "what be the five most expensive city in the world" 
"HUM:ind" , "what writer have a country estate on the hudson dub sunnyside" 
"NUM:count" , "how many layer of yellow paint be a fab mongol pencil lucky enough to be spray with" 
"HUM:ind" , "what be the name of the cook on rawhide" 
"LOC:other" , "what county be chicago in" 
"NUM:dist" , "what be the wingspan of a condor" 
"HUM:ind" , "who be name admiral of the ocean sea and viceroy and governor general of all the island he might discover and also grant of all profit of his voyage" 
"NUM:money" , "what do an average daycare provider get pay in new england" 
"HUM:ind" , "what author land a marlin without harness in the early" 
"NUM:count" , "how many american fight for the british in the american revolution" 
"NUM:count" , "how many ocean be there and name them" 
"NUM:count" , "how many pair of leg do a lobster have" 
"LOC:other" , "where be the danube" 
"HUM:ind" , "what lawyer win the large divorce settlement million in history for sheika dena" 
"HUM:ind" , "who deliver his last newscast on march" 
"NUM:count" , "how many time have louie louie be record" 
"LOC:other" , "what be the long place name in the" 
"NUM:perc" , "what percent like thatcher after she have be in power for a decade" 
"LOC:other" , "where do buzz aldrin want to build a permanent man space station" 
"LOC:other" , "where can i find correct tab for third eye blind song" 
"HUM:ind" , "what former baseball pitcher be know a space man" 
"HUM:ind" , "what be michelangelo last name" 
"HUM:ind" , "who be the democratic nominee in the american presidential election" 
"LOC:country" , "what asian country have a bill of right for cow" 
"NUM:count" , "how many finger be use to draw a bow" 
"NUM:date" , "when be hurricane hugo" 
"HUM:ind" , "what be the first member of congress to enlist follow the attack on pearl harbor" 
"NUM:money" , "what be the price of varian associate vacuum product division" 
"NUM:date" , "when be the great depression" 
"HUM:ind" , "what classical spanish writer warn all that glitter be not gold" 
"HUM:ind" , "what actor marry john kennedy sister" 
"HUM:ind" , "who fire maria ybarra from her position in san diego council" 
"NUM:period" , "the italian artist maurizio pellegrin be how old" 
"HUM:ind" , "who be the first black golfer to tee off in the master" 
"LOC:city" , "what city be the set for puccini opera la boheme" 
"HUM:ind" , "what president show a fondness for munch on bee pollen bar" 
"HUM:ind" , "whose cover be that of an employee of universal import and export" 
"HUM:ind" , "what former president daughter have write a book title murder in the white house" 
"HUM:ind" , "what fictional character be know a the melancholy dane" 
"HUM:ind" , "what longtime game show host drop dead while jog in central park in" 
"HUM:ind" , "who be the filthy people alive" 
"NUM:date" , "in what year do ireland elect it first woman president" 
"LOC:other" , "where be mozambique locate" 
"NUM:count" , "how many month do a normal human pregnancy last" 
"HUM:ind" , "what be the real name of disc jockey wolfman jack" 
"LOC:city" , "what city house the headquarters of procter and gamble" 
"NUM:money" , "how much be the minimum wage in" 
"HUM:ind" , "who invent silly putty" 
"HUM:ind" , "who patent the first phonograph" 
"NUM:count" , "how many vietnamese be there in the soviet union" 
"NUM:count" , "on average how many mile be there to the moon" 
"HUM:ind" , "who create private detective philip marlowe" 
"LOC:country" , "what be the small country in africa" 
"HUM:ind" , "who coin the term nn cyberspace in his novel nn neuromancer" 
"HUM:ind" , "what be the full name of the man who invent the multicolored game cube that have quintillion potential combination" 
"HUM:ind" , "who be lauren bacall first husband" 
"NUM:count" , "how many hand do bjorn borg use when hit his forehand" 
"NUM:count" , "how many people die on" 
"HUM:ind" , "what congressman say keep the faith baby" 
"HUM:ind" , "who create the character of scrooge" 
"NUM:other" , "what be the student population at the university of massachusetts in amherst" 
"LOC:other" , "where be windsor castle" 
"NUM:date" , "when do the dow first reach" 
"LOC:other" , "where can i find the name of all the pokemon" 
"LOC:state" , "what state do martha stewart live in" 
"LOC:country" , "what be the benelux country" 
"LOC:other" , "where the petrified forest" 
"LOC:other" , "where be tornado alley" 
"HUM:ind" , "who be the author of john brown body" 
"HUM:ind" , "what american poet write good fence make good neighbor" 
"LOC:state" , "what state in the have the most black" 
"LOC:city" , "what be the city in which maurizio pellegrin live call" 
"HUM:ind" , "who paint the sistine chapel" 
"HUM:ind" , "name the various costumed persona of henry pym" 
"LOC:other" , "what be the old website on the internet" 
"HUM:ind" , "what explorers follow columbus to the america" 
"HUM:ind" , "who be actress goldie hawn current actor boyfriend" 
"HUM:ind" , "who ban peter rise from baseball for bet on game" 
"NUM:date" , "when be the san francisco fire" 
"NUM:count" , "how many casino be in atlantic city nj" 
"NUM:date" , "what year do the vietnam war end" 
"HUM:ind" , "what be the name of richard nixon two daughter" 
"NUM:count" , "what be the chromosome number of an elephant" 
"LOC:other" , "what the long river in the world" 
"NUM:date" , "when be berlin brandenburg gate erect" 
"NUM:count" , "how many space be there on a scrabble crossword game board" 
"NUM:date" , "what year do germany sign it nonaggression pact with the soviet union" 
"LOC:mount" , "what mountain range be traverse by the high railroad in the world" 
"HUM:ind" , "who be nickname the little corporal" 
"NUM:count" , "how many cd have garth brook sell" 
"LOC:other" , "where be the lead medical group specialize in lung disease" 
"LOC:other" , "what the sacred river of india" 
"LOC:country" , "what be stefan edberg native country" 
"NUM:count" , "how many gutenberg bible be there" 
"LOC:country" , "name the large country in south america" 
"HUM:ind" , "what be american folk hero john chapman nickname" 
"HUM:ind" , "what author do photographer yousuf karsh call the shy man i ever meet" 
"LOC:country" , "what country be godiva chocolate from" 
"HUM:ind" , "name the poet of the poem which begin i do not know much about god but i think that the river be a strong brown and untamed" 
"LOC:state" , "what state record the least rainfall" 
"LOC:city" , "what texas city get it name from the spanish for yellow" 
"LOC:country" , "what country do the nile river originate in" 
"HUM:ind" , "what barroom judge call himself the law west of the pecos" 
"HUM:ind" , "who be president of costa rica in" 
"LOC:country" , "what country have the best defensive position in the board game diplomacy" 
"LOC:country" , "what two country share the khyber pas" 
"HUM:ind" , "who be chairman of the senate select committee that try to get to the bottom of watergate" 
"HUM:ind" , "what actor star in blue lagoon the pirate movie and a night in heaven" 
"NUM:count" , "how many home run do lou gehrig have during his career" 
"LOC:city" , "in what city be the headquarters of sinn fein" 
"LOC:other" , "where can i find information on george bush" 
"HUM:ind" , "who be the voice of miss piggy" 
"HUM:ind" , "who replace bert park a the host of the miss america pageant" 
"NUM:count" , "how many boy play the game in winslow homer painting snap the whip" 
"NUM:date" , "when be sheep shorn" 
"LOC:other" , "what the island in the world" 
"NUM:date" , "what century do captain video live in" 
"NUM:count" , "how many astronaut man each project mercury flight" 
"LOC:other" , "where be logan airport" 
"HUM:ind" , "who be the first person induct into the swimming hall of fame" 
"HUM:ind" , "what golfer have be call ohio fat and blobbo" 
"HUM:ind" , "who murder leno and rosemary labianca on august" 
"NUM:money" , "what be the average cost for four year of medical school" 
"HUM:ind" , "which of the follow men be not marry to rita hayworth" 
"NUM:money" , "what be the current ticket fare from from cairo to barbados" 
"LOC:state" , "what be the state nickname of mississippi" 
"NUM:count" , "how many student attend the university of massachusetts" 
"HUM:ind" , "who say i shall return during world war two" 
"HUM:ind" , "who portray etta place companion to butch cassidey and the sundance kid" 
"LOC:other" , "what the name of the temple that be locate near the capital city of lao" 
"LOC:other" , "where be the actress marion davy bury" 
"HUM:ind" , "who be the charlie perfume woman" 
"HUM:ind" , "who portray rosanne on the television show saturday night live" 
"HUM:ind" , "what singer become despondent over the death of freddie prinze quit show business and then quit the business" 
"NUM:date" , "when do iraqi troop invade kuwait" 
"HUM:ind" , "what famous sing cowboy own the california angel baseball team" 
"NUM:perc" , "what be the probability that at least out of people will have the same birthday" 
"NUM:count" , "how many canadian emmigrate each year" 
"HUM:ind" , "who be gerald ford vice president" 
"NUM:count" , "how many different language be speak in europe" 
"NUM:date" , "what year be desmond mpilo tutu award the nobel peace prize" 
"HUM:ind" , "who invent battery" 
"LOC:other" , "where can i buy a good snowboard for less than" 
"HUM:ind" , "what be the infamous pseudonym of peter sutcliffe" 
"LOC:other" , "what london street be the home of british journalism" 
"LOC:city" , "in what city be the famed mark square" 
"NUM:money" , "how much do the minimum wage amount to in" 
"LOC:other" , "where be tufts university" 
"NUM:other" , "what be the chemical reactivity of argon" 
"NUM:count" , "how many engine do a boeing have" 
"NUM:dist" , "how long be mao long march" 
"NUM:weight" , "what do a teaspoon of matter weigh in a black hole" 
"LOC:state" , "what province be edmonton locate in" 
"HUM:ind" , "who do sonny liston succeed a world heavyweight box champion" 
"NUM:date" , "what be martin luther king real birthday" 
"HUM:ind" , "what president dispatch a cruiser to carry charles lindbergh home after his epic flight" 
"HUM:ind" , "whose video be title shape up with arnold" 
"NUM:count" , "how many james bond novel be there" 
"NUM:volsize" , "how large be the arctic refuge to preserve unique wildlife and wilderness value on alaska north coast" 
"NUM:count" , "how much electricity do the brain need to work" 
"NUM:count" , "how many acre in a mile" 
"HUM:ind" , "who the twin brother of the greek goddess artemis" 
"NUM:money" , "what be the income of colombia south america" 
"NUM:count" , "how many grammys do michael jackson win in" 
"LOC:other" , "what be the old website on the internet" 
"NUM:period" , "what be the average age of a member of the team that work on the manhatten project" 
"LOC:country" , "what country receive all the nobel prize award in" 
"NUM:count" , "how many syllable be there in a line of hendecasyllabic poetry" 
"LOC:other" , "what be britain possession on the chinese mainland" 
"HUM:ind" , "who be america first public enemy no" 
"NUM:count" , "how many child under be victim of some sort of physical abuse each year" 
"HUM:ind" , "who live at sussex drive ottawa" 
"LOC:state" , "what be the only two state that incorporate the confederate battle flag in their flag" 
"LOC:other" , "where be guam" 
"HUM:ind" , "who be the famous brush salesman" 
"NUM:count" , "how many people in america snore" 
"HUM:ind" , "who be always try to get the rent from andy capp" 
"HUM:ind" , "who do jackie kennedy commission to write the death of a president" 
"NUM:count" , "how many star be there on the soviet union flag" 
"HUM:ind" , "who seek to create the great society" 
"LOC:other" , "what be tourist attraction in reims" 
"NUM:dist" , "what be the length of pearl necklace" 
"HUM:ind" , "who say soldier win the battle and general get the credit" 
"NUM:period" , "how long do it take the typical hen to lay dozen egg" 
"LOC:city" , "what colorado city own it own glacier" 
"NUM:money" , "how much do it cost average or whatever be available to produce and send junk mail catalogue in the u dt cd nn nn" 
"HUM:ind" , "who be the current un secretary general" 
"LOC:other" , "where do guinea pig originate" 
"LOC:country" , "what two country coastline border the bay of biscay" 
"NUM:date" , "when be the slinky invent" 
"HUM:ind" , "what be the character name in the cartoon" 
