@relation answerExp9
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@attribute FirstAndFourth STRING
@attribute SecondAndFourth STRING
@attribute ThirdAndFourth STRING
@data
"HUM:ind" , "who" , "were" , "the" , "five" , "who were" , "were the" , "who the" , "who five" , "were five" , "the five" 
"NUM:date" , "in" , "which" , "year" , "was" , "in which" , "which year" , "in year" , "in was" , "which was" , "year was" 
"NUM:date" , "when" , "did" , "cnn" , "begin" , "when did" , "did cnn" , "when cnn" , "when begin" , "did begin" , "cnn begin" 
"NUM:date" , "when" , "did" , "rococo" , "painting" , "when did" , "did rococo" , "when rococo" , "when painting" , "did painting" , "rococo painting" 
"LOC:country" , "what" , "country" , "national" , "passenger" , "what country" , "country national" , "what national" , "what passenger" , "country passenger" , "national passenger" 
"HUM:ind" , "which" , "of" , "the" , "following" , "which of" , "of the" , "which the" , "which following" , "of following" , "the following" 
"HUM:ind" , "who" , "comprised" , "the" , "comic" , "who comprised" , "comprised the" , "who the" , "who comic" , "comprised comic" , "the comic" 
"LOC:state" , "what" , "state" , "is" , "fort" , "what state" , "state is" , "what is" , "what fort" , "state fort" , "is fort" 
"LOC:mount" , "where" , "is" , "the" , "highest" , "where is" , "is the" , "where the" , "where highest" , "is highest" , "the highest" 
"LOC:other" , "where" , "does" , "barney" , "rubble" , "where does" , "does barney" , "where barney" , "where rubble" , "does rubble" , "barney rubble" 
"LOC:other" , "what" , "are" , "the" , "world" , "what are" , "are the" , "what the" , "what world" , "are world" , "the world" 
"LOC:other" , "where" , "on" , "the" , "internet" , "where on" , "on the" , "where the" , "where internet" , "on internet" , "the internet" 
"NUM:money" , "how" , "much" , "money" , "does" , "how much" , "much money" , "how money" , "how does" , "much does" , "money does" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"NUM:period" , "how" , "long" , "does" , "it" , "how long" , "long does" , "how does" , "how it" , "long it" , "does it" 
"HUM:ind" , "what" , "crooner" , "joined" , "the" , "what crooner" , "crooner joined" , "what joined" , "what the" , "crooner the" , "joined the" 
"NUM:date" , "when" , "did" , "the" , "bounty" , "when did" , "did the" , "when the" , "when bounty" , "did bounty" , "the bounty" 
"NUM:money" , "how" , "much" , "would" , "it" , "how much" , "much would" , "how would" , "how it" , "much it" , "would it" 
"HUM:ind" , "what" , "actress" , "has" , "received" , "what actress" , "actress has" , "what has" , "what received" , "actress received" , "has received" 
"NUM:count" , "how" , "many" , "years" , "do" , "how many" , "many years" , "how years" , "how do" , "many do" , "years do" 
"LOC:other" , "where" , "is" , "the" , "orinoco" , "where is" , "is the" , "where the" , "where orinoco" , "is orinoco" , "the orinoco" 
"LOC:city" , "what" , "city" , "boasts" , "penn" , "what city" , "city boasts" , "what boasts" , "what penn" , "city penn" , "boasts penn" 
"NUM:count" , "how" , "many" , "hostages" , "were" , "how many" , "many hostages" , "how hostages" , "how were" , "many were" , "hostages were" 
"HUM:ind" , "who" , "earns" , "their" , "money" , "who earns" , "earns their" , "who their" , "who money" , "earns money" , "their money" 
"HUM:ind" , "who" , "founded" , "the" , "people" , "who founded" , "founded the" , "who the" , "who people" , "founded people" , "the people" 
"HUM:ind" , "what" , "athlete" , "makes" , "the" , "what athlete" , "athlete makes" , "what makes" , "what the" , "athlete the" , "makes the" 
"NUM:count" , "how" , "many" , "bends" , "are" , "how many" , "many bends" , "how bends" , "how are" , "many are" , "bends are" 
"HUM:ind" , "who" , "was" , "the" , "first" , "who was" , "was the" , "who the" , "who first" , "was first" , "the first" 
"LOC:country" , "what" , "two" , "south" , "american" , "what two" , "two south" , "what south" , "what american" , "two american" , "south american" 
"NUM:date" , "what" , "is" , "the" , "busiest" , "what is" , "is the" , "what the" , "what busiest" , "is busiest" , "the busiest" 
"LOC:other" , "where" , "is" , "the" , "rose" , "where is" , "is the" , "where the" , "where rose" , "is rose" , "the rose" 
"HUM:ind" , "who" , "is" , "the" , "mayor" , "who is" , "is the" , "who the" , "who mayor" , "is mayor" , "the mayor" 
"LOC:other" , "what" , "wide" , "valley" , "is" , "what wide" , "wide valley" , "what valley" , "what is" , "wide is" , "valley is" 
"NUM:date" , "in" , "what" , "year" , "did" , "in what" , "what year" , "in year" , "in did" , "what did" , "year did" 
"NUM:count" , "how" , "many" , "months" , "does" , "how many" , "many months" , "how months" , "how does" , "many does" , "months does" 
"LOC:other" , "where" , "are" , "the" , "steps" , "where are" , "are the" , "where the" , "where steps" , "are steps" , "the steps" 
"NUM:date" , "in" , "what" , "year" , "was" , "in what" , "what year" , "in year" , "in was" , "what was" , "year was" 
"HUM:ind" , "who" , "sings" , "the" , "themes" , "who sings" , "sings the" , "who the" , "who themes" , "sings themes" , "the themes" 
"NUM:count" , "how" , "many" , "colonies" , "were" , "how many" , "many colonies" , "how colonies" , "how were" , "many were" , "colonies were" 
"LOC:city" , "what" , "is" , "the" , "name" , "what is" , "is the" , "what the" , "what name" , "is name" , "the name" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "what" , "is" , "the" , "name" , "what is" , "is the" , "what the" , "what name" , "is name" , "the name" 
"NUM:date" , "what" , "are" , "the" , "three" , "what are" , "are the" , "what the" , "what three" , "are three" , "the three" 
"LOC:country" , "what" , "country" , "contains" , "africa" , "what country" , "country contains" , "what contains" , "what africa" , "country africa" , "contains africa" 
"LOC:other" , "where" , "is" , "the" , "kalahari" , "where is" , "is the" , "where the" , "where kalahari" , "is kalahari" , "the kalahari" 
"LOC:city" , "what" , "city" , "is" , "sometimes" , "what city" , "city is" , "what is" , "what sometimes" , "city sometimes" , "is sometimes" 
"HUM:ind" , "who" , "created" , "dennis" , "the" , "who created" , "created dennis" , "who dennis" , "who the" , "created the" , "dennis the" 
"HUM:ind" , "what" , "dummy" , "received" , "an" , "what dummy" , "dummy received" , "what received" , "what an" , "dummy an" , "received an" 
"NUM:date" , "when" , "was" , "the" , "first" , "when was" , "was the" , "when the" , "when first" , "was first" , "the first" 
"LOC:country" , "what" , "countries" , "have" , "the" , "what countries" , "countries have" , "what have" , "what the" , "countries the" , "have the" 
"NUM:date" , "when" , "did" , "the" , "royal" , "when did" , "did the" , "when the" , "when royal" , "did royal" , "the royal" 
"HUM:ind" , "what" , "actor" , "said" , "in" , "what actor" , "actor said" , "what said" , "what in" , "actor in" , "said in" 
"HUM:ind" , "what" , "explorer" , "was" , "nicknamed" , "what explorer" , "explorer was" , "what was" , "what nicknamed" , "explorer nicknamed" , "was nicknamed" 
"NUM:date" , "cnn" , "began" , "broadcasting" , "in" , "cnn began" , "began broadcasting" , "cnn broadcasting" , "cnn in" , "began in" , "broadcasting in" 
"LOC:city" , "what" , "south" , "american" , "city" , "what south" , "south american" , "what american" , "what city" , "south city" , "american city" 
"NUM:count" , "how" , "many" , "species" , "of" , "how many" , "many species" , "how species" , "how of" , "many of" , "species of" 
"NUM:count" , "how" , "many" , "people" , "are" , "how many" , "many people" , "how people" , "how are" , "many are" , "people are" 
"NUM:volsize" , "what" , "is" , "the" , "acreage" , "what is" , "is the" , "what the" , "what acreage" , "is acreage" , "the acreage" 
"NUM:date" , "when" , "did" , "beethoven" , "die" , "when did" , "did beethoven" , "when beethoven" , "when die" , "did die" , "beethoven die" 
"NUM:money" , "how" , "much" , "does" , "a" , "how much" , "much does" , "how does" , "how a" , "much a" , "does a" 
"LOC:country" , "what" , "two" , "european" , "countries" , "what two" , "two european" , "what european" , "what countries" , "two countries" , "european countries" 
"HUM:ind" , "what" , "russian" , "composer" , "prelude" , "what russian" , "russian composer" , "what composer" , "what prelude" , "russian prelude" , "composer prelude" 
"HUM:ind" , "who" , "was" , "the" , "mother" , "who was" , "was the" , "who the" , "who mother" , "was mother" , "the mother" 
"NUM:count" , "how" , "many" , "revolutions" , "does" , "how many" , "many revolutions" , "how revolutions" , "how does" , "many does" , "revolutions does" 
"LOC:mount" , "what" , "is" , "the" , "name" , "what is" , "is the" , "what the" , "what name" , "is name" , "the name" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "what" , "was" , "the" , "name" , "what was" , "was the" , "what the" , "what name" , "was name" , "the name" 
"NUM:count" , "how" , "many" , "south" , "american" , "how many" , "many south" , "how south" , "how american" , "many american" , "south american" 
"LOC:other" , "where" , "was" , "george" , "washington" , "where was" , "was george" , "where george" , "where washington" , "was washington" , "george washington" 
"NUM:count" , "how" , "many" , "people" , "on" , "how many" , "many people" , "how people" , "how on" , "many on" , "people on" 
"HUM:ind" , "who" , "wrote" , "nn" , "dt" , "who wrote" , "wrote nn" , "who nn" , "who dt" , "wrote dt" , "nn dt" 
"NUM:date" , "when" , "was" , "the" , "first" , "when was" , "was the" , "when the" , "when first" , "was first" , "the first" 
"HUM:ind" , "what" , "diminutive" , "american" , "female" , "what diminutive" , "diminutive american" , "what american" , "what female" , "diminutive female" , "american female" 
"NUM:date" , "when" , "did" , "the" , "berlin" , "when did" , "did the" , "when the" , "when berlin" , "did berlin" , "the berlin" 
"LOC:other" , "what" , "las" , "vegas" , "hotel" , "what las" , "las vegas" , "what vegas" , "what hotel" , "las hotel" , "vegas hotel" 
"NUM:date" , "when" , "did" , "mount" , "helen" , "when did" , "did mount" , "when mount" , "when helen" , "did helen" , "mount helen" 
"NUM:date" , "when" , "did" , "world" , "war" , "when did" , "did world" , "when world" , "when war" , "did war" , "world war" 
"NUM:count" , "how" , "many" , "feet" , "are" , "how many" , "many feet" , "how feet" , "how are" , "many are" , "feet are" 
"LOC:city" , "what" , "european" , "city" , "do" , "what european" , "european city" , "what city" , "what do" , "european do" , "city do" 
"HUM:ind" , "who" , "was" , "president" , "of" , "who was" , "was president" , "who president" , "who of" , "was of" , "president of" 
"HUM:ind" , "who" , "was" , "the" , "lead" , "who was" , "was the" , "who the" , "who lead" , "was lead" , "the lead" 
"HUM:ind" , "who" , "was" , "the" , "president" , "who was" , "was the" , "who the" , "who president" , "was president" , "the president" 
"HUM:ind" , "who" , "are" , "the" , "two" , "who are" , "are the" , "who the" , "who two" , "are two" , "the two" 
"NUM:date" , "when" , "is" , "boxing" , "day" , "when is" , "is boxing" , "when boxing" , "when day" , "is day" , "boxing day" 
"NUM:date" , "when" , "was" , "the" , "battle" , "when was" , "was the" , "when the" , "when battle" , "was battle" , "the battle" 
"NUM:count" , "how" , "many" , "people" , "did" , "how many" , "many people" , "how people" , "how did" , "many did" , "people did" 
"NUM:date" , "when" , "did" , "spielberg" , "direct" , "when did" , "did spielberg" , "when spielberg" , "when direct" , "did direct" , "spielberg direct" 
"NUM:volsize" , "what" , "is" , "the" , "size" , "what is" , "is the" , "what the" , "what size" , "is size" , "the size" 
"LOC:city" , "what" , "is" , "california" , "capital" , "what is" , "is california" , "what california" , "what capital" , "is capital" , "california capital" 
"HUM:ind" , "who" , "was" , "the" , "author" , "who was" , "was the" , "who the" , "who author" , "was author" , "the author" 
"HUM:ind" , "who" , "was" , "the" , "founding" , "who was" , "was the" , "who the" , "who founding" , "was founding" , "the founding" 
"LOC:country" , "what" , "european" , "country" , "is" , "what european" , "european country" , "what country" , "what is" , "european is" , "country is" 
"LOC:other" , "where" , "was" , "christopher" , "columbus" , "where was" , "was christopher" , "where christopher" , "where columbus" , "was columbus" , "christopher columbus" 
"LOC:other" , "what" , "sea" , "did" , "the" , "what sea" , "sea did" , "what did" , "what the" , "sea the" , "did the" 
"LOC:city" , "what" , "city" , "did" , "the" , "what city" , "city did" , "what did" , "what the" , "city the" , "did the" 
"HUM:ind" , "which" , "doonesbury" , "character" , "was" , "which doonesbury" , "doonesbury character" , "which character" , "which was" , "doonesbury was" , "character was" 
"LOC:other" , "what" , "stadium" , "do" , "the" , "what stadium" , "stadium do" , "what do" , "what the" , "stadium the" , "do the" 
"HUM:ind" , "who" , "has" , "the" , "only" , "who has" , "has the" , "who the" , "who only" , "has only" , "the only" 
"NUM:other" , "what" , "was" , "einstein" , "iq" , "what was" , "was einstein" , "what einstein" , "what iq" , "was iq" , "einstein iq" 
"NUM:date" , "what" , "day" , "was" , "pearl" , "what day" , "day was" , "what was" , "what pearl" , "day pearl" , "was pearl" 
"HUM:ind" , "what" , "girl" , "name" , "is" , "what girl" , "girl name" , "what name" , "what is" , "girl is" , "name is" 
"LOC:state" , "what" , "state" , "is" , "john" , "what state" , "state is" , "what is" , "what john" , "state john" , "is john" 
"LOC:state" , "what" , "state" , "has" , "an" , "what state" , "state has" , "what has" , "what an" , "state an" , "has an" 
"NUM:count" , "how" , "many" , "years" , "ago" , "how many" , "many years" , "how years" , "how ago" , "many ago" , "years ago" 
"LOC:other" , "what" , "is" , "the" , "deepest" , "what is" , "is the" , "what the" , "what deepest" , "is deepest" , "the deepest" 
"NUM:other" , "what" , "is" , "the" , "latitude" , "what is" , "is the" , "what the" , "what latitude" , "is latitude" , "the latitude" 
"HUM:ind" , "who" , "made" , "a" , "boat" , "who made" , "made a" , "who a" , "who boat" , "made boat" , "a boat" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "which" , "bloom" , "county" , "resident" , "which bloom" , "bloom county" , "which county" , "which resident" , "bloom resident" , "county resident" 
"NUM:other" , "what" , "is" , "the" , "normal" , "what is" , "is the" , "what the" , "what normal" , "is normal" , "the normal" 
"NUM:other" , "what" , "is" , "the" , "population" , "what is" , "is the" , "what the" , "what population" , "is population" , "the population" 
"NUM:count" , "how" , "many" , "calories" , "are" , "how many" , "many calories" , "how calories" , "how are" , "many are" , "calories are" 
"HUM:ind" , "what" , "part" , "did" , "john" , "what part" , "part did" , "what did" , "what john" , "part john" , "did john" 
"HUM:ind" , "who" , "was" , "the" , "first" , "who was" , "was the" , "who the" , "who first" , "was first" , "the first" 
"LOC:other" , "where" , "can" , "i" , "buy" , "where can" , "can i" , "where i" , "where buy" , "can buy" , "i buy" 
"HUM:ind" , "who" , "does" , "the" , "advertizing" , "who does" , "does the" , "who the" , "who advertizing" , "does advertizing" , "the advertizing" 
"HUM:ind" , "who" , "invented" , "the" , "radio" , "who invented" , "invented the" , "who the" , "who radio" , "invented radio" , "the radio" 
"NUM:count" , "what" , "the" , "american" , "dollar" , "what the" , "the american" , "what american" , "what dollar" , "the dollar" , "american dollar" 
"HUM:ind" , "who" , "is" , "the" , "man" , "who is" , "is the" , "who the" , "who man" , "is man" , "the man" 
"NUM:speed" , "what" , "is" , "the" , "speed" , "what is" , "is the" , "what the" , "what speed" , "is speed" , "the speed" 
"HUM:ind" , "what" , "actor" , "first" , "portrayed" , "what actor" , "actor first" , "what first" , "what portrayed" , "actor portrayed" , "first portrayed" 
"LOC:other" , "what" , "ocean" , "is" , "the" , "what ocean" , "ocean is" , "what is" , "what the" , "ocean the" , "is the" 
"HUM:ind" , "who" , "was" , "the" , "first" , "who was" , "was the" , "who the" , "who first" , "was first" , "the first" 
"NUM:date" , "what" , "year" , "did" , "jack" , "what year" , "year did" , "what did" , "what jack" , "year jack" , "did jack" 
"NUM:count" , "how" , "many" , "sonnets" , "did" , "how many" , "many sonnets" , "how sonnets" , "how did" , "many did" , "sonnets did" 
"HUM:ind" , "who" , "won" , "the" , "nobel" , "who won" , "won the" , "who the" , "who nobel" , "won nobel" , "the nobel" 
"LOC:city" , "which" , "city" , "did" , "christian" , "which city" , "city did" , "which did" , "which christian" , "city christian" , "did christian" 
"HUM:ind" , "who" , "was" , "the" , "first" , "who was" , "was the" , "who the" , "who first" , "was first" , "the first" 
"NUM:speed" , "what" , "is" , "the" , "speed" , "what is" , "is the" , "what the" , "what speed" , "is speed" , "the speed" 
"HUM:ind" , "who" , "said" , "of" , "super" , "who said" , "said of" , "who of" , "who super" , "said super" , "of super" 
"HUM:ind" , "who" , "declared" , "i" , "am" , "who declared" , "declared i" , "who i" , "who am" , "declared am" , "i am" 
"LOC:other" , "where" , "does" , "chocolate" , "come" , "where does" , "does chocolate" , "where chocolate" , "where come" , "does come" , "chocolate come" 
"HUM:ind" , "what" , "soviet" , "leader" , "owned" , "what soviet" , "soviet leader" , "what leader" , "what owned" , "soviet owned" , "leader owned" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "who" , "wrote" , "the" , "song" , "who wrote" , "wrote the" , "who the" , "who song" , "wrote song" , "the song" 
"NUM:count" , "how" , "many" , "beatles" , "records" , "how many" , "many beatles" , "how beatles" , "how records" , "many records" , "beatles records" 
"HUM:ind" , "who" , "is" , "the" , "only" , "who is" , "is the" , "who the" , "who only" , "is only" , "the only" 
"LOC:mount" , "what" , "mountains" , "lie" , "between" , "what mountains" , "mountains lie" , "what lie" , "what between" , "mountains between" , "lie between" 
"HUM:ind" , "who" , "received" , "the" , "will" , "who received" , "received the" , "who the" , "who will" , "received will" , "the will" 
"LOC:other" , "what" , "the" , "closest" , "spectrum" , "what the" , "the closest" , "what closest" , "what spectrum" , "the spectrum" , "closest spectrum" 
"NUM:count" , "how" , "many" , "equal" , "angles" , "how many" , "many equal" , "how equal" , "how angles" , "many angles" , "equal angles" 
"HUM:ind" , "what" , "was" , "the" , "name" , "what was" , "was the" , "what the" , "what name" , "was name" , "the name" 
"HUM:ind" , "what" , "united" , "states" , "president" , "what united" , "united states" , "what states" , "what president" , "united president" , "states president" 
"LOC:other" , "where" , "is" , "basque" , "country" , "where is" , "is basque" , "where basque" , "where country" , "is country" , "basque country" 
"NUM:date" , "what" , "time" , "of" , "day" , "what time" , "time of" , "what of" , "what day" , "time day" , "of day" 
"NUM:count" , "how" , "many" , "years" , "did" , "how many" , "many years" , "how years" , "how did" , "many did" , "years did" 
"LOC:city" , "what" , "south" , "korean" , "city" , "what south" , "south korean" , "what korean" , "what city" , "south city" , "korean city" 
"NUM:count" , "how" , "many" , "types" , "of" , "how many" , "many types" , "how types" , "how of" , "many of" , "types of" 
"NUM:other" , "what" , "is" , "the" , "quantity" , "what is" , "is the" , "what the" , "what quantity" , "is quantity" , "the quantity" 
"LOC:mount" , "what" , "was" , "the" , "highest" , "what was" , "was the" , "what the" , "what highest" , "was highest" , "the highest" 
"LOC:other" , "where" , "was" , "the" , "ligurian" , "where was" , "was the" , "where the" , "where ligurian" , "was ligurian" , "the ligurian" 
"LOC:country" , "what" , "country" , "people" , "are" , "what country" , "country people" , "what people" , "what are" , "country are" , "people are" 
"NUM:date" , "when" , "was" , "the" , "women" , "when was" , "was the" , "when the" , "when women" , "was women" , "the women" 
"LOC:city" , "what" , "nevada" , "center" , "has" , "what nevada" , "nevada center" , "what center" , "what has" , "nevada has" , "center has" 
"HUM:ind" , "what" , "president" , "lived" , "at" , "what president" , "president lived" , "what lived" , "what at" , "president at" , "lived at" 
"LOC:other" , "where" , "must" , "a" , "soccer" , "where must" , "must a" , "where a" , "where soccer" , "must soccer" , "a soccer" 
"LOC:state" , "in" , "what" , "state" , "was" , "in what" , "what state" , "in state" , "in was" , "what was" , "state was" 
"NUM:date" , "what" , "year" , "did" , "hitler" , "what year" , "year did" , "what did" , "what hitler" , "year hitler" , "did hitler" 
"HUM:ind" , "what" , "famous" , "model" , "was" , "what famous" , "famous model" , "what model" , "what was" , "famous was" , "model was" 
"NUM:money" , "how" , "much" , "money" , "are" , "how much" , "much money" , "how money" , "how are" , "much are" , "money are" 
"HUM:ind" , "who" , "danced" , "into" , "stardom" , "who danced" , "danced into" , "who into" , "who stardom" , "danced stardom" , "into stardom" 
"HUM:ind" , "who" , "is" , "the" , "fastest" , "who is" , "is the" , "who the" , "who fastest" , "is fastest" , "the fastest" 
"LOC:mount" , "what" , "is" , "the" , "highest" , "what is" , "is the" , "what the" , "what highest" , "is highest" , "the highest" 
"LOC:other" , "where" , "is" , "procter" , "gamble" , "where is" , "is procter" , "where procter" , "where gamble" , "is gamble" , "procter gamble" 
"LOC:other" , "what" , "desert" , "has" , "been" , "what desert" , "desert has" , "what has" , "what been" , "desert been" , "has been" 
"NUM:count" , "how" , "many" , "miles" , "is" , "how many" , "many miles" , "how miles" , "how is" , "many is" , "miles is" 
"NUM:count" , "how" , "much" , "snow" , "equals" , "how much" , "much snow" , "how snow" , "how equals" , "much equals" , "snow equals" 
"NUM:date" , "when" , "does" , "the" , "average" , "when does" , "does the" , "when the" , "when average" , "does average" , "the average" 
"HUM:ind" , "what" , "actor" , "autobiography" , "is" , "what actor" , "actor autobiography" , "what autobiography" , "what is" , "actor is" , "autobiography is" 
"HUM:ind" , "what" , "russian" , "master" , "spy" , "what russian" , "russian master" , "what master" , "what spy" , "russian spy" , "master spy" 
"LOC:other" , "where" , "the" , "hole" , "on" , "where the" , "the hole" , "where hole" , "where on" , "the on" , "hole on" 
"HUM:ind" , "who" , "played" , "the" , "original" , "who played" , "played the" , "who the" , "who original" , "played original" , "the original" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"LOC:other" , "where" , "did" , "sarge" , "steel" , "where did" , "did sarge" , "where sarge" , "where steel" , "did steel" , "sarge steel" 
"HUM:ind" , "who" , "wrote" , "the" , "night" , "who wrote" , "wrote the" , "who the" , "who night" , "wrote night" , "the night" 
"LOC:country" , "what" , "country" , "did" , "king" , "what country" , "country did" , "what did" , "what king" , "country king" , "did king" 
"HUM:ind" , "who" , "painted" , "mother" , "and" , "who painted" , "painted mother" , "who mother" , "who and" , "painted and" , "mother and" 
"NUM:speed" , "what" , "is" , "the" , "speed" , "what is" , "is the" , "what the" , "what speed" , "is speed" , "the speed" 
"LOC:other" , "in" , "what" , "area" , "of" , "in what" , "what area" , "in area" , "in of" , "what of" , "area of" 
"LOC:other" , "what" , "is" , "the" , "brightest" , "what is" , "is the" , "what the" , "what brightest" , "is brightest" , "the brightest" 
"HUM:ind" , "what" , "was" , "mao" , "second" , "what was" , "was mao" , "what mao" , "what second" , "was second" , "mao second" 
"LOC:other" , "where" , "do" , "hyenas" , "live" , "where do" , "do hyenas" , "where hyenas" , "where live" , "do live" , "hyenas live" 
"HUM:ind" , "who" , "has" , "more" , "dna" , "who has" , "has more" , "who more" , "who dna" , "has dna" , "more dna" 
"NUM:count" , "how" , "many" , "referees" , "work" , "how many" , "many referees" , "how referees" , "how work" , "many work" , "referees work" 
"NUM:date" , "when" , "is" , "the" , "tulip" , "when is" , "is the" , "when the" , "when tulip" , "is tulip" , "the tulip" 
"HUM:ind" , "who" , "came" , "up" , "with" , "who came" , "came up" , "who up" , "who with" , "came with" , "up with" 
"HUM:ind" , "what" , "dictator" , "has" , "the" , "what dictator" , "dictator has" , "what has" , "what the" , "dictator the" , "has the" 
"LOC:city" , "what" , "city" , "is" , "the" , "what city" , "city is" , "what is" , "what the" , "city the" , "is the" 
"HUM:ind" , "what" , "tv" , "sitcom" , "character" , "what tv" , "tv sitcom" , "what sitcom" , "what character" , "tv character" , "sitcom character" 
"HUM:ind" , "who" , "kept" , "the" , "most" , "who kept" , "kept the" , "who the" , "who most" , "kept most" , "the most" 
