@relation answerExp3
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@data
"NUM:other" , "what" , "is" , "the" 
"HUM:ind" , "who" , "made" , "a" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "which" , "bloom" , "county" 
"NUM:other" , "what" , "is" , "the" 
"NUM:other" , "what" , "is" , "the" 
"NUM:count" , "how" , "many" , "calories" 
"HUM:ind" , "what" , "part" , "did" 
"HUM:ind" , "who" , "followed" , "caesar" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:other" , "what" , "is" , "address" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "who" , "does" , "the" 
"HUM:ind" , "who" , "invented" , "the" 
"NUM:count" , "what" , "the" , "american" 
"HUM:ind" , "who" , "is" , "the" 
"NUM:speed" , "what" , "is" , "the" 
"HUM:ind" , "what" , "actor" , "first" 
"LOC:other" , "what" , "ocean" , "is" 
"HUM:ind" , "who" , "was" , "the" 
"NUM:date" , "what" , "year" , "did" 
"NUM:count" , "how" , "many" , "sonnets" 
"HUM:ind" , "who" , "won" , "the" 
"LOC:city" , "which" , "city" , "did" 
"HUM:ind" , "who" , "was" , "the" 
"NUM:speed" , "what" , "is" , "the" 
"HUM:ind" , "who" , "said" , "of" 
"HUM:ind" , "who" , "declared" , "i" 
"LOC:other" , "where" , "does" , "chocolate" 
"HUM:ind" , "what" , "soviet" , "leader" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "who" , "wrote" , "the" 
"NUM:count" , "how" , "many" , "beatles" 
"HUM:ind" , "who" , "is" , "the" 
"LOC:mount" , "what" , "mountains" , "lie" 
"HUM:ind" , "who" , "received" , "the" 
"LOC:other" , "what" , "the" , "closest" 
"NUM:count" , "how" , "many" , "equal" 
"HUM:ind" , "what" , "was" , "the" 
"HUM:ind" , "what" , "united" , "states" 
"LOC:other" , "where" , "is" , "basque" 
"NUM:date" , "what" , "time" , "of" 
"NUM:count" , "how" , "many" , "years" 
"LOC:city" , "what" , "south" , "korean" 
"NUM:count" , "how" , "many" , "types" 
"NUM:other" , "what" , "is" , "the" 
"LOC:mount" , "what" , "was" , "the" 
"LOC:other" , "where" , "was" , "the" 
"LOC:country" , "what" , "country" , "people" 
"NUM:date" , "when" , "was" , "the" 
"LOC:city" , "what" , "nevada" , "center" 
"HUM:ind" , "what" , "president" , "lived" 
"LOC:other" , "where" , "must" , "a" 
"LOC:state" , "in" , "what" , "state" 
"NUM:date" , "what" , "year" , "did" 
"HUM:ind" , "what" , "famous" , "model" 
"NUM:money" , "how" , "much" , "money" 
"HUM:ind" , "who" , "danced" , "into" 
"HUM:ind" , "who" , "is" , "the" 
"LOC:mount" , "what" , "is" , "the" 
"LOC:other" , "where" , "is" , "procter" 
"LOC:other" , "what" , "desert" , "has" 
"NUM:count" , "how" , "many" , "miles" 
"NUM:count" , "how" , "much" , "snow" 
"NUM:date" , "when" , "does" , "the" 
"HUM:ind" , "what" , "actor" , "autobiography" 
"HUM:ind" , "what" , "russian" , "master" 
"LOC:other" , "where" , "the" , "hole" 
"HUM:ind" , "who" , "played" , "the" 
"LOC:other" , "where" , "can" , "i" 
"LOC:other" , "where" , "did" , "sarge" 
"HUM:ind" , "who" , "wrote" , "the" 
"LOC:country" , "what" , "country" , "did" 
"HUM:ind" , "who" , "painted" , "mother" 
"NUM:speed" , "what" , "is" , "the" 
"LOC:other" , "in" , "what" , "area" 
"LOC:other" , "what" , "is" , "the" 
"HUM:ind" , "what" , "was" , "mao" 
"LOC:other" , "where" , "do" , "hyenas" 
"HUM:ind" , "who" , "has" , "more" 
"NUM:count" , "how" , "many" , "referees" 
"NUM:date" , "when" , "is" , "the" 
"HUM:ind" , "who" , "came" , "up" 
"HUM:ind" , "what" , "dictator" , "has" 
"LOC:city" , "what" , "city" , "is" 
"HUM:ind" , "what" , "tv" , "sitcom" 
"HUM:ind" , "who" , "kept" , "the" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "degrees" 
"HUM:ind" , "what" , "spanish" , "artist" 
"HUM:ind" , "what" , "spy" , "novelist" 
"NUM:period" , "how" , "long" , "does" 
"HUM:ind" , "who" , "was" , "randy" 
"LOC:other" , "what" , "was" , "known" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "name" , "the" , "ranger" 
"HUM:ind" , "who" , "is" , "the" 
"LOC:city" , "mccarren" , "airport" , "is" 
"NUM:perc" , "what" , "fraction" , "of" 
"LOC:country" , "what" , "country" , "has" 
"LOC:country" , "what" , "country" , "is" 
"NUM:count" , "how" , "many" , "years" 
"NUM:money" , "how" , "much" , "would" 
"LOC:country" , "what" , "country" , "has" 
"HUM:ind" , "who" , "is" , "the" 
"HUM:ind" , "whose" , "first" , "presidential" 
"LOC:city" , "what" , "city" , "is" 
"NUM:count" , "how" , "many" , "innings" 
"NUM:date" , "when" , "did" , "cnn" 
"LOC:city" , "what" , "is" , "the" 
"NUM:code" , "what" , "is" , "the" 
"HUM:ind" , "who" , "invented" , "baseball" 
"NUM:count" , "how" , "many" , "wives" 
"NUM:dist" , "how" , "long" , "is" 
"LOC:city" , "what" , "city" , "gained" 
"HUM:ind" , "who" , "was" , "shot" 
"NUM:count" , "how" , "many" , "colleges" 
"LOC:city" , "what" , "russian" , "seaport" 
"LOC:other" , "where" , "can" , "stocks" 
"NUM:date" , "when" , "was" , "the" 
"NUM:date" , "when" , "did" , "muhammad" 
"LOC:mount" , "where" , "do" , "people" 
"LOC:country" , "what" , "are" , "the" 
"LOC:other" , "where" , "on" , "the" 
"LOC:state" , "what" , "state" , "borders" 
"NUM:temp" , "what" , "is" , "the" 
"LOC:other" , "where" , "did" , "the" 
"LOC:city" , "what" , "city" , "is" 
"HUM:ind" , "what" , "wrestling" , "star" 
"LOC:other" , "what" , "attracts" , "tourists" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:other" , "where" , "is" , "procter" 
"LOC:other" , "what" , "is" , "the" 
"HUM:ind" , "what" , "was" , "her" 
"HUM:ind" , "who" , "invented" , "the" 
"LOC:other" , "where" , "is" , "the" 
"NUM:count" , "how" , "many" , "dots" 
"NUM:count" , "how" , "many" , "hearts" 
"LOC:country" , "what" , "was" , "the" 
"HUM:ind" , "what" , "baseball" , "star" 
"HUM:ind" , "what" , "video" , "game" 
"NUM:count" , "how" , "many" , "holes" 
"LOC:other" , "in" , "what" , "city" 
"HUM:ind" , "what" , "tv" , "comediennes" 
"NUM:perc" , "what" , "percentage" , "of" 
"NUM:money" , "what" , "does" , "an" 
"HUM:ind" , "who" , "played" , "the" 
"HUM:ind" , "who" , "died" , "feet" 
"NUM:date" , "when" , "is" , "the" 
"HUM:ind" , "what" , "first" , "name" 
"HUM:ind" , "who" , "is" , "the" 
"LOC:other" , "where" , "can" , "i" 
"LOC:other" , "what" , "is" , "bill" 
"LOC:city" , "what" , "russian" , "city" 
"NUM:date" , "when" , "is" , "bastille" 
"NUM:count" , "how" , "many" , "shots" 
"HUM:ind" , "who" , "was" , "the" 
"NUM:date" , "what" , "day" , "of" 
"LOC:other" , "where" , "is" , "trinidad" 
"HUM:ind" , "who" , "graced" , "the" 
"HUM:ind" , "who" , "portrayed" , "portly" 
"NUM:speed" , "how" , "fast" , "is" 
"NUM:date" , "when" , "was" , "the" 
"LOC:other" , "what" , "the" , "tallest" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "quarters" 
"HUM:ind" , "what" , "are" , "the" 
"NUM:ord" , "what" , "chapter" , "of" 
"HUM:ind" , "who" , "is" , "the" 
"HUM:ind" , "what" , "asian" , "leader" 
"NUM:speed" , "how" , "fast" , "does" 
"LOC:mount" , "what" , "is" , "the" 
"LOC:other" , "what" , "arch" , "can" 
"HUM:ind" , "who" , "sings" , "the" 
"NUM:period" , "how" , "long" , "should" 
"LOC:other" , "which" , "way" , "do" 
"LOC:country" , "which" , "is" , "the" 
"HUM:ind" , "who" , "is" , "the" 
"HUM:ind" , "what" , "are" , "the" 
"LOC:country" , "which" , "country" , "is" 
"LOC:other" , "where" , "is" , "the" 
"HUM:ind" , "who" , "does" , "data" 
"HUM:ind" , "what" , "was" , "the" 
"LOC:state" , "what" , "is" , "the" 
"HUM:ind" , "who" , "were" , "the" 
"NUM:count" , "how" , "many" , "sperm" 
"NUM:dist" , "how" , "far" , "do" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:other" , "where" , "are" , "the" 
"HUM:ind" , "what" , "the" , "nickname" 
"NUM:other" , "what" , "was" , "the" 
"NUM:dist" , "how" , "far" , "can" 
"LOC:other" , "where" , "was" , "lincoln" 
"NUM:count" , "what" , "was" , "the" 
"HUM:ind" , "whose" , "autobiography" , "is" 
"NUM:date" , "what" , "year" , "did" 
"NUM:perc" , "what" , "percentage" , "of" 
"NUM:date" , "what" , "the" , "first" 
"LOC:city" , "what" , "city" , "was" 
"LOC:city" , "what" , "city" , "has" 
"HUM:ind" , "who" , "claimed" , "he" 
"NUM:count" , "how" , "many" , "degrees" 
"HUM:ind" , "what" , "double" , "talking" 
"LOC:city" , "what" , "are" , "the" 
"HUM:ind" , "what" , "writer" , "had" 
"NUM:count" , "how" , "many" , "layers" 
"HUM:ind" , "what" , "was" , "the" 
"LOC:other" , "what" , "county" , "is" 
"NUM:dist" , "what" , "is" , "the" 
"HUM:ind" , "who" , "was" , "named" 
"NUM:money" , "what" , "does" , "an" 
"HUM:ind" , "what" , "author" , "landed" 
"NUM:count" , "how" , "many" , "americans" 
"NUM:count" , "how" , "many" , "oceans" 
"NUM:count" , "how" , "many" , "pairs" 
"LOC:other" , "where" , "is" , "the" 
"HUM:ind" , "what" , "lawyer" , "won" 
"HUM:ind" , "who" , "delivered" , "his" 
"NUM:count" , "how" , "many" , "times" 
"LOC:other" , "what" , "is" , "the" 
"NUM:perc" , "what" , "percent" , "liked" 
"LOC:other" , "where" , "does" , "buzz" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "former" , "baseball" 
"HUM:ind" , "what" , "was" , "michelangelo" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:country" , "what" , "asian" , "country" 
"NUM:count" , "how" , "many" , "fingers" 
"NUM:date" , "when" , "was" , "hurricane" 
"HUM:ind" , "what" , "was" , "the" 
"NUM:money" , "what" , "was" , "the" 
"NUM:date" , "when" , "was" , "the" 
"HUM:ind" , "what" , "classical" , "spanish" 
"HUM:ind" , "what" , "actor" , "married" 
"HUM:ind" , "who" , "fired" , "maria" 
"NUM:period" , "the" , "italian" , "artist" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:city" , "what" , "city" , "is" 
"HUM:ind" , "what" , "president" , "showed" 
"HUM:ind" , "whose" , "cover" , "is" 
"HUM:ind" , "what" , "former" , "president" 
"HUM:ind" , "what" , "fictional" , "character" 
"HUM:ind" , "what" , "longtime" , "game" 
"HUM:ind" , "who" , "were" , "the" 
"NUM:date" , "in" , "what" , "year" 
"LOC:other" , "where" , "is" , "mozambique" 
"NUM:count" , "how" , "many" , "months" 
"HUM:ind" , "what" , "is" , "the" 
"LOC:city" , "what" , "city" , "houses" 
"NUM:money" , "how" , "much" , "was" 
"HUM:ind" , "who" , "invented" , "silly" 
"HUM:ind" , "who" , "patented" , "the" 
"NUM:count" , "how" , "many" , "vietnamese" 
"NUM:count" , "on" , "average" , "how" 
"HUM:ind" , "who" , "created" , "private" 
"LOC:country" , "what" , "is" , "the" 
"HUM:ind" , "who" , "coined" , "the" 
"HUM:ind" , "what" , "is" , "the" 
"HUM:ind" , "who" , "was" , "lauren" 
"NUM:count" , "how" , "many" , "hands" 
"NUM:count" , "how" , "many" , "people" 
"HUM:ind" , "what" , "congressman" , "said" 
"HUM:ind" , "who" , "created" , "the" 
"NUM:other" , "what" , "is" , "the" 
"LOC:other" , "where" , "is" , "windsor" 
"NUM:date" , "when" , "did" , "the" 
"LOC:other" , "where" , "can" , "i" 
"LOC:state" , "what" , "state" , "does" 
"LOC:country" , "what" , "are" , "the" 
"LOC:other" , "where" , "the" , "petrified" 
"LOC:other" , "where" , "is" , "tornado" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "what" , "american" , "poet" 
"LOC:state" , "what" , "state" , "in" 
"LOC:city" , "what" , "is" , "the" 
"HUM:ind" , "who" , "painted" , "the" 
"HUM:ind" , "name" , "the" , "various" 
"LOC:other" , "what" , "is" , "the" 
"HUM:ind" , "what" , "explorers" , "followed" 
"HUM:ind" , "who" , "is" , "actress" 
"HUM:ind" , "who" , "banned" , "peter" 
"NUM:date" , "when" , "was" , "the" 
"NUM:count" , "how" , "many" , "casinos" 
"NUM:date" , "what" , "year" , "did" 
"HUM:ind" , "what" , "are" , "the" 
"NUM:count" , "what" , "is" , "the" 
"LOC:other" , "what" , "the" , "longest" 
"NUM:date" , "when" , "was" , "berlin" 
"NUM:count" , "how" , "many" , "spaces" 
"NUM:date" , "what" , "year" , "did" 
"LOC:mount" , "what" , "mountain" , "range" 
"HUM:ind" , "who" , "was" , "nicknamed" 
"NUM:count" , "how" , "many" , "cds" 
"LOC:other" , "where" , "are" , "the" 
"LOC:other" , "what" , "the" , "sacred" 
"LOC:country" , "what" , "is" , "stefan" 
"NUM:count" , "how" , "many" , "gutenberg" 
"LOC:country" , "name" , "the" , "largest" 
"HUM:ind" , "what" , "was" , "american" 
"HUM:ind" , "what" , "author" , "did" 
"LOC:country" , "what" , "country" , "are" 
"HUM:ind" , "name" , "the" , "poet" 
"LOC:state" , "what" , "state" , "records" 
"LOC:city" , "what" , "texas" , "city" 
"LOC:country" , "what" , "country" , "did" 
"HUM:ind" , "what" , "barroom" , "judge" 
"HUM:ind" , "who" , "was" , "president" 
"LOC:country" , "what" , "country" , "has" 
"LOC:country" , "what" , "two" , "countries" 
"HUM:ind" , "who" , "was" , "chairman" 
"HUM:ind" , "what" , "actor" , "starred" 
"NUM:count" , "how" , "many" , "home" 
"LOC:city" , "in" , "what" , "city" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "who" , "is" , "the" 
"HUM:ind" , "who" , "replaced" , "bert" 
"NUM:count" , "how" , "many" , "boys" 
"NUM:date" , "when" , "are" , "sheep" 
"LOC:other" , "what" , "the" , "island" 
"NUM:date" , "what" , "century" , "does" 
"NUM:count" , "how" , "many" , "astronauts" 
"LOC:other" , "where" , "is" , "logan" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "what" , "golfer" , "has" 
"HUM:ind" , "who" , "murdered" , "leno" 
"NUM:money" , "what" , "is" , "the" 
"HUM:ind" , "which" , "of" , "the" 
"NUM:money" , "what" , "is" , "the" 
"LOC:state" , "what" , "is" , "the" 
"NUM:count" , "how" , "many" , "students" 
"HUM:ind" , "who" , "said" , "i" 
"HUM:ind" , "who" , "portrayed" , "etta" 
"LOC:other" , "what" , "the" , "name" 
"LOC:other" , "where" , "is" , "the" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "portrayed" , "rosanne" 
"HUM:ind" , "what" , "singer" , "became" 
"NUM:date" , "when" , "did" , "iraqi" 
"HUM:ind" , "what" , "famous" , "singing" 
"NUM:perc" , "what" , "is" , "the" 
"NUM:count" , "how" , "many" , "canadians" 
"HUM:ind" , "who" , "was" , "gerald" 
"NUM:count" , "how" , "many" , "different" 
"NUM:date" , "what" , "year" , "was" 
"HUM:ind" , "who" , "invented" , "batteries" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "was" , "the" 
"LOC:other" , "what" , "london" , "street" 
"LOC:city" , "in" , "what" , "city" 
"NUM:money" , "how" , "much" , "did" 
"LOC:other" , "where" , "is" , "tufts" 
"NUM:other" , "what" , "is" , "the" 
"NUM:count" , "how" , "many" , "engines" 
"NUM:dist" , "how" , "long" , "was" 
"NUM:weight" , "what" , "does" , "a" 
"LOC:state" , "what" , "province" , "is" 
"HUM:ind" , "who" , "did" , "sonny" 
"NUM:date" , "what" , "is" , "martin" 
"HUM:ind" , "what" , "president" , "dispatched" 
"HUM:ind" , "whose" , "video" , "is" 
"NUM:count" , "how" , "many" , "james" 
"NUM:volsize" , "how" , "large" , "is" 
"NUM:count" , "how" , "much" , "electricity" 
"NUM:count" , "how" , "many" , "acres" 
"HUM:ind" , "who" , "the" , "twin" 
"NUM:money" , "what" , "is" , "the" 
"NUM:count" , "how" , "many" , "grammys" 
"LOC:other" , "what" , "is" , "the" 
"NUM:period" , "what" , "is" , "the" 
"LOC:country" , "what" , "country" , "received" 
"NUM:count" , "how" , "many" , "syllables" 
"LOC:other" , "what" , "is" , "britain" 
"HUM:ind" , "who" , "was" , "america" 
"NUM:count" , "how" , "many" , "children" 
"HUM:ind" , "who" , "lives" , "at" 
"LOC:state" , "what" , "are" , "the" 
"LOC:other" , "where" , "is" , "guam" 
"HUM:ind" , "who" , "was" , "the" 
"NUM:count" , "how" , "many" , "people" 
"HUM:ind" , "who" , "is" , "always" 
"HUM:ind" , "who" , "did" , "jackie" 
"NUM:count" , "how" , "many" , "stars" 
"HUM:ind" , "who" , "sought" , "to" 
"LOC:other" , "what" , "are" , "tourist" 
"NUM:dist" , "what" , "are" , "the" 
"HUM:ind" , "who" , "said" , "soldiers" 
"NUM:period" , "how" , "long" , "does" 
"LOC:city" , "what" , "colorado" , "city" 
"NUM:money" , "how" , "much" , "does" 
"HUM:ind" , "who" , "is" , "the" 
"LOC:other" , "where" , "did" , "guinea" 
"LOC:country" , "what" , "two" , "countries" 
"NUM:date" , "when" , "was" , "the" 
"HUM:ind" , "what" , "are" , "the" 
"HUM:ind" , "which" , "is" , "the" 
"LOC:city" , "what" , "european" , "capital" 
"LOC:country" , "what" , "country" , "was" 
"NUM:perc" , "what" , "was" , "thatcher" 
"NUM:count" , "how" , "many" , "calories" 
"LOC:state" , "in" , "what" , "state" 
"LOC:country" , "what" , "country" , "in" 
"LOC:other" , "on" , "which" , "hawaiian" 
"HUM:ind" , "what" , "feathered" , "cartoon" 
"NUM:date" , "when" , "was" , "dick" 
"NUM:other" , "what" , "is" , "the" 
"LOC:city" , "what" , "city" , "is" 
"LOC:other" , "what" , "desert" , "has" 
"LOC:country" , "what" , "two" , "countries" 
"NUM:period" , "how" , "long" , "was" 
"NUM:code" , "what" , "phone" , "number" 
"NUM:date" , "when" , "did" , "the" 
"LOC:other" , "what" , "continent" , "name" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "did" , "bobby" 
"LOC:other" , "where" , "can" , "i" 
"NUM:date" , "what" , "day" , "is" 
"LOC:other" , "where" , "can" , "i" 
"NUM:volsize" , "how" , "big" , "is" 
"LOC:country" , "what" , "country" , "was" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "name" , "the" , "lawyer" 
"LOC:other" , "what" , "is" , "the" 
"LOC:other" , "what" , "mountainous" , "region" 
"NUM:period" , "how" , "long" , "does" 
"HUM:ind" , "who" , "lives" , "at" 
"NUM:count" , "how" , "many" , "questions" 
"HUM:ind" , "who" , "played" , "humpty" 
"HUM:ind" , "who" , "is" , "karenna" 
"HUM:ind" , "who" , "played" , "the" 
"NUM:date" , "in" , "what" , "year" 
"NUM:date" , "what" , "year" , "did" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "square" 
"HUM:ind" , "what" , "is" , "the" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "what" , "comedian" , "has" 
"LOC:other" , "where" , "can" , "i" 
"NUM:date" , "boxing" , "day" , "is" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "was" , "made" 
"LOC:other" , "where" , "was" , "richard" 
"NUM:ord" , "where" , "does" , "the" 
"NUM:perc" , "what" , "was" , "the" 
"HUM:ind" , "name" , "of" , "scholar" 
"NUM:date" , "when" , "did" , "israel" 
"HUM:ind" , "name" , "the" , "on" 
"NUM:count" , "how" , "much" , "energy" 
"HUM:ind" , "who" , "is" , "known" 
"LOC:other" , "what" , "are" , "the" 
"LOC:country" , "what" , "country" , "and" 
"LOC:other" , "what" , "building" , "appropriately" 
"HUM:ind" , "what" , "baseball" , "team" 
"HUM:ind" , "who" , "was" , "with" 
"HUM:ind" , "what" , "is" , "the" 
"LOC:other" , "where" , "is" , "rider" 
"HUM:ind" , "what" , "boxer" , "life" 
"HUM:ind" , "who" , "advised" , "listeners" 
"LOC:other" , "where" , "was" , "the" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "horses" 
"NUM:count" , "how" , "much" , "waste" 
"HUM:ind" , "what" , "nobel" , "laureate" 
"HUM:ind" , "what" , "woman" , "has" 
"NUM:count" , "how" , "many" , "minutes" 
"NUM:period" , "what" , "is" , "the" 
"LOC:other" , "what" , "is" , "website" 
"LOC:other" , "where" , "are" , "of" 
"LOC:other" , "where" , "can" , "i" 
"NUM:count" , "how" , "many" , "astronauts" 
"NUM:date" , "in" , "what" , "year" 
"HUM:ind" , "which" , "bourbon" , "king" 
"LOC:city" , "what" , "is" , "one" 
"HUM:ind" , "what" , "daughter" , "of" 
"LOC:other" , "what" , "is" , "the" 
"LOC:mount" , "what" , "is" , "the" 
"HUM:ind" , "what" , "comedienne" , "upstaged" 
"NUM:date" , "when" , "were" , "the" 
