@relation answerExp5
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@data
"LOC:other" , "where" , "is" , "the" , "rose" 
"HUM:ind" , "who" , "is" , "the" , "mayor" 
"LOC:other" , "what" , "wide" , "valley" , "is" 
"NUM:date" , "in" , "what" , "year" , "did" 
"NUM:count" , "how" , "many" , "months" , "does" 
"LOC:other" , "where" , "are" , "the" , "steps" 
"NUM:date" , "in" , "what" , "year" , "was" 
"HUM:ind" , "who" , "sings" , "the" , "themes" 
"NUM:count" , "how" , "many" , "colonies" , "were" 
"LOC:city" , "what" , "is" , "the" , "name" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "what" , "is" , "the" , "name" 
"NUM:date" , "what" , "are" , "the" , "three" 
"LOC:country" , "what" , "country" , "contains" , "africa" 
"LOC:other" , "where" , "is" , "the" , "kalahari" 
"LOC:city" , "what" , "city" , "is" , "sometimes" 
"HUM:ind" , "who" , "created" , "dennis" , "the" 
"HUM:ind" , "what" , "dummy" , "received" , "an" 
"NUM:date" , "when" , "was" , "the" , "first" 
"LOC:country" , "what" , "countries" , "have" , "the" 
"NUM:date" , "when" , "did" , "the" , "royal" 
"HUM:ind" , "what" , "actor" , "said" , "in" 
"HUM:ind" , "what" , "explorer" , "was" , "nicknamed" 
"NUM:date" , "cnn" , "began" , "broadcasting" , "in" 
"LOC:city" , "what" , "south" , "american" , "city" 
"NUM:count" , "how" , "many" , "species" , "of" 
"NUM:count" , "how" , "many" , "people" , "are" 
"NUM:volsize" , "what" , "is" , "the" , "acreage" 
"NUM:date" , "when" , "did" , "beethoven" , "die" 
"NUM:money" , "how" , "much" , "does" , "a" 
"LOC:country" , "what" , "two" , "european" , "countries" 
"HUM:ind" , "what" , "russian" , "composer" , "prelude" 
"HUM:ind" , "who" , "was" , "the" , "mother" 
"NUM:count" , "how" , "many" , "revolutions" , "does" 
"LOC:mount" , "what" , "is" , "the" , "name" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "what" , "was" , "the" , "name" 
"NUM:count" , "how" , "many" , "south" , "american" 
"LOC:other" , "where" , "was" , "george" , "washington" 
"NUM:count" , "how" , "many" , "people" , "on" 
"HUM:ind" , "who" , "wrote" , "nn" , "dt" 
"NUM:date" , "when" , "was" , "the" , "first" 
"HUM:ind" , "what" , "diminutive" , "american" , "female" 
"NUM:date" , "when" , "did" , "the" , "berlin" 
"LOC:other" , "what" , "las" , "vegas" , "hotel" 
"NUM:date" , "when" , "did" , "mount" , "helen" 
"NUM:date" , "when" , "did" , "world" , "war" 
"NUM:count" , "how" , "many" , "feet" , "are" 
"LOC:city" , "what" , "european" , "city" , "do" 
"HUM:ind" , "who" , "was" , "president" , "of" 
"HUM:ind" , "who" , "was" , "the" , "lead" 
"HUM:ind" , "who" , "was" , "the" , "president" 
"HUM:ind" , "who" , "are" , "the" , "two" 
"NUM:date" , "when" , "is" , "boxing" , "day" 
"NUM:date" , "when" , "was" , "the" , "battle" 
"NUM:count" , "how" , "many" , "people" , "did" 
"NUM:date" , "when" , "did" , "spielberg" , "direct" 
"NUM:volsize" , "what" , "is" , "the" , "size" 
"LOC:city" , "what" , "is" , "california" , "capital" 
"HUM:ind" , "who" , "was" , "the" , "author" 
"HUM:ind" , "who" , "was" , "the" , "founding" 
"LOC:country" , "what" , "european" , "country" , "is" 
"LOC:other" , "where" , "was" , "christopher" , "columbus" 
"LOC:other" , "what" , "sea" , "did" , "the" 
"LOC:city" , "what" , "city" , "did" , "the" 
"HUM:ind" , "which" , "doonesbury" , "character" , "was" 
"LOC:other" , "what" , "stadium" , "do" , "the" 
"HUM:ind" , "who" , "has" , "the" , "only" 
"NUM:other" , "what" , "was" , "einstein" , "iq" 
"NUM:date" , "what" , "day" , "was" , "pearl" 
"HUM:ind" , "what" , "girl" , "name" , "is" 
"LOC:state" , "what" , "state" , "is" , "john" 
"LOC:state" , "what" , "state" , "has" , "an" 
"NUM:count" , "how" , "many" , "years" , "ago" 
"LOC:other" , "what" , "is" , "the" , "deepest" 
"NUM:other" , "what" , "is" , "the" , "latitude" 
"HUM:ind" , "who" , "made" , "a" , "boat" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "which" , "bloom" , "county" , "resident" 
"NUM:other" , "what" , "is" , "the" , "normal" 
"NUM:other" , "what" , "is" , "the" , "population" 
"NUM:count" , "how" , "many" , "calories" , "are" 
"HUM:ind" , "what" , "part" , "did" , "john" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"LOC:other" , "where" , "can" , "i" , "buy" 
"HUM:ind" , "who" , "does" , "the" , "advertizing" 
"HUM:ind" , "who" , "invented" , "the" , "radio" 
"NUM:count" , "what" , "the" , "american" , "dollar" 
"HUM:ind" , "who" , "is" , "the" , "man" 
"NUM:speed" , "what" , "is" , "the" , "speed" 
"HUM:ind" , "what" , "actor" , "first" , "portrayed" 
"LOC:other" , "what" , "ocean" , "is" , "the" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"NUM:date" , "what" , "year" , "did" , "jack" 
"NUM:count" , "how" , "many" , "sonnets" , "did" 
"HUM:ind" , "who" , "won" , "the" , "nobel" 
"LOC:city" , "which" , "city" , "did" , "christian" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"NUM:speed" , "what" , "is" , "the" , "speed" 
"HUM:ind" , "who" , "said" , "of" , "super" 
"HUM:ind" , "who" , "declared" , "i" , "am" 
"LOC:other" , "where" , "does" , "chocolate" , "come" 
"HUM:ind" , "what" , "soviet" , "leader" , "owned" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "who" , "wrote" , "the" , "song" 
"NUM:count" , "how" , "many" , "beatles" , "records" 
"HUM:ind" , "who" , "is" , "the" , "only" 
"LOC:mount" , "what" , "mountains" , "lie" , "between" 
"HUM:ind" , "who" , "received" , "the" , "will" 
"LOC:other" , "what" , "the" , "closest" , "spectrum" 
"NUM:count" , "how" , "many" , "equal" , "angles" 
"HUM:ind" , "what" , "was" , "the" , "name" 
"HUM:ind" , "what" , "united" , "states" , "president" 
"LOC:other" , "where" , "is" , "basque" , "country" 
"NUM:date" , "what" , "time" , "of" , "day" 
"NUM:count" , "how" , "many" , "years" , "did" 
"LOC:city" , "what" , "south" , "korean" , "city" 
"NUM:count" , "how" , "many" , "types" , "of" 
"NUM:other" , "what" , "is" , "the" , "quantity" 
"LOC:mount" , "what" , "was" , "the" , "highest" 
"LOC:other" , "where" , "was" , "the" , "ligurian" 
"LOC:country" , "what" , "country" , "people" , "are" 
"NUM:date" , "when" , "was" , "the" , "women" 
"LOC:city" , "what" , "nevada" , "center" , "has" 
"HUM:ind" , "what" , "president" , "lived" , "at" 
"LOC:other" , "where" , "must" , "a" , "soccer" 
"LOC:state" , "in" , "what" , "state" , "was" 
"NUM:date" , "what" , "year" , "did" , "hitler" 
"HUM:ind" , "what" , "famous" , "model" , "was" 
"NUM:money" , "how" , "much" , "money" , "are" 
"HUM:ind" , "who" , "danced" , "into" , "stardom" 
"HUM:ind" , "who" , "is" , "the" , "fastest" 
"LOC:mount" , "what" , "is" , "the" , "highest" 
"LOC:other" , "where" , "is" , "procter" , "gamble" 
"LOC:other" , "what" , "desert" , "has" , "been" 
"NUM:count" , "how" , "many" , "miles" , "is" 
"NUM:count" , "how" , "much" , "snow" , "equals" 
"NUM:date" , "when" , "does" , "the" , "average" 
"HUM:ind" , "what" , "actor" , "autobiography" , "is" 
"HUM:ind" , "what" , "russian" , "master" , "spy" 
"LOC:other" , "where" , "the" , "hole" , "on" 
"HUM:ind" , "who" , "played" , "the" , "original" 
"LOC:other" , "where" , "can" , "i" , "find" 
"LOC:other" , "where" , "did" , "sarge" , "steel" 
"HUM:ind" , "who" , "wrote" , "the" , "night" 
"LOC:country" , "what" , "country" , "did" , "king" 
"HUM:ind" , "who" , "painted" , "mother" , "and" 
"NUM:speed" , "what" , "is" , "the" , "speed" 
"LOC:other" , "in" , "what" , "area" , "of" 
"LOC:other" , "what" , "is" , "the" , "brightest" 
"HUM:ind" , "what" , "was" , "mao" , "second" 
"LOC:other" , "where" , "do" , "hyenas" , "live" 
"HUM:ind" , "who" , "has" , "more" , "dna" 
"NUM:count" , "how" , "many" , "referees" , "work" 
"NUM:date" , "when" , "is" , "the" , "tulip" 
"HUM:ind" , "who" , "came" , "up" , "with" 
"HUM:ind" , "what" , "dictator" , "has" , "the" 
"LOC:city" , "what" , "city" , "is" , "the" 
"HUM:ind" , "what" , "tv" , "sitcom" , "character" 
"HUM:ind" , "who" , "kept" , "the" , "most" 
"LOC:other" , "where" , "can" , "i" , "find" 
"NUM:count" , "how" , "many" , "degrees" , "cooler" 
"HUM:ind" , "what" , "spanish" , "artist" , "painted" 
"HUM:ind" , "what" , "spy" , "novelist" , "served" 
"NUM:period" , "how" , "long" , "does" , "it" 
"HUM:ind" , "who" , "was" , "randy" , "steven" 
"LOC:other" , "what" , "was" , "known" , "as" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"HUM:ind" , "name" , "the" , "ranger" , "who" 
"HUM:ind" , "who" , "is" , "the" , "superstar" 
"LOC:city" , "mccarren" , "airport" , "is" , "located" 
"NUM:perc" , "what" , "fraction" , "of" , "a" 
"LOC:country" , "what" , "country" , "has" , "the" 
"LOC:country" , "what" , "country" , "is" , "the" 
"NUM:count" , "how" , "many" , "years" , "is" 
"NUM:money" , "how" , "much" , "would" , "a" 
"LOC:country" , "what" , "country" , "has" , "the" 
"HUM:ind" , "who" , "is" , "the" , "president" 
"HUM:ind" , "whose" , "first" , "presidential" , "order" 
"LOC:city" , "what" , "city" , "is" , "logan" 
"NUM:count" , "how" , "many" , "innings" , "are" 
"NUM:date" , "when" , "did" , "cnn" , "go" 
"LOC:city" , "what" , "is" , "the" , "largest" 
"NUM:code" , "what" , "is" , "the" , "telephone" 
"NUM:count" , "how" , "many" , "wives" , "did" 
"NUM:dist" , "how" , "long" , "is" , "the" 
"LOC:city" , "what" , "city" , "gained" , "renown" 
"HUM:ind" , "who" , "was" , "shot" , "in" 
"NUM:count" , "how" , "many" , "colleges" , "are" 
"LOC:city" , "what" , "russian" , "seaport" , "has" 
"LOC:other" , "where" , "can" , "stocks" , "be" 
"NUM:date" , "when" , "was" , "the" , "battle" 
"NUM:date" , "when" , "did" , "muhammad" , "live" 
"LOC:mount" , "where" , "do" , "people" , "mountain" 
"LOC:country" , "what" , "are" , "the" , "nordic" 
"LOC:other" , "where" , "on" , "the" , "internet" 
"LOC:state" , "what" , "state" , "borders" , "illinois" 
"NUM:temp" , "what" , "is" , "the" , "temperature" 
"LOC:other" , "where" , "did" , "the" , "myth" 
"LOC:city" , "what" , "city" , "is" , "served" 
"HUM:ind" , "what" , "wrestling" , "star" , "became" 
"LOC:other" , "what" , "attracts" , "tourists" , "to" 
"HUM:ind" , "who" , "was" , "the" , "star" 
"LOC:other" , "where" , "is" , "procter" , "gamble" 
"LOC:other" , "what" , "is" , "the" , "web" 
"HUM:ind" , "what" , "was" , "her" , "real" 
"HUM:ind" , "who" , "invented" , "the" , "toothbrush" 
"LOC:other" , "where" , "is" , "the" , "abominable" 
"NUM:count" , "how" , "many" , "dots" , "make" 
"NUM:count" , "how" , "many" , "hearts" , "does" 
"LOC:country" , "what" , "was" , "the" , "only" 
"HUM:ind" , "what" , "baseball" , "star" , "turned" 
"HUM:ind" , "what" , "video" , "game" , "hero" 
"NUM:count" , "how" , "many" , "holes" , "are" 
"LOC:other" , "in" , "what" , "city" , "or" 
"HUM:ind" , "what" , "tv" , "comediennes" , "characters" 
"NUM:perc" , "what" , "percentage" , "of" , "the" 
"NUM:money" , "what" , "does" , "an" , "average" 
"HUM:ind" , "who" , "played" , "the" , "ringo" 
"HUM:ind" , "who" , "died" , "feet" , "from" 
"NUM:date" , "when" , "is" , "the" , "site" 
"HUM:ind" , "what" , "first" , "name" , "was" 
"HUM:ind" , "who" , "is" , "the" , "youngest" 
"LOC:other" , "where" , "can" , "i" , "find" 
"LOC:other" , "what" , "is" , "bill" , "gates" 
"LOC:city" , "what" , "russian" , "city" , "boasts" 
"NUM:date" , "when" , "is" , "bastille" , "day" 
"NUM:count" , "how" , "many" , "shots" , "can" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"NUM:date" , "what" , "day" , "of" , "the" 
"HUM:ind" , "who" , "graced" , "the" , "airwaves" 
"HUM:ind" , "who" , "portrayed" , "portly" , "criminologist" 
"NUM:speed" , "how" , "fast" , "is" , "light" 
"NUM:date" , "when" , "was" , "the" , "first" 
"LOC:other" , "what" , "the" , "tallest" , "building" 
"LOC:other" , "where" , "can" , "i" , "find" 
"NUM:count" , "how" , "many" , "quarters" , "equal" 
"HUM:ind" , "what" , "are" , "the" , "first" 
"NUM:ord" , "what" , "chapter" , "of" , "the" 
"HUM:ind" , "who" , "is" , "the" , "worst" 
"HUM:ind" , "what" , "asian" , "leader" , "was" 
"NUM:speed" , "how" , "fast" , "does" , "the" 
"LOC:mount" , "what" , "is" , "the" , "highest" 
"LOC:other" , "what" , "arch" , "can" , "you" 
"HUM:ind" , "who" , "sings" , "the" , "song" 
"NUM:period" , "how" , "long" , "should" , "a" 
"LOC:other" , "which" , "way" , "do" , "you" 
"LOC:country" , "which" , "is" , "the" , "wealthiest" 
"HUM:ind" , "who" , "is" , "the" , "monarch" 
"HUM:ind" , "what" , "are" , "the" , "top" 
"LOC:country" , "which" , "country" , "is" , "australia" 
"LOC:other" , "where" , "is" , "the" , "kentucky" 
"HUM:ind" , "who" , "does" , "data" , "collection" 
"HUM:ind" , "what" , "was" , "the" , "name" 
"LOC:state" , "what" , "is" , "the" , "leading" 
"HUM:ind" , "who" , "were" , "the" , "four" 
"NUM:count" , "how" , "many" , "sperm" , "cells" 
"NUM:dist" , "how" , "far" , "do" , "you" 
"HUM:ind" , "who" , "was" , "the" , "only" 
"LOC:other" , "where" , "are" , "the" , "tropical" 
"HUM:ind" , "what" , "the" , "nickname" , "of" 
"NUM:other" , "what" , "was" , "the" , "number" 
"NUM:dist" , "how" , "far" , "can" , "a" 
"LOC:other" , "where" , "was" , "lincoln" , "assassinated" 
"NUM:count" , "what" , "was" , "the" , "highway" 
"HUM:ind" , "whose" , "autobiography" , "is" , "titled" 
"NUM:date" , "what" , "year" , "did" , "the" 
"NUM:perc" , "what" , "percentage" , "of" , "americans" 
"NUM:date" , "what" , "the" , "first" , "day" 
"LOC:city" , "what" , "city" , "was" , "president" 
"LOC:city" , "what" , "city" , "has" , "the" 
"HUM:ind" , "who" , "claimed" , "he" , "killed" 
"NUM:count" , "how" , "many" , "degrees" , "cooler" 
"HUM:ind" , "what" , "double" , "talking" , "professor" 
"LOC:city" , "what" , "are" , "the" , "five" 
"HUM:ind" , "what" , "writer" , "had" , "a" 
"NUM:count" , "how" , "many" , "layers" , "of" 
"HUM:ind" , "what" , "was" , "the" , "name" 
"LOC:other" , "what" , "county" , "is" , "chicago" 
"NUM:dist" , "what" , "is" , "the" , "wingspan" 
"HUM:ind" , "who" , "was" , "named" , "admiral" 
"NUM:money" , "what" , "does" , "an" , "average" 
"HUM:ind" , "what" , "author" , "landed" , "a" 
"NUM:count" , "how" , "many" , "americans" , "fought" 
"NUM:count" , "how" , "many" , "oceans" , "are" 
"NUM:count" , "how" , "many" , "pairs" , "of" 
"LOC:other" , "where" , "is" , "the" , "danube" 
"HUM:ind" , "what" , "lawyer" , "won" , "the" 
"HUM:ind" , "who" , "delivered" , "his" , "last" 
"NUM:count" , "how" , "many" , "times" , "has" 
"LOC:other" , "what" , "is" , "the" , "longest" 
"NUM:perc" , "what" , "percent" , "liked" , "thatcher" 
"LOC:other" , "where" , "does" , "buzz" , "aldrin" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "what" , "former" , "baseball" , "pitcher" 
"HUM:ind" , "what" , "was" , "michelangelo" , "last" 
"HUM:ind" , "who" , "was" , "the" , "democratic" 
"LOC:country" , "what" , "asian" , "country" , "has" 
"NUM:count" , "how" , "many" , "fingers" , "are" 
"NUM:date" , "when" , "was" , "hurricane" , "hugo" 
"HUM:ind" , "what" , "was" , "the" , "first" 
"NUM:money" , "what" , "was" , "the" , "price" 
"NUM:date" , "when" , "was" , "the" , "great" 
"HUM:ind" , "what" , "classical" , "spanish" , "writer" 
"HUM:ind" , "what" , "actor" , "married" , "john" 
"HUM:ind" , "who" , "fired" , "maria" , "ybarra" 
"NUM:period" , "the" , "italian" , "artist" , "maurizio" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"LOC:city" , "what" , "city" , "is" , "the" 
"HUM:ind" , "what" , "president" , "showed" , "a" 
"HUM:ind" , "whose" , "cover" , "is" , "that" 
"HUM:ind" , "what" , "former" , "president" , "daughter" 
"HUM:ind" , "what" , "fictional" , "character" , "is" 
"HUM:ind" , "what" , "longtime" , "game" , "show" 
"HUM:ind" , "who" , "were" , "the" , "filthiest" 
"NUM:date" , "in" , "what" , "year" , "did" 
"LOC:other" , "where" , "is" , "mozambique" , "located" 
"NUM:count" , "how" , "many" , "months" , "does" 
"HUM:ind" , "what" , "is" , "the" , "real" 
"LOC:city" , "what" , "city" , "houses" , "the" 
"NUM:money" , "how" , "much" , "was" , "the" 
"HUM:ind" , "who" , "invented" , "silly" , "putty" 
"HUM:ind" , "who" , "patented" , "the" , "first" 
"NUM:count" , "how" , "many" , "vietnamese" , "were" 
"NUM:count" , "on" , "average" , "how" , "many" 
"HUM:ind" , "who" , "created" , "private" , "detective" 
"LOC:country" , "what" , "is" , "the" , "smallest" 
"HUM:ind" , "who" , "coined" , "the" , "term" 
"HUM:ind" , "what" , "is" , "the" , "full" 
"HUM:ind" , "who" , "was" , "lauren" , "bacall" 
"NUM:count" , "how" , "many" , "hands" , "does" 
"NUM:count" , "how" , "many" , "people" , "died" 
"HUM:ind" , "what" , "congressman" , "said" , "keep" 
"HUM:ind" , "who" , "created" , "the" , "character" 
"NUM:other" , "what" , "is" , "the" , "student" 
"LOC:other" , "where" , "is" , "windsor" , "castle" 
"NUM:date" , "when" , "did" , "the" , "dow" 
"LOC:other" , "where" , "can" , "i" , "find" 
"LOC:state" , "what" , "state" , "does" , "martha" 
"LOC:country" , "what" , "are" , "the" , "benelux" 
"LOC:other" , "where" , "the" , "petrified" , "forest" 
"LOC:other" , "where" , "is" , "tornado" , "alley" 
"HUM:ind" , "who" , "was" , "the" , "author" 
"HUM:ind" , "what" , "american" , "poet" , "wrote" 
"LOC:state" , "what" , "state" , "in" , "the" 
"LOC:city" , "what" , "is" , "the" , "city" 
"HUM:ind" , "who" , "painted" , "the" , "sistine" 
"HUM:ind" , "name" , "the" , "various" , "costumed" 
"LOC:other" , "what" , "is" , "the" , "oldest" 
"HUM:ind" , "what" , "explorers" , "followed" , "columbus" 
"HUM:ind" , "who" , "is" , "actress" , "goldie" 
"HUM:ind" , "who" , "banned" , "peter" , "rose" 
"NUM:date" , "when" , "was" , "the" , "san" 
"NUM:count" , "how" , "many" , "casinos" , "are" 
"NUM:date" , "what" , "year" , "did" , "the" 
"HUM:ind" , "what" , "are" , "the" , "names" 
"NUM:count" , "what" , "is" , "the" , "chromosome" 
"LOC:other" , "what" , "the" , "longest" , "river" 
"NUM:date" , "when" , "was" , "berlin" , "brandenburg" 
"NUM:count" , "how" , "many" , "spaces" , "are" 
"NUM:date" , "what" , "year" , "did" , "germany" 
"LOC:mount" , "what" , "mountain" , "range" , "is" 
"HUM:ind" , "who" , "was" , "nicknamed" , "the" 
"NUM:count" , "how" , "many" , "cds" , "has" 
"LOC:other" , "where" , "are" , "the" , "leading" 
"LOC:other" , "what" , "the" , "sacred" , "river" 
"LOC:country" , "what" , "is" , "stefan" , "edberg" 
"NUM:count" , "how" , "many" , "gutenberg" , "bibles" 
"LOC:country" , "name" , "the" , "largest" , "country" 
"HUM:ind" , "what" , "was" , "american" , "folk" 
"HUM:ind" , "what" , "author" , "did" , "photographer" 
"LOC:country" , "what" , "country" , "are" , "godiva" 
"HUM:ind" , "name" , "the" , "poet" , "of" 
"LOC:state" , "what" , "state" , "records" , "the" 
"LOC:city" , "what" , "texas" , "city" , "got" 
"LOC:country" , "what" , "country" , "did" , "the" 
"HUM:ind" , "what" , "barroom" , "judge" , "called" 
"HUM:ind" , "who" , "was" , "president" , "of" 
"LOC:country" , "what" , "country" , "has" , "the" 
"LOC:country" , "what" , "two" , "countries" , "share" 
"HUM:ind" , "who" , "was" , "chairman" , "of" 
"HUM:ind" , "what" , "actor" , "starred" , "in" 
"NUM:count" , "how" , "many" , "home" , "runs" 
"LOC:city" , "in" , "what" , "city" , "is" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "who" , "is" , "the" , "voice" 
"HUM:ind" , "who" , "replaced" , "bert" , "parks" 
"NUM:count" , "how" , "many" , "boys" , "play" 
"NUM:date" , "when" , "are" , "sheep" , "shorn" 
"LOC:other" , "what" , "the" , "island" , "in" 
"NUM:date" , "what" , "century" , "does" , "captain" 
"NUM:count" , "how" , "many" , "astronauts" , "manned" 
"LOC:other" , "where" , "is" , "logan" , "airport" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"HUM:ind" , "what" , "golfer" , "has" , "been" 
"HUM:ind" , "who" , "murdered" , "leno" , "and" 
"NUM:money" , "what" , "is" , "the" , "average" 
"HUM:ind" , "which" , "of" , "the" , "following" 
"NUM:money" , "what" , "is" , "the" , "current" 
"LOC:state" , "what" , "is" , "the" , "state" 
"NUM:count" , "how" , "many" , "students" , "attend" 
"HUM:ind" , "who" , "said" , "i" , "shall" 
"HUM:ind" , "who" , "portrayed" , "etta" , "place" 
"LOC:other" , "what" , "the" , "name" , "of" 
"LOC:other" , "where" , "is" , "the" , "actress" 
"HUM:ind" , "who" , "was" , "the" , "charlie" 
"HUM:ind" , "who" , "portrayed" , "rosanne" , "on" 
"HUM:ind" , "what" , "singer" , "became" , "despondent" 
"NUM:date" , "when" , "did" , "iraqi" , "troops" 
"HUM:ind" , "what" , "famous" , "singing" , "cowboy" 
"NUM:perc" , "what" , "is" , "the" , "probability" 
"NUM:count" , "how" , "many" , "canadians" , "emmigrate" 
"HUM:ind" , "who" , "was" , "gerald" , "ford" 
"NUM:count" , "how" , "many" , "different" , "languages" 
"NUM:date" , "what" , "year" , "was" , "desmond" 
"LOC:other" , "where" , "can" , "i" , "buy" 
"HUM:ind" , "what" , "was" , "the" , "infamous" 
"LOC:other" , "what" , "london" , "street" , "is" 
"LOC:city" , "in" , "what" , "city" , "is" 
"NUM:money" , "how" , "much" , "did" , "the" 
"LOC:other" , "where" , "is" , "tufts" , "university" 
"NUM:other" , "what" , "is" , "the" , "chemical" 
"NUM:count" , "how" , "many" , "engines" , "does" 
"NUM:dist" , "how" , "long" , "was" , "mao" 
"NUM:weight" , "what" , "does" , "a" , "teaspoon" 
"LOC:state" , "what" , "province" , "is" , "edmonton" 
"HUM:ind" , "who" , "did" , "sonny" , "liston" 
"NUM:date" , "what" , "is" , "martin" , "luther" 
"HUM:ind" , "what" , "president" , "dispatched" , "a" 
"HUM:ind" , "whose" , "video" , "is" , "titled" 
"NUM:count" , "how" , "many" , "james" , "bond" 
"NUM:volsize" , "how" , "large" , "is" , "the" 
"NUM:count" , "how" , "much" , "electricity" , "does" 
"NUM:count" , "how" , "many" , "acres" , "in" 
"HUM:ind" , "who" , "the" , "twin" , "brother" 
"NUM:money" , "what" , "is" , "the" , "income" 
"NUM:count" , "how" , "many" , "grammys" , "did" 
"LOC:other" , "what" , "is" , "the" , "oldest" 
"NUM:period" , "what" , "is" , "the" , "average" 
"LOC:country" , "what" , "country" , "received" , "all" 
"NUM:count" , "how" , "many" , "syllables" , "are" 
"LOC:other" , "what" , "is" , "britain" , "possession" 
"HUM:ind" , "who" , "was" , "america" , "first" 
"NUM:count" , "how" , "many" , "children" , "under" 
"HUM:ind" , "who" , "lives" , "at" , "sussex" 
"LOC:state" , "what" , "are" , "the" , "only" 
"HUM:ind" , "who" , "was" , "the" , "famous" 
"NUM:count" , "how" , "many" , "people" , "in" 
"HUM:ind" , "who" , "is" , "always" , "trying" 
"HUM:ind" , "who" , "did" , "jackie" , "kennedy" 
