@relation answerExp8
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@data
"LOC:other" , "what" , "body" , "of" , "what body" , "body of" , "what of" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "star" , "in" , "who star" , "star in" , "who in" 
"HUM:ind" , "what" , "painter" , "die" , "what painter" , "painter die" , "what die" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"NUM:count" , "how" , "many" , "specie" , "how many" , "many specie" , "how specie" 
"LOC:state" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "villus" , "how many" , "many villus" , "how villus" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:date" , "in" , "which" , "year" , "in which" , "which year" , "in year" 
"NUM:date" , "when" , "do" , "cnn" , "when do" , "do cnn" , "when cnn" 
"NUM:date" , "when" , "do" , "rococo" , "when do" , "do rococo" , "when rococo" 
"LOC:country" , "what" , "country" , "national" , "what country" , "country national" , "what national" 
"HUM:ind" , "which" , "of" , "the" , "which of" , "of the" , "which the" 
"HUM:ind" , "who" , "comprise" , "the" , "who comprise" , "comprise the" , "who the" 
"LOC:state" , "what" , "state" , "be" , "what state" , "state be" , "what be" 
"LOC:mount" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:other" , "where" , "do" , "barney" , "where do" , "do barney" , "where barney" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "on" , "the" , "where on" , "on the" , "where the" 
"NUM:money" , "how" , "much" , "money" , "how much" , "much money" , "how money" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"HUM:ind" , "what" , "crooner" , "join" , "what crooner" , "crooner join" , "what join" 
"NUM:date" , "when" , "do" , "the" , "when do" , "do the" , "when the" 
"NUM:money" , "how" , "much" , "would" , "how much" , "much would" , "how would" 
"HUM:ind" , "what" , "actress" , "have" , "what actress" , "actress have" , "what have" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:city" , "what" , "city" , "boast" , "what city" , "city boast" , "what boast" 
"NUM:count" , "how" , "many" , "hostage" , "how many" , "many hostage" , "how hostage" 
"HUM:ind" , "who" , "earn" , "their" , "who earn" , "earn their" , "who their" 
"HUM:ind" , "who" , "found" , "the" , "who found" , "found the" , "who the" 
"HUM:ind" , "what" , "athlete" , "make" , "what athlete" , "athlete make" , "what make" 
"NUM:count" , "how" , "many" , "bend" , "how many" , "many bend" , "how bend" 
"HUM:ind" , "who" , "discover" , "electricity" , "who discover" , "discover electricity" , "who electricity" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:country" , "what" , "two" , "south" , "what two" , "two south" , "what south" 
"NUM:date" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "what" , "wide" , "valley" , "what wide" , "wide valley" , "what valley" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"NUM:count" , "how" , "many" , "month" , "how many" , "many month" , "how month" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"HUM:ind" , "who" , "sing" , "the" , "who sing" , "sing the" , "who the" 
"HUM:ind" , "who" , "direct" , "jaw" , "who direct" , "direct jaw" , "who jaw" 
"NUM:count" , "how" , "many" , "colony" , "how many" , "many colony" , "how colony" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:country" , "what" , "country" , "contain" , "what country" , "country contain" , "what contain" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"HUM:ind" , "who" , "create" , "dennis" , "who create" , "create dennis" , "who dennis" 
"HUM:ind" , "what" , "dummy" , "receive" , "what dummy" , "dummy receive" , "what receive" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"LOC:country" , "what" , "country" , "have" , "what country" , "country have" , "what have" 
"HUM:ind" , "name" , "alvin" , "brother" , "name alvin" , "alvin brother" , "name brother" 
"NUM:date" , "when" , "do" , "the" , "when do" , "do the" , "when the" 
"HUM:ind" , "what" , "actor" , "say" , "what actor" , "actor say" , "what say" 
"HUM:ind" , "what" , "explorer" , "be" , "what explorer" , "explorer be" , "what be" 
"NUM:date" , "cnn" , "begin" , "broadcast" , "cnn begin" , "begin broadcast" , "cnn broadcast" 
"LOC:city" , "what" , "south" , "american" , "what south" , "south american" , "what american" 
"NUM:count" , "how" , "many" , "specie" , "how many" , "many specie" , "how specie" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"NUM:volsize" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "when" , "do" , "beethoven" , "when do" , "do beethoven" , "when beethoven" 
"NUM:money" , "how" , "much" , "do" , "how much" , "much do" , "how do" 
"LOC:country" , "what" , "two" , "european" , "what two" , "two european" , "what european" 
"HUM:ind" , "what" , "russian" , "composer" , "what russian" , "russian composer" , "what composer" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:count" , "how" , "many" , "revolution" , "how many" , "many revolution" , "how revolution" 
"LOC:mount" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "south" , "how many" , "many south" , "how south" 
"LOC:other" , "where" , "be" , "george" , "where be" , "be george" , "where george" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "write" , "nn" , "who write" , "write nn" , "who nn" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"HUM:ind" , "what" , "diminutive" , "american" , "what diminutive" , "diminutive american" , "what american" 
"NUM:date" , "when" , "do" , "the" , "when do" , "do the" , "when the" 
"LOC:other" , "what" , "las" , "vegas" , "what las" , "las vegas" , "what vegas" 
"NUM:date" , "when" , "do" , "mount" , "when do" , "do mount" , "when mount" 
"NUM:date" , "when" , "do" , "world" , "when do" , "do world" , "when world" 
"NUM:count" , "how" , "many" , "foot" , "how many" , "many foot" , "how foot" 
"LOC:city" , "what" , "european" , "city" , "what european" , "european city" , "what city" 
"HUM:ind" , "who" , "be" , "president" , "who be" , "be president" , "who president" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:date" , "when" , "be" , "box" , "when be" , "be box" , "when box" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"NUM:date" , "when" , "do" , "spielberg" , "when do" , "do spielberg" , "when spielberg" 
"NUM:volsize" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:city" , "what" , "be" , "california" , "what be" , "be california" , "what california" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:country" , "what" , "european" , "country" , "what european" , "european country" , "what country" 
"LOC:other" , "where" , "be" , "christopher" , "where be" , "be christopher" , "where christopher" 
"LOC:other" , "what" , "sea" , "do" , "what sea" , "sea do" , "what do" 
"LOC:city" , "what" , "city" , "do" , "what city" , "city do" , "what do" 
"HUM:ind" , "which" , "doonesbury" , "character" , "which doonesbury" , "doonesbury character" , "which character" 
"LOC:other" , "what" , "stadium" , "do" , "what stadium" , "stadium do" , "what do" 
"HUM:ind" , "who" , "have" , "the" , "who have" , "have the" , "who the" 
"NUM:other" , "what" , "be" , "einstein" , "what be" , "be einstein" , "what einstein" 
"NUM:date" , "what" , "day" , "be" , "what day" , "day be" , "what be" 
"HUM:ind" , "what" , "girl" , "name" , "what girl" , "girl name" , "what name" 
"LOC:state" , "what" , "state" , "be" , "what state" , "state be" , "what be" 
"LOC:state" , "what" , "state" , "have" , "what state" , "state have" , "what have" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "make" , "a" , "who make" , "make a" , "who a" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "which" , "bloom" , "county" , "which bloom" , "bloom county" , "which county" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "calorie" , "how many" , "many calorie" , "how calorie" 
"HUM:ind" , "what" , "part" , "do" , "what part" , "part do" , "what do" 
"HUM:ind" , "who" , "follow" , "caesar" , "who follow" , "follow caesar" , "who caesar" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "what" , "be" , "address" , "what be" , "be address" , "what address" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "do" , "the" , "who do" , "do the" , "who the" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"NUM:count" , "what" , "the" , "american" , "what the" , "the american" , "what american" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:speed" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "actor" , "first" , "what actor" , "actor first" , "what first" 
"LOC:other" , "what" , "ocean" , "be" , "what ocean" , "ocean be" , "what be" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:date" , "what" , "year" , "do" , "what year" , "year do" , "what do" 
"NUM:count" , "how" , "many" , "sonnet" , "how many" , "many sonnet" , "how sonnet" 
"HUM:ind" , "who" , "win" , "the" , "who win" , "win the" , "who the" 
"LOC:city" , "which" , "city" , "do" , "which city" , "city do" , "which do" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:speed" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "say" , "of" , "who say" , "say of" , "who of" 
"HUM:ind" , "who" , "declare" , "i" , "who declare" , "declare i" , "who i" 
"LOC:other" , "where" , "do" , "chocolate" , "where do" , "do chocolate" , "where chocolate" 
"HUM:ind" , "what" , "soviet" , "leader" , "what soviet" , "soviet leader" , "what leader" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "write" , "the" , "who write" , "write the" , "who the" 
"NUM:count" , "how" , "many" , "beatles" , "how many" , "many beatles" , "how beatles" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:mount" , "what" , "mountains" , "lie" , "what mountains" , "mountains lie" , "what lie" 
"HUM:ind" , "who" , "receive" , "the" , "who receive" , "receive the" , "who the" 
"LOC:other" , "what" , "the" , "close" , "what the" , "the close" , "what close" 
"NUM:count" , "how" , "many" , "equal" , "how many" , "many equal" , "how equal" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "united" , "state" , "what united" , "united state" , "what state" 
"LOC:other" , "where" , "be" , "basque" , "where be" , "be basque" , "where basque" 
"NUM:date" , "what" , "time" , "of" , "what time" , "time of" , "what of" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"LOC:city" , "what" , "south" , "korean" , "what south" , "south korean" , "what korean" 
"NUM:count" , "how" , "many" , "type" , "how many" , "many type" , "how type" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:mount" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:country" , "what" , "country" , "people" , "what country" , "country people" , "what people" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"LOC:city" , "what" , "nevada" , "center" , "what nevada" , "nevada center" , "what center" 
"HUM:ind" , "what" , "president" , "live" , "what president" , "president live" , "what live" 
"LOC:other" , "where" , "must" , "a" , "where must" , "must a" , "where a" 
"LOC:state" , "in" , "what" , "state" , "in what" , "what state" , "in state" 
"NUM:date" , "what" , "year" , "do" , "what year" , "year do" , "what do" 
"HUM:ind" , "what" , "famous" , "model" , "what famous" , "famous model" , "what model" 
"NUM:money" , "how" , "much" , "money" , "how much" , "much money" , "how money" 
"HUM:ind" , "who" , "dance" , "into" , "who dance" , "dance into" , "who into" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:mount" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "procter" , "where be" , "be procter" , "where procter" 
"LOC:other" , "what" , "desert" , "have" , "what desert" , "desert have" , "what have" 
"NUM:count" , "how" , "many" , "mile" , "how many" , "many mile" , "how mile" 
"NUM:count" , "how" , "much" , "snow" , "how much" , "much snow" , "how snow" 
"NUM:date" , "when" , "do" , "the" , "when do" , "do the" , "when the" 
"HUM:ind" , "what" , "actor" , "autobiography" , "what actor" , "actor autobiography" , "what autobiography" 
"HUM:ind" , "what" , "russian" , "master" , "what russian" , "russian master" , "what master" 
"LOC:other" , "where" , "the" , "hole" , "where the" , "the hole" , "where hole" 
"HUM:ind" , "who" , "play" , "the" , "who play" , "play the" , "who the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:other" , "where" , "do" , "sarge" , "where do" , "do sarge" , "where sarge" 
"HUM:ind" , "who" , "write" , "the" , "who write" , "write the" , "who the" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"HUM:ind" , "who" , "paint" , "mother" , "who paint" , "paint mother" , "who mother" 
"NUM:speed" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "in" , "what" , "area" , "in what" , "what area" , "in area" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "be" , "mao" , "what be" , "be mao" , "what mao" 
"LOC:other" , "where" , "do" , "hyenas" , "where do" , "do hyenas" , "where hyenas" 
"HUM:ind" , "who" , "have" , "more" , "who have" , "have more" , "who more" 
"NUM:count" , "how" , "many" , "referee" , "how many" , "many referee" , "how referee" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"HUM:ind" , "who" , "come" , "up" , "who come" , "come up" , "who up" 
"HUM:ind" , "what" , "dictator" , "have" , "what dictator" , "dictator have" , "what have" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"HUM:ind" , "what" , "tv" , "sitcom" , "what tv" , "tv sitcom" , "what sitcom" 
"HUM:ind" , "who" , "keep" , "the" , "who keep" , "keep the" , "who the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "degree" , "how many" , "many degree" , "how degree" 
"HUM:ind" , "what" , "spanish" , "artist" , "what spanish" , "spanish artist" , "what artist" 
"HUM:ind" , "what" , "spy" , "novelist" , "what spy" , "spy novelist" , "what novelist" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"HUM:ind" , "who" , "be" , "randy" , "who be" , "be randy" , "who randy" 
"LOC:other" , "what" , "be" , "know" , "what be" , "be know" , "what know" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "name" , "the" , "ranger" , "name the" , "the ranger" , "name ranger" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:city" , "mccarren" , "airport" , "be" , "mccarren airport" , "airport be" , "mccarren be" 
"NUM:perc" , "what" , "fraction" , "of" , "what fraction" , "fraction of" , "what of" 
"LOC:country" , "what" , "country" , "have" , "what country" , "country have" , "what have" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"NUM:money" , "how" , "much" , "would" , "how much" , "much would" , "how would" 
"LOC:country" , "what" , "country" , "have" , "what country" , "country have" , "what have" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "whose" , "first" , "presidential" , "whose first" , "first presidential" , "whose presidential" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"NUM:count" , "how" , "many" , "inning" , "how many" , "many inning" , "how inning" 
"NUM:date" , "when" , "do" , "cnn" , "when do" , "do cnn" , "when cnn" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:code" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "invent" , "baseball" , "who invent" , "invent baseball" , "who baseball" 
"NUM:count" , "how" , "many" , "wife" , "how many" , "many wife" , "how wife" 
"NUM:dist" , "how" , "long" , "be" , "how long" , "long be" , "how be" 
"LOC:city" , "what" , "city" , "gain" , "what city" , "city gain" , "what gain" 
"HUM:ind" , "who" , "be" , "shoot" , "who be" , "be shoot" , "who shoot" 
"NUM:count" , "how" , "many" , "college" , "how many" , "many college" , "how college" 
"LOC:city" , "what" , "russian" , "seaport" , "what russian" , "russian seaport" , "what seaport" 
"LOC:other" , "where" , "can" , "stock" , "where can" , "can stock" , "where stock" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"NUM:date" , "when" , "do" , "muhammad" , "when do" , "do muhammad" , "when muhammad" 
"LOC:mount" , "where" , "do" , "people" , "where do" , "do people" , "where people" 
"LOC:country" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "on" , "the" , "where on" , "on the" , "where the" 
"LOC:state" , "what" , "state" , "border" , "what state" , "state border" , "what border" 
"NUM:temp" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "do" , "the" , "where do" , "do the" , "where the" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"HUM:ind" , "what" , "wrestle" , "star" , "what wrestle" , "wrestle star" , "what star" 
"LOC:other" , "what" , "attract" , "tourist" , "what attract" , "attract tourist" , "what tourist" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "where" , "be" , "procter" , "where be" , "be procter" , "where procter" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "be" , "her" , "what be" , "be her" , "what her" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:count" , "how" , "many" , "dot" , "how many" , "many dot" , "how dot" 
"NUM:count" , "how" , "many" , "heart" , "how many" , "many heart" , "how heart" 
"LOC:country" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "baseball" , "star" , "what baseball" , "baseball star" , "what star" 
"HUM:ind" , "what" , "video" , "game" , "what video" , "video game" , "what game" 
"NUM:count" , "how" , "many" , "hole" , "how many" , "many hole" , "how hole" 
"LOC:other" , "in" , "what" , "city" , "in what" , "what city" , "in city" 
"HUM:ind" , "what" , "tv" , "comedienne" , "what tv" , "tv comedienne" , "what comedienne" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:money" , "what" , "do" , "an" , "what do" , "do an" , "what an" 
"HUM:ind" , "who" , "play" , "the" , "who play" , "play the" , "who the" 
"HUM:ind" , "who" , "die" , "foot" , "who die" , "die foot" , "who foot" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"HUM:ind" , "what" , "first" , "name" , "what first" , "first name" , "what name" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:other" , "what" , "be" , "bill" , "what be" , "be bill" , "what bill" 
"LOC:city" , "what" , "russian" , "city" , "what russian" , "russian city" , "what city" 
"NUM:date" , "when" , "be" , "bastille" , "when be" , "be bastille" , "when bastille" 
"NUM:count" , "how" , "many" , "shot" , "how many" , "many shot" , "how shot" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:date" , "what" , "day" , "of" , "what day" , "day of" , "what of" 
"LOC:other" , "where" , "be" , "trinidad" , "where be" , "be trinidad" , "where trinidad" 
"HUM:ind" , "who" , "grace" , "the" , "who grace" , "grace the" , "who the" 
"HUM:ind" , "who" , "portray" , "portly" , "who portray" , "portray portly" , "who portly" 
"NUM:speed" , "how" , "fast" , "be" , "how fast" , "fast be" , "how be" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"LOC:other" , "what" , "the" , "tall" , "what the" , "the tall" , "what tall" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "quarter" , "how many" , "many quarter" , "how quarter" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:ord" , "what" , "chapter" , "of" , "what chapter" , "chapter of" , "what of" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "asian" , "leader" , "what asian" , "asian leader" , "what leader" 
"NUM:speed" , "how" , "fast" , "do" , "how fast" , "fast do" , "how do" 
"LOC:mount" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "arch" , "can" , "what arch" , "arch can" , "what can" 
"HUM:ind" , "who" , "sing" , "the" , "who sing" , "sing the" , "who the" 
"NUM:period" , "how" , "long" , "should" , "how long" , "long should" , "how should" 
"LOC:other" , "which" , "way" , "do" , "which way" , "way do" , "which do" 
"LOC:country" , "which" , "be" , "the" , "which be" , "be the" , "which the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:country" , "which" , "country" , "be" , "which country" , "country be" , "which be" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"HUM:ind" , "who" , "do" , "data" , "who do" , "do data" , "who data" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:state" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:count" , "how" , "many" , "sperm" , "how many" , "many sperm" , "how sperm" 
"NUM:dist" , "how" , "far" , "do" , "how far" , "far do" , "how do" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"HUM:ind" , "what" , "the" , "nickname" , "what the" , "the nickname" , "what nickname" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:dist" , "how" , "far" , "can" , "how far" , "far can" , "how can" 
"LOC:other" , "where" , "be" , "lincoln" , "where be" , "be lincoln" , "where lincoln" 
"NUM:count" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "whose" , "autobiography" , "be" , "whose autobiography" , "autobiography be" , "whose be" 
"NUM:date" , "what" , "year" , "do" , "what year" , "year do" , "what do" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:date" , "what" , "the" , "first" , "what the" , "the first" , "what first" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"LOC:city" , "what" , "city" , "have" , "what city" , "city have" , "what have" 
"HUM:ind" , "who" , "claim" , "he" , "who claim" , "claim he" , "who he" 
"NUM:count" , "how" , "many" , "degree" , "how many" , "many degree" , "how degree" 
"HUM:ind" , "what" , "double" , "talk" , "what double" , "double talk" , "what talk" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "writer" , "have" , "what writer" , "writer have" , "what have" 
"NUM:count" , "how" , "many" , "layer" , "how many" , "many layer" , "how layer" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "county" , "be" , "what county" , "county be" , "what be" 
"NUM:dist" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "be" , "name" , "who be" , "be name" , "who name" 
"NUM:money" , "what" , "do" , "an" , "what do" , "do an" , "what an" 
