@relation answerExp7
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@data
"LOC:other" , "what" , "body" , "of" , "what body" , "body of" , "what of" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"HUM:ind" , "who" , "starred" , "in" , "who starred" , "starred in" , "who in" 
"HUM:ind" , "what" , "painter" , "died" , "what painter" , "painter died" , "what died" 
"LOC:country" , "what" , "country" , "did" , "what country" , "country did" , "what did" 
"NUM:count" , "how" , "many" , "species" , "how many" , "many species" , "how species" 
"LOC:state" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:count" , "how" , "many" , "villi" , "how many" , "many villi" , "how villi" 
"LOC:country" , "what" , "country" , "did" , "what country" , "country did" , "what did" 
"HUM:ind" , "who" , "were" , "the" , "who were" , "were the" , "who the" 
"NUM:date" , "in" , "which" , "year" , "in which" , "which year" , "in year" 
"NUM:date" , "when" , "did" , "cnn" , "when did" , "did cnn" , "when cnn" 
"NUM:date" , "when" , "did" , "rococo" , "when did" , "did rococo" , "when rococo" 
"LOC:country" , "what" , "country" , "national" , "what country" , "country national" , "what national" 
"HUM:ind" , "which" , "of" , "the" , "which of" , "of the" , "which the" 
"HUM:ind" , "who" , "comprised" , "the" , "who comprised" , "comprised the" , "who the" 
"LOC:state" , "what" , "state" , "is" , "what state" , "state is" , "what is" 
"LOC:mount" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"LOC:other" , "where" , "does" , "barney" , "where does" , "does barney" , "where barney" 
"LOC:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:other" , "where" , "on" , "the" , "where on" , "on the" , "where the" 
"NUM:money" , "how" , "much" , "money" , "how much" , "much money" , "how money" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:period" , "how" , "long" , "does" , "how long" , "long does" , "how does" 
"HUM:ind" , "what" , "crooner" , "joined" , "what crooner" , "crooner joined" , "what joined" 
"NUM:date" , "when" , "did" , "the" , "when did" , "did the" , "when the" 
"NUM:money" , "how" , "much" , "would" , "how much" , "much would" , "how would" 
"HUM:ind" , "what" , "actress" , "has" , "what actress" , "actress has" , "what has" 
"NUM:count" , "how" , "many" , "years" , "how many" , "many years" , "how years" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"LOC:city" , "what" , "city" , "boasts" , "what city" , "city boasts" , "what boasts" 
"NUM:count" , "how" , "many" , "hostages" , "how many" , "many hostages" , "how hostages" 
"HUM:ind" , "who" , "earns" , "their" , "who earns" , "earns their" , "who their" 
"HUM:ind" , "who" , "founded" , "the" , "who founded" , "founded the" , "who the" 
"HUM:ind" , "what" , "athlete" , "makes" , "what athlete" , "athlete makes" , "what makes" 
"NUM:count" , "how" , "many" , "bends" , "how many" , "many bends" , "how bends" 
"HUM:ind" , "who" , "discovered" , "electricity" , "who discovered" , "discovered electricity" , "who electricity" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:country" , "what" , "two" , "south" , "what two" , "two south" , "what south" 
"NUM:date" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:other" , "what" , "wide" , "valley" , "what wide" , "wide valley" , "what valley" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"NUM:count" , "how" , "many" , "months" , "how many" , "many months" , "how months" 
"LOC:other" , "where" , "are" , "the" , "where are" , "are the" , "where the" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"HUM:ind" , "who" , "sings" , "the" , "who sings" , "sings the" , "who the" 
"HUM:ind" , "who" , "directed" , "jaws" , "who directed" , "directed jaws" , "who jaws" 
"NUM:count" , "how" , "many" , "colonies" , "how many" , "many colonies" , "how colonies" 
"LOC:city" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:date" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:country" , "what" , "country" , "contains" , "what country" , "country contains" , "what contains" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"LOC:city" , "what" , "city" , "is" , "what city" , "city is" , "what is" 
"HUM:ind" , "who" , "created" , "dennis" , "who created" , "created dennis" , "who dennis" 
"HUM:ind" , "what" , "dummy" , "received" , "what dummy" , "dummy received" , "what received" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"LOC:country" , "what" , "countries" , "have" , "what countries" , "countries have" , "what have" 
"HUM:ind" , "name" , "alvin" , "brothers" , "name alvin" , "alvin brothers" , "name brothers" 
"NUM:date" , "when" , "did" , "the" , "when did" , "did the" , "when the" 
"HUM:ind" , "what" , "actor" , "said" , "what actor" , "actor said" , "what said" 
"HUM:ind" , "what" , "explorer" , "was" , "what explorer" , "explorer was" , "what was" 
"NUM:date" , "cnn" , "began" , "broadcasting" , "cnn began" , "began broadcasting" , "cnn broadcasting" 
"LOC:city" , "what" , "south" , "american" , "what south" , "south american" , "what american" 
"NUM:count" , "how" , "many" , "species" , "how many" , "many species" , "how species" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"NUM:volsize" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:date" , "when" , "did" , "beethoven" , "when did" , "did beethoven" , "when beethoven" 
"NUM:money" , "how" , "much" , "does" , "how much" , "much does" , "how does" 
"LOC:country" , "what" , "two" , "european" , "what two" , "two european" , "what european" 
"HUM:ind" , "what" , "russian" , "composer" , "what russian" , "russian composer" , "what composer" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"NUM:count" , "how" , "many" , "revolutions" , "how many" , "many revolutions" , "how revolutions" 
"LOC:mount" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"NUM:count" , "how" , "many" , "south" , "how many" , "many south" , "how south" 
"LOC:other" , "where" , "was" , "george" , "where was" , "was george" , "where george" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "wrote" , "nn" , "who wrote" , "wrote nn" , "who nn" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"HUM:ind" , "what" , "diminutive" , "american" , "what diminutive" , "diminutive american" , "what american" 
"NUM:date" , "when" , "did" , "the" , "when did" , "did the" , "when the" 
"LOC:other" , "what" , "las" , "vegas" , "what las" , "las vegas" , "what vegas" 
"NUM:date" , "when" , "did" , "mount" , "when did" , "did mount" , "when mount" 
"NUM:date" , "when" , "did" , "world" , "when did" , "did world" , "when world" 
"NUM:count" , "how" , "many" , "feet" , "how many" , "many feet" , "how feet" 
"LOC:city" , "what" , "european" , "city" , "what european" , "european city" , "what city" 
"HUM:ind" , "who" , "was" , "president" , "who was" , "was president" , "who president" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "who" , "are" , "the" , "who are" , "are the" , "who the" 
"NUM:date" , "when" , "is" , "boxing" , "when is" , "is boxing" , "when boxing" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"NUM:date" , "when" , "did" , "spielberg" , "when did" , "did spielberg" , "when spielberg" 
"NUM:volsize" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:city" , "what" , "is" , "california" , "what is" , "is california" , "what california" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:country" , "what" , "european" , "country" , "what european" , "european country" , "what country" 
"LOC:other" , "where" , "was" , "christopher" , "where was" , "was christopher" , "where christopher" 
"LOC:other" , "what" , "sea" , "did" , "what sea" , "sea did" , "what did" 
"LOC:city" , "what" , "city" , "did" , "what city" , "city did" , "what did" 
"HUM:ind" , "which" , "doonesbury" , "character" , "which doonesbury" , "doonesbury character" , "which character" 
"LOC:other" , "what" , "stadium" , "do" , "what stadium" , "stadium do" , "what do" 
"HUM:ind" , "who" , "has" , "the" , "who has" , "has the" , "who the" 
"NUM:other" , "what" , "was" , "einstein" , "what was" , "was einstein" , "what einstein" 
"NUM:date" , "what" , "day" , "was" , "what day" , "day was" , "what was" 
"HUM:ind" , "what" , "girl" , "name" , "what girl" , "girl name" , "what name" 
"LOC:state" , "what" , "state" , "is" , "what state" , "state is" , "what is" 
"LOC:state" , "what" , "state" , "has" , "what state" , "state has" , "what has" 
"NUM:count" , "how" , "many" , "years" , "how many" , "many years" , "how years" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "made" , "a" , "who made" , "made a" , "who a" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "which" , "bloom" , "county" , "which bloom" , "bloom county" , "which county" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:count" , "how" , "many" , "calories" , "how many" , "many calories" , "how calories" 
"HUM:ind" , "what" , "part" , "did" , "what part" , "part did" , "what did" 
"HUM:ind" , "who" , "followed" , "caesar" , "who followed" , "followed caesar" , "who caesar" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:other" , "what" , "is" , "address" , "what is" , "is address" , "what address" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "does" , "the" , "who does" , "does the" , "who the" 
"HUM:ind" , "who" , "invented" , "the" , "who invented" , "invented the" , "who the" 
"NUM:count" , "what" , "the" , "american" , "what the" , "the american" , "what american" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"NUM:speed" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "what" , "actor" , "first" , "what actor" , "actor first" , "what first" 
"LOC:other" , "what" , "ocean" , "is" , "what ocean" , "ocean is" , "what is" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"NUM:date" , "what" , "year" , "did" , "what year" , "year did" , "what did" 
"NUM:count" , "how" , "many" , "sonnets" , "how many" , "many sonnets" , "how sonnets" 
"HUM:ind" , "who" , "won" , "the" , "who won" , "won the" , "who the" 
"LOC:city" , "which" , "city" , "did" , "which city" , "city did" , "which did" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"NUM:speed" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "said" , "of" , "who said" , "said of" , "who of" 
"HUM:ind" , "who" , "declared" , "i" , "who declared" , "declared i" , "who i" 
"LOC:other" , "where" , "does" , "chocolate" , "where does" , "does chocolate" , "where chocolate" 
"HUM:ind" , "what" , "soviet" , "leader" , "what soviet" , "soviet leader" , "what leader" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "wrote" , "the" , "who wrote" , "wrote the" , "who the" 
"NUM:count" , "how" , "many" , "beatles" , "how many" , "many beatles" , "how beatles" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:mount" , "what" , "mountains" , "lie" , "what mountains" , "mountains lie" , "what lie" 
"HUM:ind" , "who" , "received" , "the" , "who received" , "received the" , "who the" 
"LOC:other" , "what" , "the" , "closest" , "what the" , "the closest" , "what closest" 
"NUM:count" , "how" , "many" , "equal" , "how many" , "many equal" , "how equal" 
"HUM:ind" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"HUM:ind" , "what" , "united" , "states" , "what united" , "united states" , "what states" 
"LOC:other" , "where" , "is" , "basque" , "where is" , "is basque" , "where basque" 
"NUM:date" , "what" , "time" , "of" , "what time" , "time of" , "what of" 
"NUM:count" , "how" , "many" , "years" , "how many" , "many years" , "how years" 
"LOC:city" , "what" , "south" , "korean" , "what south" , "south korean" , "what korean" 
"NUM:count" , "how" , "many" , "types" , "how many" , "many types" , "how types" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:mount" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"LOC:other" , "where" , "was" , "the" , "where was" , "was the" , "where the" 
"LOC:country" , "what" , "country" , "people" , "what country" , "country people" , "what people" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"LOC:city" , "what" , "nevada" , "center" , "what nevada" , "nevada center" , "what center" 
"HUM:ind" , "what" , "president" , "lived" , "what president" , "president lived" , "what lived" 
"LOC:other" , "where" , "must" , "a" , "where must" , "must a" , "where a" 
"LOC:state" , "in" , "what" , "state" , "in what" , "what state" , "in state" 
"NUM:date" , "what" , "year" , "did" , "what year" , "year did" , "what did" 
"HUM:ind" , "what" , "famous" , "model" , "what famous" , "famous model" , "what model" 
"NUM:money" , "how" , "much" , "money" , "how much" , "much money" , "how money" 
"HUM:ind" , "who" , "danced" , "into" , "who danced" , "danced into" , "who into" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:mount" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "is" , "procter" , "where is" , "is procter" , "where procter" 
"LOC:other" , "what" , "desert" , "has" , "what desert" , "desert has" , "what has" 
"NUM:count" , "how" , "many" , "miles" , "how many" , "many miles" , "how miles" 
"NUM:count" , "how" , "much" , "snow" , "how much" , "much snow" , "how snow" 
"NUM:date" , "when" , "does" , "the" , "when does" , "does the" , "when the" 
"HUM:ind" , "what" , "actor" , "autobiography" , "what actor" , "actor autobiography" , "what autobiography" 
"HUM:ind" , "what" , "russian" , "master" , "what russian" , "russian master" , "what master" 
"LOC:other" , "where" , "the" , "hole" , "where the" , "the hole" , "where hole" 
"HUM:ind" , "who" , "played" , "the" , "who played" , "played the" , "who the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:other" , "where" , "did" , "sarge" , "where did" , "did sarge" , "where sarge" 
"HUM:ind" , "who" , "wrote" , "the" , "who wrote" , "wrote the" , "who the" 
"LOC:country" , "what" , "country" , "did" , "what country" , "country did" , "what did" 
"HUM:ind" , "who" , "painted" , "mother" , "who painted" , "painted mother" , "who mother" 
"NUM:speed" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "in" , "what" , "area" , "in what" , "what area" , "in area" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "what" , "was" , "mao" , "what was" , "was mao" , "what mao" 
"LOC:other" , "where" , "do" , "hyenas" , "where do" , "do hyenas" , "where hyenas" 
"HUM:ind" , "who" , "has" , "more" , "who has" , "has more" , "who more" 
"NUM:count" , "how" , "many" , "referees" , "how many" , "many referees" , "how referees" 
"NUM:date" , "when" , "is" , "the" , "when is" , "is the" , "when the" 
"HUM:ind" , "who" , "came" , "up" , "who came" , "came up" , "who up" 
"HUM:ind" , "what" , "dictator" , "has" , "what dictator" , "dictator has" , "what has" 
"LOC:city" , "what" , "city" , "is" , "what city" , "city is" , "what is" 
"HUM:ind" , "what" , "tv" , "sitcom" , "what tv" , "tv sitcom" , "what sitcom" 
"HUM:ind" , "who" , "kept" , "the" , "who kept" , "kept the" , "who the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "degrees" , "how many" , "many degrees" , "how degrees" 
"HUM:ind" , "what" , "spanish" , "artist" , "what spanish" , "spanish artist" , "what artist" 
"HUM:ind" , "what" , "spy" , "novelist" , "what spy" , "spy novelist" , "what novelist" 
"NUM:period" , "how" , "long" , "does" , "how long" , "long does" , "how does" 
"HUM:ind" , "who" , "was" , "randy" , "who was" , "was randy" , "who randy" 
"LOC:other" , "what" , "was" , "known" , "what was" , "was known" , "what known" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "name" , "the" , "ranger" , "name the" , "the ranger" , "name ranger" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:city" , "mccarren" , "airport" , "is" , "mccarren airport" , "airport is" , "mccarren is" 
"NUM:perc" , "what" , "fraction" , "of" , "what fraction" , "fraction of" , "what of" 
"LOC:country" , "what" , "country" , "has" , "what country" , "country has" , "what has" 
"LOC:country" , "what" , "country" , "is" , "what country" , "country is" , "what is" 
"NUM:count" , "how" , "many" , "years" , "how many" , "many years" , "how years" 
"NUM:money" , "how" , "much" , "would" , "how much" , "much would" , "how would" 
"LOC:country" , "what" , "country" , "has" , "what country" , "country has" , "what has" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"HUM:ind" , "whose" , "first" , "presidential" , "whose first" , "first presidential" , "whose presidential" 
"LOC:city" , "what" , "city" , "is" , "what city" , "city is" , "what is" 
"NUM:count" , "how" , "many" , "innings" , "how many" , "many innings" , "how innings" 
"NUM:date" , "when" , "did" , "cnn" , "when did" , "did cnn" , "when cnn" 
"LOC:city" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:code" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "invented" , "baseball" , "who invented" , "invented baseball" , "who baseball" 
"NUM:count" , "how" , "many" , "wives" , "how many" , "many wives" , "how wives" 
"NUM:dist" , "how" , "long" , "is" , "how long" , "long is" , "how is" 
"LOC:city" , "what" , "city" , "gained" , "what city" , "city gained" , "what gained" 
"HUM:ind" , "who" , "was" , "shot" , "who was" , "was shot" , "who shot" 
"NUM:count" , "how" , "many" , "colleges" , "how many" , "many colleges" , "how colleges" 
"LOC:city" , "what" , "russian" , "seaport" , "what russian" , "russian seaport" , "what seaport" 
"LOC:other" , "where" , "can" , "stocks" , "where can" , "can stocks" , "where stocks" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"NUM:date" , "when" , "did" , "muhammad" , "when did" , "did muhammad" , "when muhammad" 
"LOC:mount" , "where" , "do" , "people" , "where do" , "do people" , "where people" 
"LOC:country" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:other" , "where" , "on" , "the" , "where on" , "on the" , "where the" 
"LOC:state" , "what" , "state" , "borders" , "what state" , "state borders" , "what borders" 
"NUM:temp" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "did" , "the" , "where did" , "did the" , "where the" 
"LOC:city" , "what" , "city" , "is" , "what city" , "city is" , "what is" 
"HUM:ind" , "what" , "wrestling" , "star" , "what wrestling" , "wrestling star" , "what star" 
"LOC:other" , "what" , "attracts" , "tourists" , "what attracts" , "attracts tourists" , "what tourists" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:other" , "where" , "is" , "procter" , "where is" , "is procter" , "where procter" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "what" , "was" , "her" , "what was" , "was her" , "what her" 
"HUM:ind" , "who" , "invented" , "the" , "who invented" , "invented the" , "who the" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"NUM:count" , "how" , "many" , "dots" , "how many" , "many dots" , "how dots" 
"NUM:count" , "how" , "many" , "hearts" , "how many" , "many hearts" , "how hearts" 
"LOC:country" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"HUM:ind" , "what" , "baseball" , "star" , "what baseball" , "baseball star" , "what star" 
"HUM:ind" , "what" , "video" , "game" , "what video" , "video game" , "what game" 
"NUM:count" , "how" , "many" , "holes" , "how many" , "many holes" , "how holes" 
"LOC:other" , "in" , "what" , "city" , "in what" , "what city" , "in city" 
"HUM:ind" , "what" , "tv" , "comediennes" , "what tv" , "tv comediennes" , "what comediennes" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:money" , "what" , "does" , "an" , "what does" , "does an" , "what an" 
"HUM:ind" , "who" , "played" , "the" , "who played" , "played the" , "who the" 
"HUM:ind" , "who" , "died" , "feet" , "who died" , "died feet" , "who feet" 
"NUM:date" , "when" , "is" , "the" , "when is" , "is the" , "when the" 
"HUM:ind" , "what" , "first" , "name" , "what first" , "first name" , "what name" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:other" , "what" , "is" , "bill" , "what is" , "is bill" , "what bill" 
"LOC:city" , "what" , "russian" , "city" , "what russian" , "russian city" , "what city" 
"NUM:date" , "when" , "is" , "bastille" , "when is" , "is bastille" , "when bastille" 
"NUM:count" , "how" , "many" , "shots" , "how many" , "many shots" , "how shots" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"NUM:date" , "what" , "day" , "of" , "what day" , "day of" , "what of" 
"LOC:other" , "where" , "is" , "trinidad" , "where is" , "is trinidad" , "where trinidad" 
"HUM:ind" , "who" , "graced" , "the" , "who graced" , "graced the" , "who the" 
"HUM:ind" , "who" , "portrayed" , "portly" , "who portrayed" , "portrayed portly" , "who portly" 
"NUM:speed" , "how" , "fast" , "is" , "how fast" , "fast is" , "how is" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"LOC:other" , "what" , "the" , "tallest" , "what the" , "the tallest" , "what tallest" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "quarters" , "how many" , "many quarters" , "how quarters" 
"HUM:ind" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"NUM:ord" , "what" , "chapter" , "of" , "what chapter" , "chapter of" , "what of" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"HUM:ind" , "what" , "asian" , "leader" , "what asian" , "asian leader" , "what leader" 
"NUM:speed" , "how" , "fast" , "does" , "how fast" , "fast does" , "how does" 
"LOC:mount" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "what" , "arch" , "can" , "what arch" , "arch can" , "what can" 
"HUM:ind" , "who" , "sings" , "the" , "who sings" , "sings the" , "who the" 
"NUM:period" , "how" , "long" , "should" , "how long" , "long should" , "how should" 
"LOC:other" , "which" , "way" , "do" , "which way" , "way do" , "which do" 
"LOC:country" , "which" , "is" , "the" , "which is" , "is the" , "which the" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"HUM:ind" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:country" , "which" , "country" , "is" , "which country" , "country is" , "which is" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"HUM:ind" , "who" , "does" , "data" , "who does" , "does data" , "who data" 
"HUM:ind" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"LOC:state" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "were" , "the" , "who were" , "were the" , "who the" 
"NUM:count" , "how" , "many" , "sperm" , "how many" , "many sperm" , "how sperm" 
"NUM:dist" , "how" , "far" , "do" , "how far" , "far do" , "how do" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:other" , "where" , "are" , "the" , "where are" , "are the" , "where the" 
"HUM:ind" , "what" , "the" , "nickname" , "what the" , "the nickname" , "what nickname" 
"NUM:other" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"NUM:dist" , "how" , "far" , "can" , "how far" , "far can" , "how can" 
"LOC:other" , "where" , "was" , "lincoln" , "where was" , "was lincoln" , "where lincoln" 
"NUM:count" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"HUM:ind" , "whose" , "autobiography" , "is" , "whose autobiography" , "autobiography is" , "whose is" 
"NUM:date" , "what" , "year" , "did" , "what year" , "year did" , "what did" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:date" , "what" , "the" , "first" , "what the" , "the first" , "what first" 
"LOC:city" , "what" , "city" , "was" , "what city" , "city was" , "what was" 
"LOC:city" , "what" , "city" , "has" , "what city" , "city has" , "what has" 
"HUM:ind" , "who" , "claimed" , "he" , "who claimed" , "claimed he" , "who he" 
"NUM:count" , "how" , "many" , "degrees" , "how many" , "many degrees" , "how degrees" 
"HUM:ind" , "what" , "double" , "talking" , "what double" , "double talking" , "what talking" 
"LOC:city" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"HUM:ind" , "what" , "writer" , "had" , "what writer" , "writer had" , "what had" 
"NUM:count" , "how" , "many" , "layers" , "how many" , "many layers" , "how layers" 
"HUM:ind" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"LOC:other" , "what" , "county" , "is" , "what county" , "county is" , "what is" 
"NUM:dist" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
