@relation answerExp6
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@data
"LOC:mount" , "where" , "be" , "the" , "high" 
"LOC:other" , "where" , "do" , "barney" , "rubble" 
"LOC:other" , "what" , "be" , "the" , "world" 
"LOC:other" , "where" , "on" , "the" , "internet" 
"NUM:money" , "how" , "much" , "money" , "do" 
"LOC:other" , "where" , "can" , "i" , "find" 
"NUM:period" , "how" , "long" , "do" , "it" 
"HUM:ind" , "what" , "crooner" , "join" , "the" 
"NUM:date" , "when" , "do" , "the" , "bounty" 
"NUM:money" , "how" , "much" , "would" , "it" 
"HUM:ind" , "what" , "actress" , "have" , "receive" 
"NUM:count" , "how" , "many" , "year" , "do" 
"LOC:other" , "where" , "be" , "the" , "orinoco" 
"LOC:city" , "what" , "city" , "boast" , "penn" 
"NUM:count" , "how" , "many" , "hostage" , "be" 
"HUM:ind" , "who" , "earn" , "their" , "money" 
"HUM:ind" , "who" , "found" , "the" , "people" 
"HUM:ind" , "what" , "athlete" , "make" , "the" 
"NUM:count" , "how" , "many" , "bend" , "be" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"LOC:country" , "what" , "two" , "south" , "american" 
"NUM:date" , "what" , "be" , "the" , "busy" 
"LOC:other" , "where" , "be" , "the" , "rise" 
"HUM:ind" , "who" , "be" , "the" , "mayor" 
"LOC:other" , "what" , "wide" , "valley" , "be" 
"NUM:date" , "in" , "what" , "year" , "do" 
"NUM:count" , "how" , "many" , "month" , "do" 
"LOC:other" , "where" , "be" , "the" , "step" 
"NUM:date" , "in" , "what" , "year" , "be" 
"HUM:ind" , "who" , "sing" , "the" , "theme" 
"NUM:count" , "how" , "many" , "colony" , "be" 
"LOC:city" , "what" , "be" , "the" , "name" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "what" , "be" , "the" , "name" 
"NUM:date" , "what" , "be" , "the" , "three" 
"LOC:country" , "what" , "country" , "contain" , "africa" 
"LOC:other" , "where" , "be" , "the" , "kalahari" 
"LOC:city" , "what" , "city" , "be" , "sometimes" 
"HUM:ind" , "who" , "create" , "dennis" , "the" 
"HUM:ind" , "what" , "dummy" , "receive" , "an" 
"NUM:date" , "when" , "be" , "the" , "first" 
"LOC:country" , "what" , "country" , "have" , "the" 
"NUM:date" , "when" , "do" , "the" , "royal" 
"HUM:ind" , "what" , "actor" , "say" , "in" 
"HUM:ind" , "what" , "explorer" , "be" , "nickname" 
"NUM:date" , "cnn" , "begin" , "broadcast" , "in" 
"LOC:city" , "what" , "south" , "american" , "city" 
"NUM:count" , "how" , "many" , "specie" , "of" 
"NUM:count" , "how" , "many" , "people" , "be" 
"NUM:volsize" , "what" , "be" , "the" , "acreage" 
"NUM:date" , "when" , "do" , "beethoven" , "die" 
"NUM:money" , "how" , "much" , "do" , "a" 
"LOC:country" , "what" , "two" , "european" , "country" 
"HUM:ind" , "what" , "russian" , "composer" , "prelude" 
"HUM:ind" , "who" , "be" , "the" , "mother" 
"NUM:count" , "how" , "many" , "revolution" , "do" 
"LOC:mount" , "what" , "be" , "the" , "name" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "what" , "be" , "the" , "name" 
"NUM:count" , "how" , "many" , "south" , "american" 
"LOC:other" , "where" , "be" , "george" , "washington" 
"NUM:count" , "how" , "many" , "people" , "on" 
"HUM:ind" , "who" , "write" , "nn" , "dt" 
"NUM:date" , "when" , "be" , "the" , "first" 
"HUM:ind" , "what" , "diminutive" , "american" , "female" 
"NUM:date" , "when" , "do" , "the" , "berlin" 
"LOC:other" , "what" , "las" , "vegas" , "hotel" 
"NUM:date" , "when" , "do" , "mount" , "helen" 
"NUM:date" , "when" , "do" , "world" , "war" 
"NUM:count" , "how" , "many" , "foot" , "be" 
"LOC:city" , "what" , "european" , "city" , "do" 
"HUM:ind" , "who" , "be" , "president" , "of" 
"HUM:ind" , "who" , "be" , "the" , "lead" 
"HUM:ind" , "who" , "be" , "the" , "president" 
"HUM:ind" , "who" , "be" , "the" , "two" 
"NUM:date" , "when" , "be" , "box" , "day" 
"NUM:date" , "when" , "be" , "the" , "battle" 
"NUM:count" , "how" , "many" , "people" , "do" 
"NUM:date" , "when" , "do" , "spielberg" , "direct" 
"NUM:volsize" , "what" , "be" , "the" , "size" 
"LOC:city" , "what" , "be" , "california" , "capital" 
"HUM:ind" , "who" , "be" , "the" , "author" 
"HUM:ind" , "who" , "be" , "the" , "founding" 
"LOC:country" , "what" , "european" , "country" , "be" 
"LOC:other" , "where" , "be" , "christopher" , "columbus" 
"LOC:other" , "what" , "sea" , "do" , "the" 
"LOC:city" , "what" , "city" , "do" , "the" 
"HUM:ind" , "which" , "doonesbury" , "character" , "be" 
"LOC:other" , "what" , "stadium" , "do" , "the" 
"HUM:ind" , "who" , "have" , "the" , "only" 
"NUM:other" , "what" , "be" , "einstein" , "iq" 
"NUM:date" , "what" , "day" , "be" , "pearl" 
"HUM:ind" , "what" , "girl" , "name" , "be" 
"LOC:state" , "what" , "state" , "be" , "john" 
"LOC:state" , "what" , "state" , "have" , "an" 
"NUM:count" , "how" , "many" , "year" , "ago" 
"LOC:other" , "what" , "be" , "the" , "deep" 
"NUM:other" , "what" , "be" , "the" , "latitude" 
"HUM:ind" , "who" , "make" , "a" , "boat" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "which" , "bloom" , "county" , "resident" 
"NUM:other" , "what" , "be" , "the" , "normal" 
"NUM:other" , "what" , "be" , "the" , "population" 
"NUM:count" , "how" , "many" , "calorie" , "be" 
"HUM:ind" , "what" , "part" , "do" , "john" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"LOC:other" , "where" , "can" , "i" , "buy" 
"HUM:ind" , "who" , "do" , "the" , "advertize" 
"HUM:ind" , "who" , "invent" , "the" , "radio" 
"NUM:count" , "what" , "the" , "american" , "dollar" 
"HUM:ind" , "who" , "be" , "the" , "man" 
"NUM:speed" , "what" , "be" , "the" , "speed" 
"HUM:ind" , "what" , "actor" , "first" , "portray" 
"LOC:other" , "what" , "ocean" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"NUM:date" , "what" , "year" , "do" , "jack" 
"NUM:count" , "how" , "many" , "sonnet" , "do" 
"HUM:ind" , "who" , "win" , "the" , "nobel" 
"LOC:city" , "which" , "city" , "do" , "christian" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"NUM:speed" , "what" , "be" , "the" , "speed" 
"HUM:ind" , "who" , "say" , "of" , "super" 
"HUM:ind" , "who" , "declare" , "i" , "be" 
"LOC:other" , "where" , "do" , "chocolate" , "come" 
"HUM:ind" , "what" , "soviet" , "leader" , "own" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "who" , "write" , "the" , "song" 
"NUM:count" , "how" , "many" , "beatles" , "record" 
"HUM:ind" , "who" , "be" , "the" , "only" 
"LOC:mount" , "what" , "mountains" , "lie" , "between" 
"HUM:ind" , "who" , "receive" , "the" , "will" 
"LOC:other" , "what" , "the" , "close" , "spectrum" 
"NUM:count" , "how" , "many" , "equal" , "angle" 
"HUM:ind" , "what" , "be" , "the" , "name" 
"HUM:ind" , "what" , "united" , "state" , "president" 
"LOC:other" , "where" , "be" , "basque" , "country" 
"NUM:date" , "what" , "time" , "of" , "day" 
"NUM:count" , "how" , "many" , "year" , "do" 
"LOC:city" , "what" , "south" , "korean" , "city" 
"NUM:count" , "how" , "many" , "type" , "of" 
"NUM:other" , "what" , "be" , "the" , "quantity" 
"LOC:mount" , "what" , "be" , "the" , "high" 
"LOC:other" , "where" , "be" , "the" , "ligurian" 
"LOC:country" , "what" , "country" , "people" , "be" 
"NUM:date" , "when" , "be" , "the" , "woman" 
"LOC:city" , "what" , "nevada" , "center" , "have" 
"HUM:ind" , "what" , "president" , "live" , "at" 
"LOC:other" , "where" , "must" , "a" , "soccer" 
"LOC:state" , "in" , "what" , "state" , "be" 
"NUM:date" , "what" , "year" , "do" , "hitler" 
"HUM:ind" , "what" , "famous" , "model" , "be" 
"NUM:money" , "how" , "much" , "money" , "be" 
"HUM:ind" , "who" , "dance" , "into" , "stardom" 
"HUM:ind" , "who" , "be" , "the" , "fast" 
"LOC:mount" , "what" , "be" , "the" , "high" 
"LOC:other" , "where" , "be" , "procter" , "gamble" 
"LOC:other" , "what" , "desert" , "have" , "be" 
"NUM:count" , "how" , "many" , "mile" , "be" 
"NUM:count" , "how" , "much" , "snow" , "equal" 
"NUM:date" , "when" , "do" , "the" , "average" 
"HUM:ind" , "what" , "actor" , "autobiography" , "be" 
"HUM:ind" , "what" , "russian" , "master" , "spy" 
"LOC:other" , "where" , "the" , "hole" , "on" 
"HUM:ind" , "who" , "play" , "the" , "original" 
"LOC:other" , "where" , "can" , "i" , "find" 
"LOC:other" , "where" , "do" , "sarge" , "steel" 
"HUM:ind" , "who" , "write" , "the" , "night" 
"LOC:country" , "what" , "country" , "do" , "king" 
"HUM:ind" , "who" , "paint" , "mother" , "and" 
"NUM:speed" , "what" , "be" , "the" , "speed" 
"LOC:other" , "in" , "what" , "area" , "of" 
"LOC:other" , "what" , "be" , "the" , "bright" 
"HUM:ind" , "what" , "be" , "mao" , "second" 
"LOC:other" , "where" , "do" , "hyenas" , "live" 
"HUM:ind" , "who" , "have" , "more" , "dna" 
"NUM:count" , "how" , "many" , "referee" , "work" 
"NUM:date" , "when" , "be" , "the" , "tulip" 
"HUM:ind" , "who" , "come" , "up" , "with" 
"HUM:ind" , "what" , "dictator" , "have" , "the" 
"LOC:city" , "what" , "city" , "be" , "the" 
"HUM:ind" , "what" , "tv" , "sitcom" , "character" 
"HUM:ind" , "who" , "keep" , "the" , "most" 
"LOC:other" , "where" , "can" , "i" , "find" 
"NUM:count" , "how" , "many" , "degree" , "cooler" 
"HUM:ind" , "what" , "spanish" , "artist" , "paint" 
"HUM:ind" , "what" , "spy" , "novelist" , "serve" 
"NUM:period" , "how" , "long" , "do" , "it" 
"HUM:ind" , "who" , "be" , "randy" , "steven" 
"LOC:other" , "what" , "be" , "know" , "a" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"HUM:ind" , "name" , "the" , "ranger" , "who" 
"HUM:ind" , "who" , "be" , "the" , "superstar" 
"LOC:city" , "mccarren" , "airport" , "be" , "locate" 
"NUM:perc" , "what" , "fraction" , "of" , "a" 
"LOC:country" , "what" , "country" , "have" , "the" 
"LOC:country" , "what" , "country" , "be" , "the" 
"NUM:count" , "how" , "many" , "year" , "be" 
"NUM:money" , "how" , "much" , "would" , "a" 
"LOC:country" , "what" , "country" , "have" , "the" 
"HUM:ind" , "who" , "be" , "the" , "president" 
"HUM:ind" , "whose" , "first" , "presidential" , "order" 
"LOC:city" , "what" , "city" , "be" , "logan" 
"NUM:count" , "how" , "many" , "inning" , "be" 
"NUM:date" , "when" , "do" , "cnn" , "go" 
"LOC:city" , "what" , "be" , "the" , "large" 
"NUM:code" , "what" , "be" , "the" , "telephone" 
"NUM:count" , "how" , "many" , "wife" , "do" 
"NUM:dist" , "how" , "long" , "be" , "the" 
"LOC:city" , "what" , "city" , "gain" , "renown" 
"HUM:ind" , "who" , "be" , "shoot" , "in" 
"NUM:count" , "how" , "many" , "college" , "be" 
"LOC:city" , "what" , "russian" , "seaport" , "have" 
"LOC:other" , "where" , "can" , "stock" , "be" 
"NUM:date" , "when" , "be" , "the" , "battle" 
"NUM:date" , "when" , "do" , "muhammad" , "live" 
"LOC:mount" , "where" , "do" , "people" , "mountain" 
"LOC:country" , "what" , "be" , "the" , "nordic" 
"LOC:other" , "where" , "on" , "the" , "internet" 
"LOC:state" , "what" , "state" , "border" , "illinois" 
"NUM:temp" , "what" , "be" , "the" , "temperature" 
"LOC:other" , "where" , "do" , "the" , "myth" 
"LOC:city" , "what" , "city" , "be" , "serve" 
"HUM:ind" , "what" , "wrestle" , "star" , "become" 
"LOC:other" , "what" , "attract" , "tourist" , "to" 
"HUM:ind" , "who" , "be" , "the" , "star" 
"LOC:other" , "where" , "be" , "procter" , "gamble" 
"LOC:other" , "what" , "be" , "the" , "web" 
"HUM:ind" , "what" , "be" , "her" , "real" 
"HUM:ind" , "who" , "invent" , "the" , "toothbrush" 
"LOC:other" , "where" , "be" , "the" , "abominable" 
"NUM:count" , "how" , "many" , "dot" , "make" 
"NUM:count" , "how" , "many" , "heart" , "do" 
"LOC:country" , "what" , "be" , "the" , "only" 
"HUM:ind" , "what" , "baseball" , "star" , "turn" 
"HUM:ind" , "what" , "video" , "game" , "hero" 
"NUM:count" , "how" , "many" , "hole" , "be" 
"LOC:other" , "in" , "what" , "city" , "or" 
"HUM:ind" , "what" , "tv" , "comedienne" , "character" 
"NUM:perc" , "what" , "percentage" , "of" , "the" 
"NUM:money" , "what" , "do" , "an" , "average" 
"HUM:ind" , "who" , "play" , "the" , "ringo" 
"HUM:ind" , "who" , "die" , "foot" , "from" 
"NUM:date" , "when" , "be" , "the" , "site" 
"HUM:ind" , "what" , "first" , "name" , "be" 
"HUM:ind" , "who" , "be" , "the" , "young" 
"LOC:other" , "where" , "can" , "i" , "find" 
"LOC:other" , "what" , "be" , "bill" , "gate" 
"LOC:city" , "what" , "russian" , "city" , "boast" 
"NUM:date" , "when" , "be" , "bastille" , "day" 
"NUM:count" , "how" , "many" , "shot" , "can" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"NUM:date" , "what" , "day" , "of" , "the" 
"HUM:ind" , "who" , "grace" , "the" , "airwave" 
"HUM:ind" , "who" , "portray" , "portly" , "criminologist" 
"NUM:speed" , "how" , "fast" , "be" , "light" 
"NUM:date" , "when" , "be" , "the" , "first" 
"LOC:other" , "what" , "the" , "tall" , "building" 
"LOC:other" , "where" , "can" , "i" , "find" 
"NUM:count" , "how" , "many" , "quarter" , "equal" 
"HUM:ind" , "what" , "be" , "the" , "first" 
"NUM:ord" , "what" , "chapter" , "of" , "the" 
"HUM:ind" , "who" , "be" , "the" , "bad" 
"HUM:ind" , "what" , "asian" , "leader" , "be" 
"NUM:speed" , "how" , "fast" , "do" , "the" 
"LOC:mount" , "what" , "be" , "the" , "high" 
"LOC:other" , "what" , "arch" , "can" , "you" 
"HUM:ind" , "who" , "sing" , "the" , "song" 
"NUM:period" , "how" , "long" , "should" , "a" 
"LOC:other" , "which" , "way" , "do" , "you" 
"LOC:country" , "which" , "be" , "the" , "wealthy" 
"HUM:ind" , "who" , "be" , "the" , "monarch" 
"HUM:ind" , "what" , "be" , "the" , "top" 
"LOC:country" , "which" , "country" , "be" , "australia" 
"LOC:other" , "where" , "be" , "the" , "kentucky" 
"HUM:ind" , "who" , "do" , "data" , "collection" 
"HUM:ind" , "what" , "be" , "the" , "name" 
"LOC:state" , "what" , "be" , "the" , "leading" 
"HUM:ind" , "who" , "be" , "the" , "four" 
"NUM:count" , "how" , "many" , "sperm" , "cell" 
"NUM:dist" , "how" , "far" , "do" , "you" 
"HUM:ind" , "who" , "be" , "the" , "only" 
"LOC:other" , "where" , "be" , "the" , "tropical" 
"HUM:ind" , "what" , "the" , "nickname" , "of" 
"NUM:other" , "what" , "be" , "the" , "number" 
"NUM:dist" , "how" , "far" , "can" , "a" 
"LOC:other" , "where" , "be" , "lincoln" , "assassinate" 
"NUM:count" , "what" , "be" , "the" , "highway" 
"HUM:ind" , "whose" , "autobiography" , "be" , "title" 
"NUM:date" , "what" , "year" , "do" , "the" 
"NUM:perc" , "what" , "percentage" , "of" , "american" 
"NUM:date" , "what" , "the" , "first" , "day" 
"LOC:city" , "what" , "city" , "be" , "president" 
"LOC:city" , "what" , "city" , "have" , "the" 
"HUM:ind" , "who" , "claim" , "he" , "kill" 
"NUM:count" , "how" , "many" , "degree" , "cooler" 
"HUM:ind" , "what" , "double" , "talk" , "professor" 
"LOC:city" , "what" , "be" , "the" , "five" 
"HUM:ind" , "what" , "writer" , "have" , "a" 
"NUM:count" , "how" , "many" , "layer" , "of" 
"HUM:ind" , "what" , "be" , "the" , "name" 
"LOC:other" , "what" , "county" , "be" , "chicago" 
"NUM:dist" , "what" , "be" , "the" , "wingspan" 
"HUM:ind" , "who" , "be" , "name" , "admiral" 
"NUM:money" , "what" , "do" , "an" , "average" 
"HUM:ind" , "what" , "author" , "land" , "a" 
"NUM:count" , "how" , "many" , "american" , "fight" 
"NUM:count" , "how" , "many" , "ocean" , "be" 
"NUM:count" , "how" , "many" , "pair" , "of" 
"LOC:other" , "where" , "be" , "the" , "danube" 
"HUM:ind" , "what" , "lawyer" , "win" , "the" 
"HUM:ind" , "who" , "deliver" , "his" , "last" 
"NUM:count" , "how" , "many" , "time" , "have" 
"LOC:other" , "what" , "be" , "the" , "long" 
"NUM:perc" , "what" , "percent" , "like" , "thatcher" 
"LOC:other" , "where" , "do" , "buzz" , "aldrin" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "what" , "former" , "baseball" , "pitcher" 
"HUM:ind" , "what" , "be" , "michelangelo" , "last" 
"HUM:ind" , "who" , "be" , "the" , "democratic" 
"LOC:country" , "what" , "asian" , "country" , "have" 
"NUM:count" , "how" , "many" , "finger" , "be" 
"NUM:date" , "when" , "be" , "hurricane" , "hugo" 
"HUM:ind" , "what" , "be" , "the" , "first" 
"NUM:money" , "what" , "be" , "the" , "price" 
"NUM:date" , "when" , "be" , "the" , "great" 
"HUM:ind" , "what" , "classical" , "spanish" , "writer" 
"HUM:ind" , "what" , "actor" , "marry" , "john" 
"HUM:ind" , "who" , "fire" , "maria" , "ybarra" 
"NUM:period" , "the" , "italian" , "artist" , "maurizio" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"LOC:city" , "what" , "city" , "be" , "the" 
"HUM:ind" , "what" , "president" , "show" , "a" 
"HUM:ind" , "whose" , "cover" , "be" , "that" 
"HUM:ind" , "what" , "former" , "president" , "daughter" 
"HUM:ind" , "what" , "fictional" , "character" , "be" 
"HUM:ind" , "what" , "longtime" , "game" , "show" 
"HUM:ind" , "who" , "be" , "the" , "filthy" 
"NUM:date" , "in" , "what" , "year" , "do" 
"LOC:other" , "where" , "be" , "mozambique" , "locate" 
"NUM:count" , "how" , "many" , "month" , "do" 
"HUM:ind" , "what" , "be" , "the" , "real" 
"LOC:city" , "what" , "city" , "house" , "the" 
"NUM:money" , "how" , "much" , "be" , "the" 
"HUM:ind" , "who" , "invent" , "silly" , "putty" 
"HUM:ind" , "who" , "patent" , "the" , "first" 
"NUM:count" , "how" , "many" , "vietnamese" , "be" 
"NUM:count" , "on" , "average" , "how" , "many" 
"HUM:ind" , "who" , "create" , "private" , "detective" 
"LOC:country" , "what" , "be" , "the" , "small" 
"HUM:ind" , "who" , "coin" , "the" , "term" 
"HUM:ind" , "what" , "be" , "the" , "full" 
"HUM:ind" , "who" , "be" , "lauren" , "bacall" 
"NUM:count" , "how" , "many" , "hand" , "do" 
"NUM:count" , "how" , "many" , "people" , "die" 
"HUM:ind" , "what" , "congressman" , "say" , "keep" 
"HUM:ind" , "who" , "create" , "the" , "character" 
"NUM:other" , "what" , "be" , "the" , "student" 
"LOC:other" , "where" , "be" , "windsor" , "castle" 
"NUM:date" , "when" , "do" , "the" , "dow" 
"LOC:other" , "where" , "can" , "i" , "find" 
"LOC:state" , "what" , "state" , "do" , "martha" 
"LOC:country" , "what" , "be" , "the" , "benelux" 
"LOC:other" , "where" , "the" , "petrified" , "forest" 
"LOC:other" , "where" , "be" , "tornado" , "alley" 
"HUM:ind" , "who" , "be" , "the" , "author" 
"HUM:ind" , "what" , "american" , "poet" , "write" 
"LOC:state" , "what" , "state" , "in" , "the" 
"LOC:city" , "what" , "be" , "the" , "city" 
"HUM:ind" , "who" , "paint" , "the" , "sistine" 
"HUM:ind" , "name" , "the" , "various" , "costumed" 
"LOC:other" , "what" , "be" , "the" , "old" 
"HUM:ind" , "what" , "explorers" , "follow" , "columbus" 
"HUM:ind" , "who" , "be" , "actress" , "goldie" 
"HUM:ind" , "who" , "ban" , "peter" , "rise" 
"NUM:date" , "when" , "be" , "the" , "san" 
"NUM:count" , "how" , "many" , "casino" , "be" 
"NUM:date" , "what" , "year" , "do" , "the" 
"HUM:ind" , "what" , "be" , "the" , "name" 
"NUM:count" , "what" , "be" , "the" , "chromosome" 
"LOC:other" , "what" , "the" , "long" , "river" 
"NUM:date" , "when" , "be" , "berlin" , "brandenburg" 
"NUM:count" , "how" , "many" , "space" , "be" 
"NUM:date" , "what" , "year" , "do" , "germany" 
"LOC:mount" , "what" , "mountain" , "range" , "be" 
"HUM:ind" , "who" , "be" , "nickname" , "the" 
"NUM:count" , "how" , "many" , "cd" , "have" 
"LOC:other" , "where" , "be" , "the" , "lead" 
"LOC:other" , "what" , "the" , "sacred" , "river" 
"LOC:country" , "what" , "be" , "stefan" , "edberg" 
"NUM:count" , "how" , "many" , "gutenberg" , "bible" 
"LOC:country" , "name" , "the" , "large" , "country" 
"HUM:ind" , "what" , "be" , "american" , "folk" 
"HUM:ind" , "what" , "author" , "do" , "photographer" 
"LOC:country" , "what" , "country" , "be" , "godiva" 
"HUM:ind" , "name" , "the" , "poet" , "of" 
"LOC:state" , "what" , "state" , "record" , "the" 
"LOC:city" , "what" , "texas" , "city" , "get" 
"LOC:country" , "what" , "country" , "do" , "the" 
"HUM:ind" , "what" , "barroom" , "judge" , "call" 
"HUM:ind" , "who" , "be" , "president" , "of" 
"LOC:country" , "what" , "country" , "have" , "the" 
"LOC:country" , "what" , "two" , "country" , "share" 
"HUM:ind" , "who" , "be" , "chairman" , "of" 
"HUM:ind" , "what" , "actor" , "star" , "in" 
"NUM:count" , "how" , "many" , "home" , "run" 
"LOC:city" , "in" , "what" , "city" , "be" 
"LOC:other" , "where" , "can" , "i" , "find" 
"HUM:ind" , "who" , "be" , "the" , "voice" 
"HUM:ind" , "who" , "replace" , "bert" , "park" 
"NUM:count" , "how" , "many" , "boy" , "play" 
"NUM:date" , "when" , "be" , "sheep" , "shorn" 
"LOC:other" , "what" , "the" , "island" , "in" 
"NUM:date" , "what" , "century" , "do" , "captain" 
"NUM:count" , "how" , "many" , "astronaut" , "man" 
"LOC:other" , "where" , "be" , "logan" , "airport" 
"HUM:ind" , "who" , "be" , "the" , "first" 
"HUM:ind" , "what" , "golfer" , "have" , "be" 
"HUM:ind" , "who" , "murder" , "leno" , "and" 
"NUM:money" , "what" , "be" , "the" , "average" 
"HUM:ind" , "which" , "of" , "the" , "follow" 
"NUM:money" , "what" , "be" , "the" , "current" 
"LOC:state" , "what" , "be" , "the" , "state" 
"NUM:count" , "how" , "many" , "student" , "attend" 
"HUM:ind" , "who" , "say" , "i" , "shall" 
"HUM:ind" , "who" , "portray" , "etta" , "place" 
"LOC:other" , "what" , "the" , "name" , "of" 
"LOC:other" , "where" , "be" , "the" , "actress" 
"HUM:ind" , "who" , "be" , "the" , "charlie" 
"HUM:ind" , "who" , "portray" , "rosanne" , "on" 
"HUM:ind" , "what" , "singer" , "become" , "despondent" 
"NUM:date" , "when" , "do" , "iraqi" , "troop" 
"HUM:ind" , "what" , "famous" , "sing" , "cowboy" 
"NUM:perc" , "what" , "be" , "the" , "probability" 
"NUM:count" , "how" , "many" , "canadian" , "emmigrate" 
"HUM:ind" , "who" , "be" , "gerald" , "ford" 
"NUM:count" , "how" , "many" , "different" , "language" 
"NUM:date" , "what" , "year" , "be" , "desmond" 
"LOC:other" , "where" , "can" , "i" , "buy" 
"HUM:ind" , "what" , "be" , "the" , "infamous" 
"LOC:other" , "what" , "london" , "street" , "be" 
"LOC:city" , "in" , "what" , "city" , "be" 
"NUM:money" , "how" , "much" , "do" , "the" 
"LOC:other" , "where" , "be" , "tufts" , "university" 
"NUM:other" , "what" , "be" , "the" , "chemical" 
"NUM:count" , "how" , "many" , "engine" , "do" 
"NUM:dist" , "how" , "long" , "be" , "mao" 
"NUM:weight" , "what" , "do" , "a" , "teaspoon" 
"LOC:state" , "what" , "province" , "be" , "edmonton" 
"HUM:ind" , "who" , "do" , "sonny" , "liston" 
"NUM:date" , "what" , "be" , "martin" , "luther" 
"HUM:ind" , "what" , "president" , "dispatch" , "a" 
"HUM:ind" , "whose" , "video" , "be" , "title" 
"NUM:count" , "how" , "many" , "james" , "bond" 
"NUM:volsize" , "how" , "large" , "be" , "the" 
"NUM:count" , "how" , "much" , "electricity" , "do" 
"NUM:count" , "how" , "many" , "acre" , "in" 
"HUM:ind" , "who" , "the" , "twin" , "brother" 
"NUM:money" , "what" , "be" , "the" , "income" 
"NUM:count" , "how" , "many" , "grammys" , "do" 
"LOC:other" , "what" , "be" , "the" , "old" 
"NUM:period" , "what" , "be" , "the" , "average" 
"LOC:country" , "what" , "country" , "receive" , "all" 
"NUM:count" , "how" , "many" , "syllable" , "be" 
"LOC:other" , "what" , "be" , "britain" , "possession" 
"HUM:ind" , "who" , "be" , "america" , "first" 
"NUM:count" , "how" , "many" , "child" , "under" 
"HUM:ind" , "who" , "live" , "at" , "sussex" 
"LOC:state" , "what" , "be" , "the" , "only" 
"HUM:ind" , "who" , "be" , "the" , "famous" 
"NUM:count" , "how" , "many" , "people" , "in" 
"HUM:ind" , "who" , "be" , "always" , "try" 
"HUM:ind" , "who" , "do" , "jackie" , "kennedy" 
"NUM:count" , "how" , "many" , "star" , "be" 
"HUM:ind" , "who" , "seek" , "to" , "create" 
"LOC:other" , "what" , "be" , "tourist" , "attraction" 
