@relation answerExp10
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@attribute FirstAndFourth STRING
@attribute SecondAndFourth STRING
@attribute ThirdAndFourth STRING
@data
"HUM:ind" , "who" , "comprise" , "the" , "comic" , "who comprise" , "comprise the" , "who the" , "who comic" , "comprise comic" , "the comic" 
"LOC:state" , "what" , "state" , "be" , "fort" , "what state" , "state be" , "what be" , "what fort" , "state fort" , "be fort" 
"LOC:mount" , "where" , "be" , "the" , "high" , "where be" , "be the" , "where the" , "where high" , "be high" , "the high" 
"LOC:other" , "where" , "do" , "barney" , "rubble" , "where do" , "do barney" , "where barney" , "where rubble" , "do rubble" , "barney rubble" 
"LOC:other" , "what" , "be" , "the" , "world" , "what be" , "be the" , "what the" , "what world" , "be world" , "the world" 
"LOC:other" , "where" , "on" , "the" , "internet" , "where on" , "on the" , "where the" , "where internet" , "on internet" , "the internet" 
"NUM:money" , "how" , "much" , "money" , "do" , "how much" , "much money" , "how money" , "how do" , "much do" , "money do" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"NUM:period" , "how" , "long" , "do" , "it" , "how long" , "long do" , "how do" , "how it" , "long it" , "do it" 
"HUM:ind" , "what" , "crooner" , "join" , "the" , "what crooner" , "crooner join" , "what join" , "what the" , "crooner the" , "join the" 
"NUM:date" , "when" , "do" , "the" , "bounty" , "when do" , "do the" , "when the" , "when bounty" , "do bounty" , "the bounty" 
"NUM:money" , "how" , "much" , "would" , "it" , "how much" , "much would" , "how would" , "how it" , "much it" , "would it" 
"HUM:ind" , "what" , "actress" , "have" , "receive" , "what actress" , "actress have" , "what have" , "what receive" , "actress receive" , "have receive" 
"NUM:count" , "how" , "many" , "year" , "do" , "how many" , "many year" , "how year" , "how do" , "many do" , "year do" 
"LOC:other" , "where" , "be" , "the" , "orinoco" , "where be" , "be the" , "where the" , "where orinoco" , "be orinoco" , "the orinoco" 
"LOC:city" , "what" , "city" , "boast" , "penn" , "what city" , "city boast" , "what boast" , "what penn" , "city penn" , "boast penn" 
"NUM:count" , "how" , "many" , "hostage" , "be" , "how many" , "many hostage" , "how hostage" , "how be" , "many be" , "hostage be" 
"HUM:ind" , "who" , "earn" , "their" , "money" , "who earn" , "earn their" , "who their" , "who money" , "earn money" , "their money" 
"HUM:ind" , "who" , "found" , "the" , "people" , "who found" , "found the" , "who the" , "who people" , "found people" , "the people" 
"HUM:ind" , "what" , "athlete" , "make" , "the" , "what athlete" , "athlete make" , "what make" , "what the" , "athlete the" , "make the" 
"NUM:count" , "how" , "many" , "bend" , "be" , "how many" , "many bend" , "how bend" , "how be" , "many be" , "bend be" 
"HUM:ind" , "who" , "be" , "the" , "first" , "who be" , "be the" , "who the" , "who first" , "be first" , "the first" 
"LOC:country" , "what" , "two" , "south" , "american" , "what two" , "two south" , "what south" , "what american" , "two american" , "south american" 
"NUM:date" , "what" , "be" , "the" , "busy" , "what be" , "be the" , "what the" , "what busy" , "be busy" , "the busy" 
"LOC:other" , "where" , "be" , "the" , "rise" , "where be" , "be the" , "where the" , "where rise" , "be rise" , "the rise" 
"HUM:ind" , "who" , "be" , "the" , "mayor" , "who be" , "be the" , "who the" , "who mayor" , "be mayor" , "the mayor" 
"LOC:other" , "what" , "wide" , "valley" , "be" , "what wide" , "wide valley" , "what valley" , "what be" , "wide be" , "valley be" 
"NUM:date" , "in" , "what" , "year" , "do" , "in what" , "what year" , "in year" , "in do" , "what do" , "year do" 
"NUM:count" , "how" , "many" , "month" , "do" , "how many" , "many month" , "how month" , "how do" , "many do" , "month do" 
"LOC:other" , "where" , "be" , "the" , "step" , "where be" , "be the" , "where the" , "where step" , "be step" , "the step" 
"NUM:date" , "in" , "what" , "year" , "be" , "in what" , "what year" , "in year" , "in be" , "what be" , "year be" 
"HUM:ind" , "who" , "sing" , "the" , "theme" , "who sing" , "sing the" , "who the" , "who theme" , "sing theme" , "the theme" 
"NUM:count" , "how" , "many" , "colony" , "be" , "how many" , "many colony" , "how colony" , "how be" , "many be" , "colony be" 
"LOC:city" , "what" , "be" , "the" , "name" , "what be" , "be the" , "what the" , "what name" , "be name" , "the name" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "what" , "be" , "the" , "name" , "what be" , "be the" , "what the" , "what name" , "be name" , "the name" 
"NUM:date" , "what" , "be" , "the" , "three" , "what be" , "be the" , "what the" , "what three" , "be three" , "the three" 
"LOC:country" , "what" , "country" , "contain" , "africa" , "what country" , "country contain" , "what contain" , "what africa" , "country africa" , "contain africa" 
"LOC:other" , "where" , "be" , "the" , "kalahari" , "where be" , "be the" , "where the" , "where kalahari" , "be kalahari" , "the kalahari" 
"LOC:city" , "what" , "city" , "be" , "sometimes" , "what city" , "city be" , "what be" , "what sometimes" , "city sometimes" , "be sometimes" 
"HUM:ind" , "who" , "create" , "dennis" , "the" , "who create" , "create dennis" , "who dennis" , "who the" , "create the" , "dennis the" 
"HUM:ind" , "what" , "dummy" , "receive" , "an" , "what dummy" , "dummy receive" , "what receive" , "what an" , "dummy an" , "receive an" 
"NUM:date" , "when" , "be" , "the" , "first" , "when be" , "be the" , "when the" , "when first" , "be first" , "the first" 
"LOC:country" , "what" , "country" , "have" , "the" , "what country" , "country have" , "what have" , "what the" , "country the" , "have the" 
"NUM:date" , "when" , "do" , "the" , "royal" , "when do" , "do the" , "when the" , "when royal" , "do royal" , "the royal" 
"HUM:ind" , "what" , "actor" , "say" , "in" , "what actor" , "actor say" , "what say" , "what in" , "actor in" , "say in" 
"HUM:ind" , "what" , "explorer" , "be" , "nickname" , "what explorer" , "explorer be" , "what be" , "what nickname" , "explorer nickname" , "be nickname" 
"NUM:date" , "cnn" , "begin" , "broadcast" , "in" , "cnn begin" , "begin broadcast" , "cnn broadcast" , "cnn in" , "begin in" , "broadcast in" 
"LOC:city" , "what" , "south" , "american" , "city" , "what south" , "south american" , "what american" , "what city" , "south city" , "american city" 
"NUM:count" , "how" , "many" , "specie" , "of" , "how many" , "many specie" , "how specie" , "how of" , "many of" , "specie of" 
"NUM:count" , "how" , "many" , "people" , "be" , "how many" , "many people" , "how people" , "how be" , "many be" , "people be" 
"NUM:volsize" , "what" , "be" , "the" , "acreage" , "what be" , "be the" , "what the" , "what acreage" , "be acreage" , "the acreage" 
"NUM:date" , "when" , "do" , "beethoven" , "die" , "when do" , "do beethoven" , "when beethoven" , "when die" , "do die" , "beethoven die" 
"NUM:money" , "how" , "much" , "do" , "a" , "how much" , "much do" , "how do" , "how a" , "much a" , "do a" 
"LOC:country" , "what" , "two" , "european" , "country" , "what two" , "two european" , "what european" , "what country" , "two country" , "european country" 
"HUM:ind" , "what" , "russian" , "composer" , "prelude" , "what russian" , "russian composer" , "what composer" , "what prelude" , "russian prelude" , "composer prelude" 
"HUM:ind" , "who" , "be" , "the" , "mother" , "who be" , "be the" , "who the" , "who mother" , "be mother" , "the mother" 
"NUM:count" , "how" , "many" , "revolution" , "do" , "how many" , "many revolution" , "how revolution" , "how do" , "many do" , "revolution do" 
"LOC:mount" , "what" , "be" , "the" , "name" , "what be" , "be the" , "what the" , "what name" , "be name" , "the name" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "what" , "be" , "the" , "name" , "what be" , "be the" , "what the" , "what name" , "be name" , "the name" 
"NUM:count" , "how" , "many" , "south" , "american" , "how many" , "many south" , "how south" , "how american" , "many american" , "south american" 
"LOC:other" , "where" , "be" , "george" , "washington" , "where be" , "be george" , "where george" , "where washington" , "be washington" , "george washington" 
"NUM:count" , "how" , "many" , "people" , "on" , "how many" , "many people" , "how people" , "how on" , "many on" , "people on" 
"HUM:ind" , "who" , "write" , "nn" , "dt" , "who write" , "write nn" , "who nn" , "who dt" , "write dt" , "nn dt" 
"NUM:date" , "when" , "be" , "the" , "first" , "when be" , "be the" , "when the" , "when first" , "be first" , "the first" 
"HUM:ind" , "what" , "diminutive" , "american" , "female" , "what diminutive" , "diminutive american" , "what american" , "what female" , "diminutive female" , "american female" 
"NUM:date" , "when" , "do" , "the" , "berlin" , "when do" , "do the" , "when the" , "when berlin" , "do berlin" , "the berlin" 
"LOC:other" , "what" , "las" , "vegas" , "hotel" , "what las" , "las vegas" , "what vegas" , "what hotel" , "las hotel" , "vegas hotel" 
"NUM:date" , "when" , "do" , "mount" , "helen" , "when do" , "do mount" , "when mount" , "when helen" , "do helen" , "mount helen" 
"NUM:date" , "when" , "do" , "world" , "war" , "when do" , "do world" , "when world" , "when war" , "do war" , "world war" 
"NUM:count" , "how" , "many" , "foot" , "be" , "how many" , "many foot" , "how foot" , "how be" , "many be" , "foot be" 
"LOC:city" , "what" , "european" , "city" , "do" , "what european" , "european city" , "what city" , "what do" , "european do" , "city do" 
"HUM:ind" , "who" , "be" , "president" , "of" , "who be" , "be president" , "who president" , "who of" , "be of" , "president of" 
"HUM:ind" , "who" , "be" , "the" , "lead" , "who be" , "be the" , "who the" , "who lead" , "be lead" , "the lead" 
"HUM:ind" , "who" , "be" , "the" , "president" , "who be" , "be the" , "who the" , "who president" , "be president" , "the president" 
"HUM:ind" , "who" , "be" , "the" , "two" , "who be" , "be the" , "who the" , "who two" , "be two" , "the two" 
"NUM:date" , "when" , "be" , "box" , "day" , "when be" , "be box" , "when box" , "when day" , "be day" , "box day" 
"NUM:date" , "when" , "be" , "the" , "battle" , "when be" , "be the" , "when the" , "when battle" , "be battle" , "the battle" 
"NUM:count" , "how" , "many" , "people" , "do" , "how many" , "many people" , "how people" , "how do" , "many do" , "people do" 
"NUM:date" , "when" , "do" , "spielberg" , "direct" , "when do" , "do spielberg" , "when spielberg" , "when direct" , "do direct" , "spielberg direct" 
"NUM:volsize" , "what" , "be" , "the" , "size" , "what be" , "be the" , "what the" , "what size" , "be size" , "the size" 
"LOC:city" , "what" , "be" , "california" , "capital" , "what be" , "be california" , "what california" , "what capital" , "be capital" , "california capital" 
"HUM:ind" , "who" , "be" , "the" , "author" , "who be" , "be the" , "who the" , "who author" , "be author" , "the author" 
"HUM:ind" , "who" , "be" , "the" , "founding" , "who be" , "be the" , "who the" , "who founding" , "be founding" , "the founding" 
"LOC:country" , "what" , "european" , "country" , "be" , "what european" , "european country" , "what country" , "what be" , "european be" , "country be" 
"LOC:other" , "where" , "be" , "christopher" , "columbus" , "where be" , "be christopher" , "where christopher" , "where columbus" , "be columbus" , "christopher columbus" 
"LOC:other" , "what" , "sea" , "do" , "the" , "what sea" , "sea do" , "what do" , "what the" , "sea the" , "do the" 
"LOC:city" , "what" , "city" , "do" , "the" , "what city" , "city do" , "what do" , "what the" , "city the" , "do the" 
"HUM:ind" , "which" , "doonesbury" , "character" , "be" , "which doonesbury" , "doonesbury character" , "which character" , "which be" , "doonesbury be" , "character be" 
"LOC:other" , "what" , "stadium" , "do" , "the" , "what stadium" , "stadium do" , "what do" , "what the" , "stadium the" , "do the" 
"HUM:ind" , "who" , "have" , "the" , "only" , "who have" , "have the" , "who the" , "who only" , "have only" , "the only" 
"NUM:other" , "what" , "be" , "einstein" , "iq" , "what be" , "be einstein" , "what einstein" , "what iq" , "be iq" , "einstein iq" 
"NUM:date" , "what" , "day" , "be" , "pearl" , "what day" , "day be" , "what be" , "what pearl" , "day pearl" , "be pearl" 
"HUM:ind" , "what" , "girl" , "name" , "be" , "what girl" , "girl name" , "what name" , "what be" , "girl be" , "name be" 
"LOC:state" , "what" , "state" , "be" , "john" , "what state" , "state be" , "what be" , "what john" , "state john" , "be john" 
"LOC:state" , "what" , "state" , "have" , "an" , "what state" , "state have" , "what have" , "what an" , "state an" , "have an" 
"NUM:count" , "how" , "many" , "year" , "ago" , "how many" , "many year" , "how year" , "how ago" , "many ago" , "year ago" 
"LOC:other" , "what" , "be" , "the" , "deep" , "what be" , "be the" , "what the" , "what deep" , "be deep" , "the deep" 
"NUM:other" , "what" , "be" , "the" , "latitude" , "what be" , "be the" , "what the" , "what latitude" , "be latitude" , "the latitude" 
"HUM:ind" , "who" , "make" , "a" , "boat" , "who make" , "make a" , "who a" , "who boat" , "make boat" , "a boat" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "which" , "bloom" , "county" , "resident" , "which bloom" , "bloom county" , "which county" , "which resident" , "bloom resident" , "county resident" 
"NUM:other" , "what" , "be" , "the" , "normal" , "what be" , "be the" , "what the" , "what normal" , "be normal" , "the normal" 
"NUM:other" , "what" , "be" , "the" , "population" , "what be" , "be the" , "what the" , "what population" , "be population" , "the population" 
"NUM:count" , "how" , "many" , "calorie" , "be" , "how many" , "many calorie" , "how calorie" , "how be" , "many be" , "calorie be" 
"HUM:ind" , "what" , "part" , "do" , "john" , "what part" , "part do" , "what do" , "what john" , "part john" , "do john" 
"HUM:ind" , "who" , "be" , "the" , "first" , "who be" , "be the" , "who the" , "who first" , "be first" , "the first" 
"LOC:other" , "where" , "can" , "i" , "buy" , "where can" , "can i" , "where i" , "where buy" , "can buy" , "i buy" 
"HUM:ind" , "who" , "do" , "the" , "advertize" , "who do" , "do the" , "who the" , "who advertize" , "do advertize" , "the advertize" 
"HUM:ind" , "who" , "invent" , "the" , "radio" , "who invent" , "invent the" , "who the" , "who radio" , "invent radio" , "the radio" 
"NUM:count" , "what" , "the" , "american" , "dollar" , "what the" , "the american" , "what american" , "what dollar" , "the dollar" , "american dollar" 
"HUM:ind" , "who" , "be" , "the" , "man" , "who be" , "be the" , "who the" , "who man" , "be man" , "the man" 
"NUM:speed" , "what" , "be" , "the" , "speed" , "what be" , "be the" , "what the" , "what speed" , "be speed" , "the speed" 
"HUM:ind" , "what" , "actor" , "first" , "portray" , "what actor" , "actor first" , "what first" , "what portray" , "actor portray" , "first portray" 
"LOC:other" , "what" , "ocean" , "be" , "the" , "what ocean" , "ocean be" , "what be" , "what the" , "ocean the" , "be the" 
"HUM:ind" , "who" , "be" , "the" , "first" , "who be" , "be the" , "who the" , "who first" , "be first" , "the first" 
"NUM:date" , "what" , "year" , "do" , "jack" , "what year" , "year do" , "what do" , "what jack" , "year jack" , "do jack" 
"NUM:count" , "how" , "many" , "sonnet" , "do" , "how many" , "many sonnet" , "how sonnet" , "how do" , "many do" , "sonnet do" 
"HUM:ind" , "who" , "win" , "the" , "nobel" , "who win" , "win the" , "who the" , "who nobel" , "win nobel" , "the nobel" 
"LOC:city" , "which" , "city" , "do" , "christian" , "which city" , "city do" , "which do" , "which christian" , "city christian" , "do christian" 
"HUM:ind" , "who" , "be" , "the" , "first" , "who be" , "be the" , "who the" , "who first" , "be first" , "the first" 
"NUM:speed" , "what" , "be" , "the" , "speed" , "what be" , "be the" , "what the" , "what speed" , "be speed" , "the speed" 
"HUM:ind" , "who" , "say" , "of" , "super" , "who say" , "say of" , "who of" , "who super" , "say super" , "of super" 
"HUM:ind" , "who" , "declare" , "i" , "be" , "who declare" , "declare i" , "who i" , "who be" , "declare be" , "i be" 
"LOC:other" , "where" , "do" , "chocolate" , "come" , "where do" , "do chocolate" , "where chocolate" , "where come" , "do come" , "chocolate come" 
"HUM:ind" , "what" , "soviet" , "leader" , "own" , "what soviet" , "soviet leader" , "what leader" , "what own" , "soviet own" , "leader own" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "who" , "write" , "the" , "song" , "who write" , "write the" , "who the" , "who song" , "write song" , "the song" 
"NUM:count" , "how" , "many" , "beatles" , "record" , "how many" , "many beatles" , "how beatles" , "how record" , "many record" , "beatles record" 
"HUM:ind" , "who" , "be" , "the" , "only" , "who be" , "be the" , "who the" , "who only" , "be only" , "the only" 
"LOC:mount" , "what" , "mountains" , "lie" , "between" , "what mountains" , "mountains lie" , "what lie" , "what between" , "mountains between" , "lie between" 
"HUM:ind" , "who" , "receive" , "the" , "will" , "who receive" , "receive the" , "who the" , "who will" , "receive will" , "the will" 
"LOC:other" , "what" , "the" , "close" , "spectrum" , "what the" , "the close" , "what close" , "what spectrum" , "the spectrum" , "close spectrum" 
"NUM:count" , "how" , "many" , "equal" , "angle" , "how many" , "many equal" , "how equal" , "how angle" , "many angle" , "equal angle" 
"HUM:ind" , "what" , "be" , "the" , "name" , "what be" , "be the" , "what the" , "what name" , "be name" , "the name" 
"HUM:ind" , "what" , "united" , "state" , "president" , "what united" , "united state" , "what state" , "what president" , "united president" , "state president" 
"LOC:other" , "where" , "be" , "basque" , "country" , "where be" , "be basque" , "where basque" , "where country" , "be country" , "basque country" 
"NUM:date" , "what" , "time" , "of" , "day" , "what time" , "time of" , "what of" , "what day" , "time day" , "of day" 
"NUM:count" , "how" , "many" , "year" , "do" , "how many" , "many year" , "how year" , "how do" , "many do" , "year do" 
"LOC:city" , "what" , "south" , "korean" , "city" , "what south" , "south korean" , "what korean" , "what city" , "south city" , "korean city" 
"NUM:count" , "how" , "many" , "type" , "of" , "how many" , "many type" , "how type" , "how of" , "many of" , "type of" 
"NUM:other" , "what" , "be" , "the" , "quantity" , "what be" , "be the" , "what the" , "what quantity" , "be quantity" , "the quantity" 
"LOC:mount" , "what" , "be" , "the" , "high" , "what be" , "be the" , "what the" , "what high" , "be high" , "the high" 
"LOC:other" , "where" , "be" , "the" , "ligurian" , "where be" , "be the" , "where the" , "where ligurian" , "be ligurian" , "the ligurian" 
"LOC:country" , "what" , "country" , "people" , "be" , "what country" , "country people" , "what people" , "what be" , "country be" , "people be" 
"NUM:date" , "when" , "be" , "the" , "woman" , "when be" , "be the" , "when the" , "when woman" , "be woman" , "the woman" 
"LOC:city" , "what" , "nevada" , "center" , "have" , "what nevada" , "nevada center" , "what center" , "what have" , "nevada have" , "center have" 
"HUM:ind" , "what" , "president" , "live" , "at" , "what president" , "president live" , "what live" , "what at" , "president at" , "live at" 
"LOC:other" , "where" , "must" , "a" , "soccer" , "where must" , "must a" , "where a" , "where soccer" , "must soccer" , "a soccer" 
"LOC:state" , "in" , "what" , "state" , "be" , "in what" , "what state" , "in state" , "in be" , "what be" , "state be" 
"NUM:date" , "what" , "year" , "do" , "hitler" , "what year" , "year do" , "what do" , "what hitler" , "year hitler" , "do hitler" 
"HUM:ind" , "what" , "famous" , "model" , "be" , "what famous" , "famous model" , "what model" , "what be" , "famous be" , "model be" 
"NUM:money" , "how" , "much" , "money" , "be" , "how much" , "much money" , "how money" , "how be" , "much be" , "money be" 
"HUM:ind" , "who" , "dance" , "into" , "stardom" , "who dance" , "dance into" , "who into" , "who stardom" , "dance stardom" , "into stardom" 
"HUM:ind" , "who" , "be" , "the" , "fast" , "who be" , "be the" , "who the" , "who fast" , "be fast" , "the fast" 
"LOC:mount" , "what" , "be" , "the" , "high" , "what be" , "be the" , "what the" , "what high" , "be high" , "the high" 
"LOC:other" , "where" , "be" , "procter" , "gamble" , "where be" , "be procter" , "where procter" , "where gamble" , "be gamble" , "procter gamble" 
"LOC:other" , "what" , "desert" , "have" , "be" , "what desert" , "desert have" , "what have" , "what be" , "desert be" , "have be" 
"NUM:count" , "how" , "many" , "mile" , "be" , "how many" , "many mile" , "how mile" , "how be" , "many be" , "mile be" 
"NUM:count" , "how" , "much" , "snow" , "equal" , "how much" , "much snow" , "how snow" , "how equal" , "much equal" , "snow equal" 
"NUM:date" , "when" , "do" , "the" , "average" , "when do" , "do the" , "when the" , "when average" , "do average" , "the average" 
"HUM:ind" , "what" , "actor" , "autobiography" , "be" , "what actor" , "actor autobiography" , "what autobiography" , "what be" , "actor be" , "autobiography be" 
"HUM:ind" , "what" , "russian" , "master" , "spy" , "what russian" , "russian master" , "what master" , "what spy" , "russian spy" , "master spy" 
"LOC:other" , "where" , "the" , "hole" , "on" , "where the" , "the hole" , "where hole" , "where on" , "the on" , "hole on" 
"HUM:ind" , "who" , "play" , "the" , "original" , "who play" , "play the" , "who the" , "who original" , "play original" , "the original" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"LOC:other" , "where" , "do" , "sarge" , "steel" , "where do" , "do sarge" , "where sarge" , "where steel" , "do steel" , "sarge steel" 
"HUM:ind" , "who" , "write" , "the" , "night" , "who write" , "write the" , "who the" , "who night" , "write night" , "the night" 
"LOC:country" , "what" , "country" , "do" , "king" , "what country" , "country do" , "what do" , "what king" , "country king" , "do king" 
"HUM:ind" , "who" , "paint" , "mother" , "and" , "who paint" , "paint mother" , "who mother" , "who and" , "paint and" , "mother and" 
"NUM:speed" , "what" , "be" , "the" , "speed" , "what be" , "be the" , "what the" , "what speed" , "be speed" , "the speed" 
"LOC:other" , "in" , "what" , "area" , "of" , "in what" , "what area" , "in area" , "in of" , "what of" , "area of" 
"LOC:other" , "what" , "be" , "the" , "bright" , "what be" , "be the" , "what the" , "what bright" , "be bright" , "the bright" 
"HUM:ind" , "what" , "be" , "mao" , "second" , "what be" , "be mao" , "what mao" , "what second" , "be second" , "mao second" 
"LOC:other" , "where" , "do" , "hyenas" , "live" , "where do" , "do hyenas" , "where hyenas" , "where live" , "do live" , "hyenas live" 
"HUM:ind" , "who" , "have" , "more" , "dna" , "who have" , "have more" , "who more" , "who dna" , "have dna" , "more dna" 
"NUM:count" , "how" , "many" , "referee" , "work" , "how many" , "many referee" , "how referee" , "how work" , "many work" , "referee work" 
"NUM:date" , "when" , "be" , "the" , "tulip" , "when be" , "be the" , "when the" , "when tulip" , "be tulip" , "the tulip" 
"HUM:ind" , "who" , "come" , "up" , "with" , "who come" , "come up" , "who up" , "who with" , "come with" , "up with" 
"HUM:ind" , "what" , "dictator" , "have" , "the" , "what dictator" , "dictator have" , "what have" , "what the" , "dictator the" , "have the" 
"LOC:city" , "what" , "city" , "be" , "the" , "what city" , "city be" , "what be" , "what the" , "city the" , "be the" 
"HUM:ind" , "what" , "tv" , "sitcom" , "character" , "what tv" , "tv sitcom" , "what sitcom" , "what character" , "tv character" , "sitcom character" 
"HUM:ind" , "who" , "keep" , "the" , "most" , "who keep" , "keep the" , "who the" , "who most" , "keep most" , "the most" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"NUM:count" , "how" , "many" , "degree" , "cooler" , "how many" , "many degree" , "how degree" , "how cooler" , "many cooler" , "degree cooler" 
